date,ticker,open,high,low,close,volume
1992-01-03,CTC.N0000,35.8419,35.8419,35.8419,35.8419,0
1992-01-06,CTC.N0000,35.9694,35.9694,35.9694,35.9694,0
1992-01-07,CTC.N0000,36.2245,36.2245,36.2245,36.2245,0
1992-01-08,CTC.N0000,36.2245,36.2245,36.2245,36.2245,0
1992-01-09,CTC.N0000,36.2245,36.2245,36.2245,36.2245,0
1992-01-10,CTC.N0000,36.2245,36.2245,36.2245,36.2245,0
1992-01-13,CTC.N0000,36.2245,36.2245,36.2245,36.2245,0
1992-01-14,CTC.N0000,36.097,36.097,36.097,36.097,0
1992-01-15,CTC.N0000,36.097,36.097,36.097,36.097,0
1992-01-16,CTC.N0000,35.7143,35.7143,35.7143,35.7143,0
1992-01-17,CTC.N0000,34.8215,34.8215,34.8215,34.8215,0
1992-01-20,CTC.N0000,33.8011,33.8011,33.8011,33.8011,0
1992-01-21,CTC.N0000,33.1633,33.1633,33.1633,33.1633,0
1992-01-22,CTC.N0000,31.8878,31.8878,31.8878,31.8878,0
1992-01-23,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-01-24,CTC.N0000,27.551,27.551,27.551,27.551,0
1992-01-27,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-01-28,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-01-29,CTC.N0000,27.2959,27.2959,27.2959,27.2959,0
1992-01-30,CTC.N0000,27.2959,27.2959,27.2959,27.2959,0
1992-01-31,CTC.N0000,27.6786,27.6786,27.6786,27.6786,0
1992-02-03,CTC.N0000,28.699,28.699,28.699,28.699,0
1992-02-04,CTC.N0000,28.699,28.699,28.699,28.699,0
1992-02-05,CTC.N0000,28.699,28.699,28.699,28.699,0
1992-02-06,CTC.N0000,28.699,28.699,28.699,28.699,0
1992-02-07,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-10,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-11,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-12,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-13,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-14,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-17,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-18,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-19,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-02-20,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-02-21,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-02-24,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-02-25,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-02-26,CTC.N0000,27.1684,27.1684,27.1684,27.1684,0
1992-02-27,CTC.N0000,27.1684,27.1684,27.1684,27.1684,0
1992-02-28,CTC.N0000,27.1684,27.1684,27.1684,27.1684,0
1992-03-02,CTC.N0000,27.1684,27.1684,27.1684,27.1684,0
1992-03-03,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-03-04,CTC.N0000,27.0408,27.0408,27.0408,27.0408,0
1992-03-05,CTC.N0000,27.2959,27.2959,27.2959,27.2959,0
1992-03-06,CTC.N0000,27.551,27.551,27.551,27.551,0
1992-03-09,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-03-10,CTC.N0000,28.3164,28.3164,28.3164,28.3164,0
1992-03-11,CTC.N0000,28.1888,28.1888,28.1888,28.1888,0
1992-03-12,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-03-13,CTC.N0000,28.0613,28.0613,28.0613,28.0613,0
1992-03-16,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-03-17,CTC.N0000,28.3164,28.3164,28.3164,28.3164,0
1992-03-18,CTC.N0000,28.3164,28.3164,28.3164,28.3164,0
1992-03-19,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-03-20,CTC.N0000,28.9541,28.9541,28.9541,28.9541,0
1992-03-23,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-03-24,CTC.N0000,28.699,28.699,28.699,28.699,0
1992-03-25,CTC.N0000,28.699,28.699,28.699,28.699,0
1992-03-26,CTC.N0000,28.8266,28.8266,28.8266,28.8266,0
1992-03-27,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-03-30,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-03-31,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-04-01,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-04-02,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-04-03,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-04-06,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-07,CTC.N0000,28.5715,28.5715,28.5715,28.5715,0
1992-04-08,CTC.N0000,28.8266,28.8266,28.8266,28.8266,0
1992-04-09,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-10,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-13,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-14,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-15,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-16,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-17,CTC.N0000,29.0817,29.0817,29.0817,29.0817,0
1992-04-20,CTC.N0000,29.5919,29.5919,29.5919,29.5919,0
1992-04-21,CTC.N0000,29.2092,29.2092,29.2092,29.2092,0
1992-04-22,CTC.N0000,29.9745,29.9745,29.9745,29.9745,0
1992-04-23,CTC.N0000,30.6123,30.6123,30.6123,30.6123,0
