date,ticker,open,high,low,close,volume
1993-11-29,DIST.N0000,1.05,1.05,1.025,1.05,5210000
1993-11-30,DIST.N0000,1.05,1.05,1.025,1.025,589000
1993-12-01,DIST.N0000,1,1.025,1,1,433000
1993-12-02,DIST.N0000,1.025,1.05,1,1.025,5735000
1993-12-03,DIST.N0000,1.025,1.025,0.95,1,371000
1993-12-06,DIST.N0000,1,1,0.95,1,2256000
1993-12-07,DIST.N0000,1,1,0.975,1,1349000
1993-12-08,DIST.N0000,1,1,0.975,0.975,352000
1993-12-09,DIST.N0000,1,1,0.975,0.975,1051000
1993-12-10,DIST.N0000,0.975,0.975,0.9,0.95,2032000
1993-12-13,DIST.N0000,0.95,0.95,0.9,0.9,825000
1993-12-14,DIST.N0000,0.9,0.9,0.825,0.825,752000
1993-12-15,DIST.N0000,0.825,0.925,0.825,0.9,17258000
1993-12-16,DIST.N0000,0.9,0.9,0.85,0.9,2983000
1993-12-17,DIST.N0000,0.875,0.9,0.875,0.9,9382000
1993-12-20,DIST.N0000,0.9,0.925,0.9,0.9,10411000
1993-12-21,DIST.N0000,0.9,0.95,0.9,0.95,978000
1993-12-22,DIST.N0000,0.95,1,0.95,0.975,1368000
1993-12-23,DIST.N0000,0.975,1,0.975,1,6693000
1993-12-29,DIST.N0000,1.025,1.025,1,1,1719000
1993-12-30,DIST.N0000,1.025,1.05,1,1.025,777000
1994-01-03,DIST.N0000,1.05,1.05,1,1.025,1371000
1994-01-04,DIST.N0000,1.025,1.05,1,1.025,3127000
1994-01-05,DIST.N0000,1.025,1.05,1.025,1.025,1643000
1994-01-06,DIST.N0000,1.025,1.075,1.025,1.075,36455000
1994-01-07,DIST.N0000,1.075,1.075,1.05,1.05,1036000
1994-01-10,DIST.N0000,1.05,1.05,1.05,1.05,834000
1994-01-11,DIST.N0000,1.075,1.075,1.075,1.075,3055000
1994-01-12,DIST.N0000,1.075,1.1,1.075,1.075,10797000
1994-01-13,DIST.N0000,1.075,1.125,1.075,1.125,3396000
1994-01-14,DIST.N0000,1.075,1.125,1.075,1.125,3396000
1994-01-17,DIST.N0000,1.1,1.175,1.1,1.15,22080000
1994-01-18,DIST.N0000,1.175,1.2,1.15,1.15,2128000
1994-01-19,DIST.N0000,1.15,1.2,1.15,1.175,1652000
1994-01-20,DIST.N0000,1.175,1.2,1.125,1.125,1886000
1994-01-21,DIST.N0000,1.15,1.15,1.15,1.15,2264000
1994-01-24,DIST.N0000,1.15,1.15,1.15,1.15,1790000
1994-01-25,DIST.N0000,1.15,1.15,1.15,1.15,1999000
1994-01-26,DIST.N0000,1.15,1.15,1.15,1.15,1850000
1994-01-27,DIST.N0000,1.15,1.15,1.15,1.15,1850000
1994-01-28,DIST.N0000,1.15,1.15,1.15,1.15,2217000
1994-01-31,DIST.N0000,1.15,1.175,1.15,1.15,2780000
1994-02-01,DIST.N0000,1.15,1.15,1.075,1.075,1639000
1994-02-02,DIST.N0000,1.125,1.125,1.075,1.075,445000
1994-02-03,DIST.N0000,1.075,1.1,1.075,1.1,1353000
1994-02-04,DIST.N0000,1.075,1.1,1.075,1.1,1353000
1994-02-07,DIST.N0000,1.1,1.1,1.075,1.1,1236000
1994-02-08,DIST.N0000,1.1,1.1,1.075,1.1,1649000
1994-02-09,DIST.N0000,1.1,1.1,1.075,1.1,1149000
1994-02-10,DIST.N0000,1.1,1.1,1.1,1.1,1102000
1994-02-11,DIST.N0000,1.1,1.125,1.1,1.1,1475000
1994-02-14,DIST.N0000,1.1,1.15,1.1,1.15,4269000
1994-02-15,DIST.N0000,1.15,1.175,1.15,1.175,12627000
1994-02-16,DIST.N0000,1.2,1.2,1.175,1.2,32522000
1994-02-17,DIST.N0000,1.175,1.325,1.175,1.325,24075000
