date,ticker,open,high,low,close,volume
2012-02-23,LOFC.N0000,5.6,5.8,5.5,5.6,279100
2012-02-24,LOFC.N0000,5.6,5.9,5.6,5.7,146502
2012-02-27,LOFC.N0000,5.6,5.7,5.4,5.5,99607
2012-03-05,LOFC.N0000,5,5.1,5,5,18801
2012-03-06,LOFC.N0000,5,5,5,5,71698
2012-03-08,LOFC.N0000,5.1,5.1,4.9,5.1,24101
2012-03-09,LOFC.N0000,5,5.2,4.9,5,30504
2012-03-13,LOFC.N0000,5,5.1,4.9,5,131742
2012-03-14,LOFC.N0000,4.8,5.1,4.8,4.8,28019
2012-03-15,LOFC.N0000,4.8,4.9,4.7,4.8,23243
2012-03-16,LOFC.N0000,5,5,4.8,5,63015
2012-03-19,LOFC.N0000,5,5.2,5,5,6901
2012-03-20,LOFC.N0000,5,5,4.8,5,16715
2012-03-21,LOFC.N0000,4.8,5,4.7,4.8,222886
2012-03-22,LOFC.N0000,4.7,4.9,4.7,4.7,43502
2012-03-23,LOFC.N0000,4.9,5,4.7,4.9,183801
2012-03-26,LOFC.N0000,4.9,5,4.8,4.9,3500
2012-03-27,LOFC.N0000,4.6,5,4.6,4.6,146401
2012-03-28,LOFC.N0000,4.7,4.8,4.5,4.7,22905
2012-03-29,LOFC.N0000,4.6,4.8,4.5,4.6,49255
2012-03-30,LOFC.N0000,4.5,4.7,4.5,4.5,143802
2012-04-02,LOFC.N0000,4.3,4.5,4.3,4.3,43850
2012-04-03,LOFC.N0000,4.4,4.4,4.3,4.4,19523
2012-04-04,LOFC.N0000,4,4.5,4,4,249650
2012-04-05,LOFC.N0000,4,4.2,4,4,323251
2012-04-09,LOFC.N0000,4,4.2,4,4,18809
2012-04-10,LOFC.N0000,4.1,4.1,3.9,4.1,17022
2012-04-11,LOFC.N0000,4,4.1,4,4,33151
2012-04-16,LOFC.N0000,4.2,4.2,4,4.2,347000
2012-04-17,LOFC.N0000,4,4.1,4,4,22401
2012-04-18,LOFC.N0000,4,4.2,4,4,93060
2012-04-19,LOFC.N0000,4.1,4.2,4,4.1,58700
2012-04-20,LOFC.N0000,4.1,4.3,4.1,4.1,45749
2012-04-23,LOFC.N0000,4,4.2,4,4,10401
2012-04-24,LOFC.N0000,4,4.2,4,4,22801
2012-04-25,LOFC.N0000,4,4.2,3.9,4,73241
2012-04-26,LOFC.N0000,3.9,4,3.9,3.9,50501
2012-04-27,LOFC.N0000,3.9,3.9,3.8,3.9,72400
2012-04-30,LOFC.N0000,3.9,4.1,3.9,3.9,99951
2012-05-02,LOFC.N0000,3.9,4,3.8,3.9,50100
2012-05-03,LOFC.N0000,3.9,4,3.8,3.9,154002
2012-05-04,LOFC.N0000,3.8,3.9,3.7,3.8,51450
2012-05-08,LOFC.N0000,3.7,3.8,3.6,3.7,21100
2012-05-09,LOFC.N0000,3.7,3.7,3.6,3.7,14150
2012-05-10,LOFC.N0000,3.4,3.6,3.3,3.4,45196
2012-05-11,LOFC.N0000,3.3,3.7,3.2,3.3,27152
2012-05-14,LOFC.N0000,3.3,3.6,3.2,3.3,66228
2012-05-15,LOFC.N0000,3.3,3.3,3.2,3.3,36000
2012-05-16,LOFC.N0000,3.6,3.6,3.2,3.6,52021
2012-05-17,LOFC.N0000,3.5,3.7,3.4,3.5,86471
2012-05-18,LOFC.N0000,3.5,3.6,3.5,3.5,2995
2012-05-21,LOFC.N0000,3.5,3.6,3.5,3.5,99095
2012-05-22,LOFC.N0000,3.3,3.7,3.2,3.3,51790
2012-05-23,LOFC.N0000,3.2,3.5,3.1,3.2,152458
2012-05-24,LOFC.N0000,3.1,3.2,3,3.1,59301
2012-05-25,LOFC.N0000,3.2,3.3,3.2,3.2,13356
2012-05-28,LOFC.N0000,3,3.2,3,3,100530
2012-05-29,LOFC.N0000,3,3.1,2.8,3,209800
2012-05-30,LOFC.N0000,3,3.1,3,3,9501
2012-05-31,LOFC.N0000,2.9,3,2.8,2.9,45900
2012-06-01,LOFC.N0000,3.1,3.1,2.9,3.1,37655
2012-06-05,LOFC.N0000,3,3,3,3,3601
2012-06-06,LOFC.N0000,2.8,2.9,2.8,2.8,27003
2012-06-07,LOFC.N0000,2.8,2.9,2.8,2.8,114310
2012-06-08,LOFC.N0000,2.8,2.9,2.7,2.8,38500
2012-06-11,LOFC.N0000,2.9,3,2.8,2.9,99650
2012-06-12,LOFC.N0000,2.9,3,2.8,2.9,7401
