date,ticker,open,high,low,close,volume
2012-02-22,LOLC.N0000,59.900002,60,56,59.900002,115500
2012-02-23,LOLC.N0000,59.900002,60,58,59.900002,297400
2012-02-24,LOLC.N0000,59.900002,61.900002,59.900002,60.099998,26510
2012-02-27,LOLC.N0000,59.900002,61,58.099998,58.200001,186704
2012-03-05,LOLC.N0000,55.700001,58.099998,55,55.700001,107306
2012-03-06,LOLC.N0000,56,57.700001,55,56,66340
2012-03-08,LOLC.N0000,56.900002,57.900002,56,56.900002,67360
2012-03-09,LOLC.N0000,57,57,55,57,54551
2012-03-13,LOLC.N0000,54,54.900002,54,54,14840
2012-03-14,LOLC.N0000,52.400002,53.5,51,52.400002,5800
2012-03-15,LOLC.N0000,54,55,53,54,16225
2012-03-16,LOLC.N0000,55.099998,56,55,55.099998,15100
2012-03-19,LOLC.N0000,55,56.799999,55,55,196209
2012-03-20,LOLC.N0000,55.099998,56.5,55,55.099998,82109
2012-03-21,LOLC.N0000,55,56,53.200001,55,27266
2012-03-22,LOLC.N0000,55,55.900002,55,55,266980
2012-03-23,LOLC.N0000,56.099998,57,55,56.099998,1831
2012-03-26,LOLC.N0000,56.099998,56.099998,56.099998,56.099998,1000
2012-03-27,LOLC.N0000,55,56.099998,54,55,67900
2012-03-28,LOLC.N0000,56,56,55,56,36710
2012-03-29,LOLC.N0000,55,55.299999,55,55,14011
2012-03-30,LOLC.N0000,54,55,54,54,3246
2012-04-02,LOLC.N0000,55,55.5,53.900002,55,1620
2012-04-03,LOLC.N0000,54.5,54.5,54,54.5,221
2012-04-04,LOLC.N0000,50,54.5,50,50,37342
2012-04-05,LOLC.N0000,53,53,50,53,188801
2012-04-09,LOLC.N0000,53,53,52,53,29574
2012-04-10,LOLC.N0000,53.099998,53.5,50.099998,53.099998,13008
2012-04-11,LOLC.N0000,53.200001,53.5,52.5,53.200001,2914
2012-04-16,LOLC.N0000,53,53.5,52.599998,53,15743
2012-04-17,LOLC.N0000,53,53.5,52.599998,53,8176
2012-04-18,LOLC.N0000,52.200001,53,52,52.200001,2100
2012-04-19,LOLC.N0000,52.099998,53.5,52,52.099998,12721
2012-04-20,LOLC.N0000,54,54.5,53.5,54,9889
2012-04-23,LOLC.N0000,52.099998,54,52,52.099998,7132
2012-04-24,LOLC.N0000,51,54,51,51,4001
2012-04-25,LOLC.N0000,50.599998,52,50.099998,50.599998,1700
2012-04-26,LOLC.N0000,50.200001,51.5,49.900002,50.200001,28460
2012-04-27,LOLC.N0000,49.700001,52,49.700001,49.700001,200
2012-04-30,LOLC.N0000,49.599998,50,49.5,49.599998,6002
2012-05-02,LOLC.N0000,48.200001,50,48.099998,48.200001,3084
2012-05-03,LOLC.N0000,48.400002,50,48,48.400002,500
2012-05-04,LOLC.N0000,48,48.200001,48,48,2103
2012-05-08,LOLC.N0000,45.700001,48,45.5,45.700001,5930
2012-05-09,LOLC.N0000,40.799999,45.200001,40.200001,40.799999,7907
2012-05-10,LOLC.N0000,40.299999,43.5,40.200001,40.299999,12028
2012-05-11,LOLC.N0000,39.599998,42.900002,38.700001,39.599998,15300
2012-05-14,LOLC.N0000,38.200001,40,36.099998,38.200001,36610
2012-05-15,LOLC.N0000,38,38.900002,37,38,10690
2012-05-16,LOLC.N0000,39,39,38.099998,39,31977
2012-05-17,LOLC.N0000,38,39.799999,38,38,41929
2012-05-18,LOLC.N0000,38,38,37.099998,38,49190
2012-05-21,LOLC.N0000,36.5,38,36,36.5,34868
2012-05-22,LOLC.N0000,35.900002,36.599998,35.900002,35.900002,19921
2012-05-23,LOLC.N0000,34.900002,35,33.099998,34.900002,7382
2012-05-24,LOLC.N0000,32,34,31.700001,32,26226
2012-05-25,LOLC.N0000,31.9,33,31.5,31.9,17053
2012-05-28,LOLC.N0000,29.299999,31.200001,28.1,29.299999,26494
2012-05-29,LOLC.N0000,27.299999,29.299999,26.5,27.299999,25561
2012-05-30,LOLC.N0000,27.6,28.799999,27.5,27.6,8103
2012-05-31,LOLC.N0000,28.299999,28.5,28,28.299999,17294
2012-06-01,LOLC.N0000,28.700001,30,28,28.700001,163937
2012-06-05,LOLC.N0000,28.6,30.5,28.5,28.6,150590
2012-06-06,LOLC.N0000,28.299999,29,27.700001,28.299999,56597
2012-06-07,LOLC.N0000,29.799999,30.9,28.9,29.799999,233164
2012-06-08,LOLC.N0000,29.9,30.4,29,29.9,50000
2012-06-11,LOLC.N0000,30.6,31.200001,29.9,30.6,100934
2012-06-12,LOLC.N0000,32.400002,32.900002,31,32.400002,17305
2012-06-13,LOLC.N0000,35,35.599998,31.700001,35,89821
2012-06-14,LOLC.N0000,38.5,38.599998,35.799999,38.5,99647
2012-06-15,LOLC.N0000,40.200001,41.5,38.099998,40.200001,110241
2012-06-18,LOLC.N0000,40,41.5,37.900002,40,41739
2012-06-19,LOLC.N0000,40.099998,41.200001,40,40.099998,27994
