date,ticker,open,high,low,close,volume
2016-12-30,MELS.N0000,65,65,59,60,716175
2017-01-02,MELS.N0000,59.5,59.5,57.700001,57.700001,33029
2017-01-03,MELS.N0000,58,58,54.900002,54.900002,56624
2017-01-04,MELS.N0000,55,55.900002,55,55.599998,79437
2017-01-05,MELS.N0000,56,57.5,56,57.5,30594
2017-01-06,MELS.N0000,56.200001,58.400002,56,58.400002,9088
2017-01-09,MELS.N0000,58.5,58.5,57,58,28412
2017-01-10,MELS.N0000,58.200001,62.5,58.200001,60.200001,317422
2017-01-11,MELS.N0000,60.200001,65.5,60.200001,65.5,290766
2017-01-13,MELS.N0000,65.5,69.5,65,68.199997,1606235
2017-01-16,MELS.N0000,68.5,68.5,66.5,66.5,51082
2017-01-17,MELS.N0000,66.599998,67,65,65,48284
2017-01-18,MELS.N0000,65.099998,66.5,64.800003,65.5,171451
2017-01-19,MELS.N0000,66.800003,67.900002,65,65.5,75262
2017-01-23,MELS.N0000,65,66.699997,65,65.099998,1452604
2017-01-24,MELS.N0000,65.400002,66,65,65.099998,142605
2017-01-25,MELS.N0000,66,66,65,65,39710
2017-01-26,MELS.N0000,65.099998,65.400002,65,65.099998,136714
2017-01-27,MELS.N0000,65.099998,66,65,65.199997,397970
2017-01-30,MELS.N0000,65.5,65.900002,65.199997,65.5,35742
2017-01-31,MELS.N0000,65.5,65.800003,65,65.400002,224250
2017-02-01,MELS.N0000,65.5,65.900002,65.5,65.599998,17087
2017-02-02,MELS.N0000,65.5,68,65.5,66,8234071
2017-02-03,MELS.N0000,67,68,65.599998,67.199997,1104553
2017-02-06,MELS.N0000,68,68,65,65.099998,253450
2017-02-07,MELS.N0000,65.699997,66,65,65.099998,10806
2017-02-08,MELS.N0000,65.900002,65.900002,65,65.199997,188515
2017-02-09,MELS.N0000,65.099998,65.099998,65,65,2450
2017-02-13,MELS.N0000,65,66.099998,65,66,13835
2017-02-14,MELS.N0000,65.199997,65.199997,65.099998,65.099998,2600
2017-02-15,MELS.N0000,65.800003,65.800003,65,65,131838
2017-02-16,MELS.N0000,65,66,65,65,46172
2017-02-20,MELS.N0000,65,65.5,64.5,65.099998,31914
2017-02-21,MELS.N0000,65,65.199997,65,65,39416
2017-02-22,MELS.N0000,65,65,64,64.5,3765
2017-02-23,MELS.N0000,65,65,65,65,71714
2017-02-27,MELS.N0000,65,65,63.200001,65,202059
2017-02-28,MELS.N0000,65,65.300003,65,65,25060
2017-03-01,MELS.N0000,65,65.300003,64.099998,64.099998,9306
2017-03-02,MELS.N0000,64.099998,64.099998,63.5,63.5,7400
2017-03-06,MELS.N0000,63.5,65,62,65,1166990
2017-03-07,MELS.N0000,63.5,64.900002,63.5,64.699997,114
2017-03-08,MELS.N0000,64.800003,65,63.5,63.5,228360
2017-03-09,MELS.N0000,63.200001,63.200001,62.599998,62.599998,5856
2017-03-13,MELS.N0000,61,64,60.099998,64,7165
2017-03-14,MELS.N0000,60.200001,65,60.200001,64.900002,492094
2017-03-15,MELS.N0000,64.900002,64.900002,62.099998,62.099998,405
2017-03-16,MELS.N0000,62,64,62,64,1304
2017-03-17,MELS.N0000,63.900002,63.900002,61.099998,61.799999,235340
2017-03-21,MELS.N0000,61.900002,61.900002,61.099998,61.099998,1510
