ticker,rows,start,end,years,flat_pct,zero_volume_days,moves_over_25pct,longest_stale_run,max_gap_days,biggest_drop_pct,biggest_rise_pct,verdict
SAMP,3404,2012-02-23,2026-07-27,14.4,8.7,0,0,5,54,-16.81,21.56,GOOD
JKH,3363,2012-02-22,2026-07-27,14.4,10.9,0,0,4,54,-19.74,18.79,GOOD
LOLC,3188,2012-02-22,2026-07-27,14.4,10.9,0,3,11,54,-33.42,35.75,GOOD - check 2022 moves
COMB,3360,2012-02-23,2026-07-27,14.4,12.6,1,0,7,54,-14.58,19.85,GOOD
HNB,3270,2012-02-22,2026-07-27,14.4,12.9,0,0,6,54,-14.88,14.43,GOOD
MELS,2079,2016-12-30,2026-07-27,9.6,13.3,0,0,9,54,-17.95,14.14,GOOD - short history (2016+)
DIST,7188,1993-11-29,2026-07-27,32.7,29.8,0,2,18,550,-22.69,28.0,TRUNCATE to 2012+
CTC,8010,1992-01-03,2026-07-27,34.6,30.6,3152,5,15,54,-44.79,84.62,TRUNCATE to 2012+
DIAL,3336,2012-02-23,2026-07-27,14.4,32.3,1,0,15,54,-13.04,9.09,CAUTION - 32% flat days
LOFC,3208,2012-02-23,2026-07-27,14.4,37.8,0,5,12,54,-37.59,67.97,CAUTION - 38% flat days
