date,iip_index,iip_mom_pct_DO_NOT_USE,iip_yoy_pct,iip_yoy_3mavg,d_iip_yoy_3m
2016-01-31,103.4,,,,
2016-02-29,101.9,-1.45,,,
2016-03-31,108.7,6.67,,,
2016-04-30,95.3,-12.33,,,
2016-05-31,102.6,7.66,,,
2016-06-30,106.1,3.41,,,
2016-07-31,103.8,-2.17,,,
2016-08-31,103.5,-0.29,,,
2016-09-30,101.6,-1.84,,,
2016-10-31,104.3,2.66,,,
2016-11-30,104.5,0.19,,,
2016-12-31,103.3,-1.15,,,
2017-01-31,103.8,0.48,0.39,,
2017-02-28,103.1,-0.67,1.18,,
2017-03-31,109.5,6.21,0.74,0.77,
2017-04-30,98.7,-9.86,3.57,1.83,3.18
2017-05-31,104.9,6.28,2.24,2.18,1.06
2017-06-30,105.5,0.57,-0.57,1.75,-1.31
2017-07-31,104.9,-0.57,1.06,0.91,-2.51
2017-08-31,108.6,3.53,4.93,1.81,2.69
2017-09-30,107.7,-0.83,6.0,4.0,6.57
2017-10-31,108.6,0.84,4.12,5.02,3.06
2017-11-30,108.9,0.28,4.21,4.78,-0.72
2017-12-31,107.7,-1.1,4.26,4.2,-1.74
2018-01-31,108.7,0.93,4.72,4.4,0.6
2018-02-28,103.6,-4.69,0.48,3.15,-3.73
2018-03-31,110.3,6.47,0.73,1.98,-3.53
2018-04-30,97.7,-11.42,-1.01,0.07,-5.73
2018-05-31,105.7,8.19,0.76,0.16,0.28
2018-06-30,105.0,-0.66,-0.47,-0.24,-1.2
2018-07-31,106.1,1.05,1.14,0.48,2.15
2018-08-31,109.3,3.02,0.64,0.44,-0.12
2018-09-30,106.7,-2.38,-0.93,0.28,-0.46
2018-10-31,110.8,3.84,2.03,0.58,0.89
2018-11-30,107.4,-3.07,-1.38,-0.09,-2.02
2018-12-31,109.0,1.49,1.21,0.62,2.14
2019-01-31,108.8,-0.18,0.09,-0.03,-1.94
2019-02-28,104.2,-4.23,0.58,0.63,1.96
2019-03-31,116.5,11.8,5.62,2.1,4.41
2019-04-30,96.9,-16.82,-0.82,1.79,-0.91
2019-05-31,106.1,9.49,0.38,1.73,-0.2
2019-06-30,107.3,1.13,2.19,0.58,-3.43
2019-07-31,108.4,1.03,2.17,1.58,2.99
2019-08-31,112.0,3.32,2.47,2.28,2.09
2019-09-30,107.3,-4.2,0.56,1.73,-1.63
2019-10-31,112.1,4.47,1.17,1.4,-1.0
2019-11-30,108.8,-2.94,1.3,1.01,-1.17
2019-12-31,108.6,-0.18,-0.37,0.7,-0.93
2020-01-31,108.1,-0.46,-0.64,0.1,-1.81
2020-02-29,103.9,-3.89,-0.29,-0.43,-1.59
2020-03-31,83.8,-19.35,-28.07,-9.67,-27.7
2020-04-30,49.7,-40.69,-48.71,-25.69,-48.07
2020-05-31,79.0,58.95,-25.54,-34.11,-25.25
