date,series,base,index,mom_pct_reported,yoy_pct_reported,ma12_pct_reported
2003-01-31,CCPI,2002=100,105.8,,,
2003-02-28,CCPI,2002=100,105.2,-0.5,,
2003-03-31,CCPI,2002=100,104.2,-1.0,,
2003-04-30,CCPI,2002=100,104.4,0.2,,
2003-05-31,CCPI,2002=100,105.4,1.0,,
2003-06-30,CCPI,2002=100,105.7,0.3,,
2003-07-31,CCPI,2002=100,105.1,-0.6,,
2003-08-31,CCPI,2002=100,104.9,-0.1,,
2003-09-30,CCPI,2002=100,106.1,1.1,,
2003-10-31,CCPI,2002=100,106.2,0.1,,
2003-11-30,CCPI,2002=100,107.6,1.4,,
2003-12-31,CCPI,2002=100,108.9,1.2,,
2004-01-31,CCPI,2002=100,110.9,1.8,4.8,
2004-02-29,CCPI,2002=100,111.0,0.1,5.5,
2004-03-31,CCPI,2002=100,110.2,-0.7,5.7,
2004-04-30,CCPI,2002=100,111.6,1.3,6.9,
2004-05-31,CCPI,2002=100,112.8,1.0,7.0,
2004-06-30,CCPI,2002=100,113.8,0.9,7.7,
2004-07-31,CCPI,2002=100,115.4,1.5,9.9,
2004-08-31,CCPI,2002=100,116.4,0.8,10.9,
2004-09-30,CCPI,2002=100,118.3,1.6,11.4,
2004-10-31,CCPI,2002=100,119.0,0.6,12.1,
2004-11-30,CCPI,2002=100,121.5,2.1,12.9,
2004-12-31,CCPI,2002=100,123.0,1.3,13.0,9.0
2005-01-31,CCPI,2002=100,124.4,1.1,12.2,9.6
2005-02-28,CCPI,2002=100,124.4,0.0,12.1,10.2
2005-03-31,CCPI,2002=100,124.9,0.4,13.3,10.8
2005-04-30,CCPI,2002=100,126.5,1.3,13.3,11.3
2005-05-31,CCPI,2002=100,127.2,0.6,12.8,11.8
2005-06-30,CCPI,2002=100,127.9,0.5,12.4,12.2
2005-07-31,CCPI,2002=100,128.5,0.5,11.3,12.3
2005-08-31,CCPI,2002=100,128.9,0.3,10.7,12.3
2005-09-30,CCPI,2002=100,129.2,0.2,9.2,12.1
2005-10-31,CCPI,2002=100,130.3,0.9,9.5,11.9
2005-11-30,CCPI,2002=100,131.5,0.9,8.2,11.5
2005-12-31,CCPI,2002=100,132.2,0.5,7.4,11.0
2006-01-31,CCPI,2002=100,133.5,1.0,7.3,10.6
2006-02-28,CCPI,2002=100,134.7,0.9,8.3,10.3
2006-03-31,CCPI,2002=100,134.7,0.0,7.9,9.8
2006-04-30,CCPI,2002=100,136.7,1.5,8.1,9.4
2006-05-31,CCPI,2002=100,139.0,1.6,9.2,9.1
2006-06-30,CCPI,2002=100,141.4,1.8,10.6,9.0
2006-07-31,CCPI,2002=100,141.3,-0.1,9.9,8.9
2006-08-31,CCPI,2002=100,141.8,0.4,10.0,8.8
2006-09-30,CCPI,2002=100,143.5,1.2,11.1,9.0
2006-10-31,CCPI,2002=100,145.4,1.3,11.5,9.2
2006-11-30,CCPI,2002=100,147.8,1.7,12.4,9.5
2006-12-31,CCPI,2002=100,150.0,1.4,13.5,10.0
2007-01-31,CCPI,2002=100,151.8,1.3,13.7,10.6
2007-02-28,CCPI,2002=100,155.2,2.2,15.2,11.1
2007-03-31,CCPI,2002=100,155.0,-0.1,15.1,11.7
2007-04-30,CCPI,2002=100,156.3,0.8,14.3,12.3
2007-05-31,CCPI,2002=100,157.3,0.6,13.2,12.6
2007-06-30,CCPI,2002=100,160.6,2.1,13.5,12.8
2007-07-31,CCPI,2002=100,163.1,1.6,15.4,13.3
2007-08-31,CCPI,2002=100,165.2,1.3,16.5,13.8
2007-09-30,CCPI,2002=100,166.7,0.9,16.1,14.2
2007-10-31,CCPI,2002=100,171.8,3.0,18.2,14.8
2007-11-30,CCPI,2002=100,176.4,2.7,19.3,15.4
2007-12-31,CCPI,2002=100,178.1,1.0,18.8,15.8
2008-01-31,CCPI,2002=100,183.5,3.0,20.8,16.4
2008-02-29,CCPI,2002=100,188.6,2.8,21.6,17.0
2008-03-31,CCPI,2002=100,191.9,1.7,23.8,17.7
2008-04-30,CCPI,2002=100,195.4,1.8,25.0,18.7
2008-05-31,CCPI,2002=100,198.5,1.6,26.2,19.8
2008-06-30,CCPI,2002=100,205.9,3.7,28.2,21.0
2008-07-31,CCPI,2002=100,206.4,0.2,26.6,21.9
2008-08-31,CCPI,2002=100,206.3,0.0,24.9,22.6
2008-09-30,CCPI,2002=100,207.2,0.4,24.3,23.2
2008-10-31,CCPI,2002=100,206.6,-0.3,20.2,23.4
2008-11-30,CCPI,2002=100,205.2,-0.7,16.3,23.0
