date,ccpi_index_2021base,ccpi_mom_pct,ccpi_yoy_pct,ccpi_ma12_yoy_pct,ncpi_index_2013base,ncpi_mom_pct,ncpi_yoy_pct
2003-01-31,31.419,,,,,,
2003-02-28,31.241,-0.57,,,,,
2003-03-31,30.944,-0.95,,,,,
2003-04-30,31.003,0.19,,,,,
2003-05-31,31.3,0.96,,,,,
2003-06-30,31.389,0.28,,,,,
2003-07-31,31.211,-0.57,,,,,
2003-08-31,31.152,-0.19,,,,,
2003-09-30,31.508,1.14,,,,,
2003-10-31,31.538,0.09,,,,,
2003-11-30,31.954,1.32,,,,,
2003-12-31,32.34,1.21,,,,,
2004-01-31,32.934,1.84,4.82,,,,
2004-02-29,32.963,0.09,5.51,,,,
2004-03-31,32.726,-0.72,5.76,,,,
2004-04-30,33.141,1.27,6.9,,,,
2004-05-31,33.498,1.08,7.02,,,,
2004-06-30,33.795,0.89,7.66,,,,
2004-07-31,34.27,1.41,9.8,,,,
2004-08-31,34.567,0.87,10.96,,,,
2004-09-30,35.131,1.63,11.5,,,,
2004-10-31,35.339,0.59,12.05,,,,
2004-11-30,36.081,2.1,12.92,,,,
2004-12-31,36.527,1.23,12.95,8.99,,,
2005-01-31,36.943,1.14,12.17,9.6,,,
2005-02-28,36.943,0.0,12.07,10.15,,,
2005-03-31,37.091,0.4,13.34,10.78,,,
2005-04-30,37.566,1.28,13.35,11.32,,,
2005-05-31,37.774,0.55,12.77,11.8,,,
2005-06-30,37.982,0.55,12.39,12.19,,,
2005-07-31,38.16,0.47,11.35,12.32,,,
2005-08-31,38.279,0.31,10.74,12.3,,,
2005-09-30,38.368,0.23,9.21,12.11,,,
2005-10-31,38.695,0.85,9.5,11.9,,,
2005-11-30,39.051,0.92,8.23,11.51,,,
2005-12-31,39.259,0.53,7.48,11.05,,,
2006-01-31,39.645,0.98,7.32,10.65,,,
2006-02-28,40.001,0.9,8.28,10.33,,,
2006-03-31,40.001,0.0,7.85,9.87,,,
2006-04-30,40.595,1.48,8.06,9.43,,,
2006-05-31,41.278,1.68,9.28,9.14,,,
2006-06-30,41.991,1.73,10.56,8.99,,,
2006-07-31,41.961,-0.07,9.96,8.87,,,
2006-08-31,42.11,0.35,10.01,8.81,,,
2006-09-30,42.615,1.2,11.07,8.97,,,
2006-10-31,43.179,1.32,11.59,9.14,,,
2006-11-30,43.892,1.65,12.4,9.49,,,
2006-12-31,44.545,1.49,13.46,9.99,,,
2007-01-31,45.08,1.2,13.71,10.52,,,
2007-02-28,46.089,2.24,15.22,11.1,,,
2007-03-31,46.03,-0.13,15.07,11.7,,,
2007-04-30,46.416,0.84,14.34,12.22,,,
2007-05-31,46.713,0.64,13.17,12.55,,,
2007-06-30,47.693,2.1,13.58,12.8,,,
2007-07-31,48.435,1.56,15.43,13.25,,,
2007-08-31,49.059,1.29,16.5,13.8,,,
2007-09-30,49.504,0.91,16.17,14.22,,,
2007-10-31,51.019,3.06,18.16,14.77,,,
2007-11-30,52.385,2.68,19.35,15.35,,,
2007-12-31,52.89,0.96,18.73,15.79,,,
2008-01-31,54.525,3.09,20.95,16.39,,,
2008-02-29,56.086,2.86,21.69,16.93,,,
2008-03-31,56.959,1.56,23.74,17.65,,,
2008-04-30,58.016,1.85,24.99,18.54,,,
2008-05-31,58.797,1.35,25.87,19.6,,,
2008-06-30,61.231,4.14,28.39,20.83,,,
2008-07-31,61.369,0.23,26.7,21.77,,,
2008-08-31,61.277,-0.15,24.91,22.47,,,
2008-09-30,61.369,0.15,23.97,23.12,,,
2008-10-31,61.185,-0.3,19.93,23.27,,,
2008-11-30,60.818,-0.6,16.1,23.0,,,
2008-12-31,60.267,-0.91,13.95,22.6,,,
2009-01-31,60.221,-0.08,10.45,21.72,,,
2009-02-28,60.267,0.08,7.45,20.54,,,
2009-03-31,59.945,-0.53,5.24,19.0,,,
2009-04-30,59.532,-0.69,2.61,17.13,,,
2009-05-31,60.91,2.31,3.59,15.27,,,
2009-06-30,61.691,1.28,0.75,12.97,,,
2009-07-31,62.104,0.67,1.2,10.85,,,
2009-08-31,61.874,-0.37,0.97,8.85,,,
2009-09-30,61.966,0.15,0.97,6.93,,,
2009-10-31,62.15,0.3,1.58,5.4,,,
2009-11-30,62.609,0.74,2.95,4.31,,,
2009-12-31,63.298,1.1,5.03,3.57,,,
2010-01-31,64.493,1.89,7.09,3.29,,,
2010-02-28,64.814,0.5,7.55,3.29,,,
2010-03-31,64.217,-0.92,7.13,3.45,,,
2010-04-30,63.574,-1.0,6.79,3.8,,,
2010-05-31,64.355,1.23,5.66,3.97,,,
2010-06-30,64.86,0.79,5.14,4.34,,,
2010-07-31,64.86,0.0,4.44,4.61,,,
2010-08-31,64.952,0.14,4.97,4.94,,,
2010-09-30,65.503,0.85,5.71,5.34,,,
2010-10-31,66.192,1.05,6.5,5.75,,,
2010-11-30,66.927,1.11,6.9,6.08,,,
2010-12-31,67.616,1.03,6.82,6.22,,,
2011-01-31,68.535,1.36,6.27,6.16,,,
2011-02-28,69.499,1.41,7.23,6.13,,,
2011-03-31,69.178,-0.46,7.73,6.18,,,
2011-04-30,69.178,0.0,8.82,6.35,,,
2011-05-31,69.591,0.6,8.14,6.56,,,
2011-06-30,69.454,-0.2,7.08,6.72,,,
2011-07-31,69.683,0.33,7.44,6.97,,,
2011-08-31,69.499,-0.26,7.0,7.14,,,
