date,policy_rate,sdfr,slfr,tb_3m,tb_12m,awdr,awpr,awlr,spread
2012-01-31,7.0,7.0,8.5,8.71,9.3,7.35,11.41,13.59,4.0600000000000005
2012-02-29,7.5,7.5,9.0,9.94,10.3,7.55,11.84,13.84,4.29
2012-03-31,7.5,7.5,9.0,11.06,11.32,7.88,12.42,14.09,4.54
2012-04-30,7.75,7.75,9.75,12.05,12.16,8.33,12.71,14.36,4.380000000000001
2012-05-31,7.75,7.75,9.75,12.29,12.6,8.28,13.32,14.59,5.040000000000001
2012-06-30,7.75,7.75,9.75,12.61,12.88,8.38,13.6,14.88,5.219999999999999
2012-07-31,7.75,7.75,9.75,12.87,13.15,8.7,13.75,15.02,5.050000000000001
2012-08-31,7.75,7.75,9.75,13.07,13.31,8.95,13.76,15.14,4.8100000000000005
2012-09-30,7.75,7.75,9.75,12.57,13.02,9.22,14.08,15.38,4.859999999999999
2012-10-31,7.75,7.75,9.75,11.97,12.56,9.46,13.97,15.57,4.51
2012-11-30,7.75,7.75,9.75,12.09,12.85,9.8,14.23,15.74,4.43
2012-12-31,7.5,7.5,9.5,10.0,11.69,10.1,14.29,15.98,4.1899999999999995
2013-01-31,7.5,7.5,9.5,9.47,11.11,10.38,14.14,16.12,3.76
2013-02-28,7.5,7.5,9.5,9.09,11.1,10.56,14.38,16.21,3.8200000000000003
2013-03-31,7.5,7.5,9.5,9.26,11.35,10.69,13.86,16.36,3.17
2013-04-30,7.5,7.5,9.5,9.23,11.34,10.7,13.58,16.45,2.880000000000001
2013-05-31,7.0,7.0,9.0,8.73,10.86,10.74,13.11,16.25,2.369999999999999
2013-06-30,7.0,7.0,9.0,8.66,10.66,10.56,12.47,16.14,1.9100000000000001
2013-07-31,7.0,7.0,9.0,8.63,10.56,10.43,11.84,15.93,1.4100000000000001
2013-08-31,7.0,7.0,9.0,8.61,10.56,10.1,11.86,15.77,1.7599999999999998
2013-09-30,7.0,7.0,9.0,8.6,10.57,9.93,11.84,15.71,1.9100000000000001
2013-10-31,6.5,6.5,8.5,8.56,10.02,9.79,11.45,15.52,1.6600000000000001
2013-11-30,6.5,6.5,8.5,8.06,9.69,9.52,10.95,15.37,1.4299999999999997
2013-12-31,6.5,6.5,8.5,7.54,8.29,9.37,9.96,15.18,0.5900000000000016
2014-01-31,6.5,6.5,8.0,6.82,7.14,9.14,9.65,14.83,0.5099999999999998
2014-02-28,6.5,6.5,8.0,6.72,7.07,8.83,9.4,14.71,0.5700000000000003
2014-03-31,6.5,6.5,8.0,6.65,7.05,8.45,8.81,14.44,0.3600000000000012
2014-04-30,6.5,6.5,8.0,6.58,7.02,8.06,8.65,14.18,0.5899999999999999
2014-05-31,6.5,6.5,8.0,6.56,7.02,7.74,8.38,14.01,0.6400000000000006
2014-06-30,6.5,6.5,8.0,6.51,6.99,7.4,8.03,13.83,0.629999999999999
2014-07-31,6.5,6.5,8.0,6.43,6.68,7.16,7.64,13.53,0.47999999999999954
2014-08-31,6.5,6.5,8.0,6.19,6.3,7.02,7.28,13.29,0.2600000000000007
2014-09-30,6.5,6.5,8.0,6.15,5.89,6.83,6.93,12.98,0.09999999999999964
2014-10-31,6.5,6.5,8.0,6.15,6.0,6.72,6.44,12.57,-0.27999999999999936
2014-11-30,6.5,6.5,8.0,6.15,6.0,6.42,6.49,12.29,0.07000000000000028
2014-12-31,6.5,6.5,8.0,5.74,6.01,6.2,6.35,11.91,0.14999999999999947
2015-01-31,6.5,6.5,8.0,5.8,6.05,5.94,6.36,11.68,0.41999999999999993
2015-02-28,6.5,6.5,8.0,5.98,6.13,5.9,6.45,11.62,0.5499999999999998
2015-03-31,6.5,6.5,8.0,6.55,6.76,5.83,6.9,11.5,1.0700000000000003
2015-04-30,6.0,6.0,7.5,6.15,6.39,5.83,7.16,11.53,1.33
2015-05-31,6.0,6.0,7.5,6.07,6.29,5.95,7.05,11.39,1.0999999999999996
2015-06-30,6.0,6.0,7.5,6.11,6.28,6.02,7.0,11.25,0.9800000000000004
2015-07-31,6.0,6.0,7.5,6.28,6.48,6.0,6.91,11.17,0.9100000000000001
2015-08-31,6.0,6.0,7.5,6.53,6.97,6.01,6.82,11.08,0.8100000000000005
2015-09-30,6.0,6.0,7.5,6.78,7.18,6.0,6.94,11.03,0.9400000000000004
