date,reserve_money,m1,m2,m2b,m4,reserve_money_mom_pct,reserve_money_yoy_pct,m1_mom_pct,m1_yoy_pct,m2_mom_pct,m2_yoy_pct,m2b_mom_pct,m2b_yoy_pct,m4_mom_pct,m4_yoy_pct
2010-01-31,309189.82,339755.41,1551744.07,1800605.93,2282594.84,,,,,,,,,,
2010-02-28,310808.54,340895.84,1565386.8,1814776.3,2300205.0,0.524,,0.336,,0.879,,0.787,,0.771,
2010-03-31,328852.72,362751.75,1600964.03,1851671.37,2342678.69,5.806,,6.411,,2.273,,2.033,,1.847,
2010-04-30,325004.74,351919.62,1603309.53,1868861.99,2364080.15,-1.17,,-2.986,,0.147,,0.928,,0.914,
2010-05-31,330608.31,354591.16,1622304.25,1875268.45,2373441.54,1.724,,0.759,,1.185,,0.343,,0.396,
2010-06-30,322906.98,348403.96,1637896.55,1881429.56,2384737.22,-2.329,,-1.745,,0.961,,0.329,,0.476,
2010-07-31,331813.17,351176.4,1650967.36,1916381.81,2425995.46,2.758,,0.796,,0.798,,1.858,,1.73,
2010-08-31,336798.13,361268.62,1679209.75,1939710.38,2450671.23,1.502,,2.874,,1.711,,1.217,,1.017,
2010-09-30,338471.17,373834.42,1718989.27,1971922.63,2493586.96,0.497,,3.478,,2.369,,1.661,,1.751,
2010-10-31,348435.01,380159.23,1742357.32,2007826.81,2535570.32,2.944,,1.692,,1.359,,1.821,,1.684,
2010-11-30,344090.52,380660.39,1763573.94,2022307.41,2557481.16,-1.247,,0.132,,1.218,,0.721,,0.864,
2010-12-31,360511.37,407191.71,1812999.83,2091407.83,2636030.26,4.772,,6.97,,2.803,,3.417,,3.071,
2011-01-31,362885.67,407797.87,1832033.54,2101054.94,2659299.4,0.659,17.367,0.149,20.027,1.05,18.063,0.461,16.686,0.883,16.503
2011-02-28,366083.85,415111.74,1863091.55,2136097.14,2695455.17,0.881,17.784,1.794,21.771,1.695,19.018,1.668,17.706,1.36,17.183
2011-03-31,382139.96,419143.21,1899804.45,2176198.84,2748975.44,4.386,16.204,0.971,15.545,1.971,18.666,1.877,17.526,1.986,17.343
2011-04-30,405454.64,423523.17,1935746.92,2212071.39,2789835.84,6.101,24.753,1.045,20.347,1.892,20.734,1.648,18.365,1.486,18.009
2011-05-31,400028.55,423226.01,1957064.38,2239036.21,2824079.71,-1.338,20.998,-0.07,19.356,1.101,20.635,1.219,19.398,1.227,18.987
2011-06-30,397194.45,420953.69,1992454.62,2270914.17,2861471.99,-0.708,23.006,-0.537,20.823,1.808,21.647,1.424,20.702,1.324,19.991
2011-07-31,413172.1,432965.43,2025945.11,2312285.19,2910228.21,4.023,24.519,2.853,23.29,1.681,22.713,1.822,20.659,1.704,19.96
2011-08-31,419936.97,436470.54,2059413.24,2339670.2,2947501.34,1.637,24.685,0.81,20.816,1.652,22.642,1.184,20.62,1.281,20.273
2011-09-30,422277.78,435365.19,2091126.73,2379865.28,2996886.77,0.557,24.76,-0.253,16.459,1.54,21.649,1.718,20.688,1.676,20.184
2011-10-31,425459.41,434111.46,2116658.19,2404951.55,3028852.25,0.753,22.106,-0.288,14.192,1.221,21.482,1.054,19.779,1.067,19.454
2011-11-30,420345.43,424687.15,2139727.97,2438667.62,3067513.22,-1.202,22.161,-2.171,11.566,1.09,21.329,1.402,20.588,1.276,19.943
2011-12-31,439504.3,438707.44,2192603.08,2491739.85,3135821.96,4.558,21.911,3.301,7.74,2.471,20.938,2.176,19.142,2.227,18.96
2012-01-31,434898.66,431679.95,2216985.78,2523084.02,3175655.36,-1.048,19.845,-1.602,5.856,1.112,21.012,1.258,20.087,1.27,19.417
2012-02-29,439406.57,436838.16,2270719.93,2604656.38,3262641.21,1.037,20.029,1.195,5.234,2.424,21.879,3.233,21.935,2.739,21.042
2012-03-31,471146.5,448621.37,2321171.49,2672826.61,3335956.04,7.223,23.292,2.697,7.033,2.222,22.179,2.617,22.821,2.247,21.353
2012-04-30,449306.66,444198.27,2353485.22,2719167.43,3393661.81,-4.635,10.816,-0.986,4.882,1.392,21.58,1.734,22.924,1.73,21.644
2012-05-31,449479.41,434873.01,2351369.88,2707158.76,3387451.7,0.038,12.362,-2.099,2.752,-0.09,20.148,-0.442,20.907,-0.183,19.949
2012-06-30,457526.14,432779.88,2381342.88,2737070.07,3420506.2,1.79,15.189,-0.481,2.809,1.275,19.518,1.105,20.527,0.976,19.537
2012-07-31,463412.63,437863.91,2410233.16,2770896.64,3465409.0,1.287,12.16,1.175,1.131,1.213,18.968,1.236,19.834,1.313,19.077
2012-08-31,472950.17,438964.63,2439376.84,2813408.6,3517320.35,2.058,12.624,0.251,0.571,1.209,18.45,1.534,20.248,1.498,19.332
2012-09-30,473141.73,439753.28,2455009.54,2828650.89,3543901.34,0.041,12.045,0.18,1.008,0.641,17.401,0.542,18.858,0.756,18.253
2012-10-31,471116.18,425437.81,2463315.57,2842561.59,3571265.87,-0.428,10.731,-3.255,-1.998,0.338,16.378,0.492,18.196,0.772,17.908
2012-11-30,476890.83,430016.59,2529841.56,2880656.87,3615075.07,1.226,13.452,1.076,1.255,2.701,18.232,1.34,18.124,1.227,17.85
2012-12-31,484362.44,450048.81,2593184.86,2929070.18,3685041.48,1.567,10.207,4.658,2.585,2.504,18.27,1.681,17.551,1.935,17.514
2013-01-31,484096.0,440600.04,2627393.93,2984631.78,3763858.09,-0.055,11.312,-2.099,2.066,1.319,18.512,1.897,18.293,2.139,18.522
2013-02-28,486728.22,447401.95,2688229.4,3048073.81,3832081.52,0.544,10.769,1.544,2.418,2.315,18.387,2.126,17.024,1.813,17.453
2013-03-31,512395.91,465412.58,2749442.04,3089745.99,3880633.91,5.274,8.755,4.026,3.743,2.277,18.451,1.367,15.598,1.267,16.327
2013-04-30,500287.64,453084.66,2788337.47,3132660.33,3931508.83,-2.363,11.347,-2.649,2.001,1.415,18.477,1.389,15.207,1.311,15.849
