date,s_vader,s_lm,n_articles,neg_share_vader,neg_share_lm
2016-01-01,0.1591,0.5,2,0.0,0.0
2016-01-02,0.0,0.0,1,0.0,0.0
2016-01-04,-0.4063,0.0,2,0.5,0.0
2016-01-05,0.13865,0.25,4,0.25,0.0
2016-01-06,0.0,0.0,1,0.0,0.0
2016-01-07,0.1589,0.0,3,0.0,0.0
2016-01-08,0.0,0.0,1,0.0,0.0
2016-01-09,0.0,0.0,1,0.0,0.0
2016-01-12,0.0,0.0,1,0.0,0.0
2016-01-13,0.13396666666666665,0.0,3,0.0,0.0
2016-01-14,-0.0483,-0.3333333333333333,3,0.3333333333333333,0.3333333333333333
2016-01-15,0.03764999999999996,0.5,2,0.5,0.0
2016-01-16,0.0,0.0,3,0.0,0.0
2016-01-17,-0.1027,-1.0,1,1.0,1.0
2016-01-18,0.6597,0.0,1,0.0,0.0
2016-01-19,0.43784999999999996,0.5,2,0.0,0.0
2016-01-20,0.45204999999999995,0.5,2,0.0,0.0
2016-01-21,0.030666666666666675,-0.3333333333333333,3,0.3333333333333333,0.3333333333333333
2016-01-22,0.296,0.0,1,0.0,0.0
2016-01-24,-0.31845,0.0,2,0.5,0.0
2016-01-25,0.0,0.0,1,0.0,0.0
2016-01-27,0.2023,0.0,1,0.0,0.0
2016-01-28,0.07955,0.25,4,0.25,0.25
2016-01-29,0.1366,0.5,2,0.0,0.0
2016-01-30,-0.37558,0.0,5,0.6,0.0
2016-02-01,-0.01545,0.16666666666666666,6,0.5,0.3333333333333333
2016-02-02,-0.0048749999999999905,-0.6666666666666666,4,0.5,1.0
2016-02-03,-0.05828,-0.2833333333333333,10,0.5,0.4
2016-02-04,-0.013022222222222232,0.05291005291005289,9,0.3333333333333333,0.2222222222222222
2016-02-05,0.038849999999999996,0.0,2,0.5,0.5
2016-02-06,0.481125,0.4375,8,0.125,0.25
2016-02-07,0.029066666666666668,-0.16666666666666666,6,0.3333333333333333,0.3333333333333333
2016-02-08,0.011575000000000002,0.1,4,0.25,0.25
2016-02-09,-0.24705000000000002,-0.5,2,0.5,0.5
2016-02-10,-0.32945,-0.5,2,1.0,0.5
2016-02-11,0.28125,0.28571428571428575,6,0.0,0.0
2016-02-12,0.1709142857142857,0.16666666666666669,7,0.2857142857142857,0.14285714285714285
2016-02-13,-0.47092,0.0,5,0.6,0.4
2016-02-14,-0.8957,-1.0,1,1.0,1.0
2016-02-15,0.383475,0.0,4,0.0,0.25
2016-02-16,-0.13549999999999998,-0.10714285714285715,4,0.5,0.5
2016-02-17,0.06638333333333331,0.047619047619047616,6,0.3333333333333333,0.3333333333333333
2016-02-18,0.090925,-0.0625,4,0.5,0.5
2016-02-19,0.9601,0.0,1,0.0,0.0
2016-02-20,0.19376666666666664,0.6666666666666666,3,0.3333333333333333,0.0
2016-02-21,0.336575,-0.25,4,0.25,0.5
2016-02-22,0.3772,-0.5,2,0.5,0.5
2016-02-23,0.505,-0.12244897959183675,7,0.14285714285714285,0.2857142857142857
2016-02-24,0.04627500000000001,-0.25,4,0.25,0.5
2016-02-25,0.16624999999999998,0.3222222222222222,6,0.16666666666666666,0.0
2016-02-26,0.23138333333333336,-0.16666666666666666,6,0.3333333333333333,0.3333333333333333
2016-02-27,0.35813333333333336,-1.0,3,0.3333333333333333,1.0
2016-02-28,-0.11859999999999998,-0.16666666666666666,2,0.5,0.5
2016-02-29,-0.13177999999999998,-0.1,5,0.4,0.4
2016-03-01,0.26805,0.75,4,0.25,0.0
2016-03-02,-0.06971666666666665,-0.5238095238095238,6,0.5,0.8333333333333334
2016-03-03,0.5726666666666667,0.27777777777777773,3,0.0,0.0
2016-03-04,0.0652,-0.3333333333333333,3,0.3333333333333333,0.6666666666666666
2016-03-05,0.33140000000000003,0.0,2,0.5,0.0
2016-03-06,0.011149999999999993,-0.1956521739130435,2,0.5,0.5
2016-03-07,-0.16276666666666667,0.08333333333333333,6,0.5,0.3333333333333333
2016-03-08,0.581475,0.08333333333333334,4,0.0,0.25
2016-03-09,-0.20598333333333332,-0.16666666666666666,6,0.5,0.5
2016-03-10,0.10073333333333333,0.2222222222222222,9,0.2222222222222222,0.0
2016-03-11,0.5792999999999999,-0.16666666666666666,2,0.0,0.5
2016-03-12,-0.10295,0.05555555555555556,6,0.5,0.16666666666666666
2016-03-13,0.2584,0.0,1,0.0,0.0
2016-03-15,-0.5267,-0.06666666666666667,4,0.75,0.25
2016-03-16,0.2719125,0.15416666666666667,8,0.375,0.25
2016-03-17,0.26592499999999997,0.25,4,0.25,0.0
2016-03-18,0.31672,0.3333333333333333,5,0.2,0.0
2016-03-19,0.296,1.0,1,0.0,0.0
2016-03-20,0.9524,1.0,1,0.0,0.0
2016-03-21,-0.00019999999999997797,0.25,2,0.5,0.5
2016-03-22,-0.02939999999999998,0.27619047619047615,3,0.6666666666666666,0.0
2016-03-23,-0.09421666666666666,-0.055555555555555546,6,0.3333333333333333,0.5
2016-03-24,0.4215,-1.0,1,0.0,1.0
2016-03-25,-0.2713875,-0.033333333333333326,8,0.625,0.25
2016-03-27,-0.6369,1.0,1,1.0,0.0
2016-03-28,-0.063,0.11111111111111109,3,0.3333333333333333,0.3333333333333333
2016-03-29,-0.25,0.2,1,1.0,0.0
2016-03-30,0.2353,-1.0,1,0.0,1.0
2016-03-31,-0.15766666666666665,0.3333333333333333,3,0.6666666666666666,0.0
2016-04-01,-0.33863,-0.5333333333333333,10,0.6,0.6
2016-04-02,-0.14691666666666667,-0.2777777777777778,6,0.6666666666666666,0.5
2016-04-03,0.0,0.0,1,0.0,0.0
2016-04-04,-0.031799999999999974,-0.16666666666666666,3,0.3333333333333333,0.3333333333333333
2016-04-05,-0.04981999999999999,0.14666666666666667,5,0.6,0.2
2016-04-06,-0.269675,-1.0,4,0.75,1.0
2016-04-07,0.49768,-0.26666666666666666,5,0.2,0.6
