announcement_date,rate_new,rate_old,change_bps,direction,regime
2000-01-21,9.0,9.0,0.0,HOLD,SDFR_SLFR
2000-04-06,9.0,9.0,0.0,HOLD,SDFR_SLFR
2000-05-09,9.25,9.0,25.0,HIKE,SDFR_SLFR
2000-05-11,9.25,9.25,0.0,HOLD,SDFR_SLFR
2000-05-12,9.25,9.25,0.0,HOLD,SDFR_SLFR
2000-05-16,9.25,9.25,0.0,HOLD,SDFR_SLFR
2000-05-19,9.25,9.25,0.0,HOLD,SDFR_SLFR
2000-06-08,9.5,9.25,25.0,HIKE,SDFR_SLFR
2000-07-26,11.0,9.5,150.0,HIKE,SDFR_SLFR
2000-08-31,11.75,11.0,75.0,HIKE,SDFR_SLFR
2000-09-26,12.5,11.75,75.0,HIKE,SDFR_SLFR
2000-09-29,13.0,12.5,50.0,HIKE,SDFR_SLFR
2000-11-08,15.0,13.0,200.0,HIKE,SDFR_SLFR
2000-11-21,17.0,15.0,200.0,HIKE,SDFR_SLFR
2001-01-18,20.0,17.0,300.0,HIKE,SDFR_SLFR
2001-02-26,19.0,20.0,-100.0,CUT,SDFR_SLFR
2001-04-03,18.5,19.0,-50.0,CUT,SDFR_SLFR
2001-07-02,16.0,18.5,-250.0,CUT,SDFR_SLFR
2001-08-02,15.0,16.0,-100.0,CUT,SDFR_SLFR
2001-09-03,13.0,15.0,-200.0,CUT,SDFR_SLFR
2001-10-17,12.0,13.0,-100.0,CUT,SDFR_SLFR
2001-10-19,12.0,12.0,0.0,HOLD,SDFR_SLFR
2002-03-20,11.5,12.0,-50.0,CUT,SDFR_SLFR
2002-03-21,11.5,11.5,0.0,HOLD,SDFR_SLFR
2002-03-22,11.5,11.5,0.0,HOLD,SDFR_SLFR
2002-04-04,11.5,11.5,0.0,HOLD,SDFR_SLFR
2002-06-04,11.5,11.5,0.0,HOLD,SDFR_SLFR
2002-07-26,10.5,11.5,-100.0,CUT,SDFR_SLFR
2002-11-22,9.75,10.5,-75.0,CUT,SDFR_SLFR
2003-01-07,9.0,9.75,-75.0,CUT,SDFR_SLFR
2003-05-09,8.25,9.0,-75.0,CUT,SDFR_SLFR
2003-08-15,7.5,8.25,-75.0,CUT,SDFR_SLFR
2003-10-16,7.0,7.5,-50.0,CUT,SDFR_SLFR
2005-05-13,7.75,7.0,75.0,HIKE,SDFR_SLFR
2005-06-15,8.25,7.75,50.0,HIKE,SDFR_SLFR
2005-09-13,8.5,8.25,25.0,HIKE,SDFR_SLFR
2005-12-22,8.75,8.5,25.0,HIKE,SDFR_SLFR
2006-06-16,9.0,8.75,25.0,HIKE,SDFR_SLFR
2006-07-24,9.125,9.0,12.0,HIKE,SDFR_SLFR
2006-09-28,9.625,9.125,50.0,HIKE,SDFR_SLFR
2006-12-15,10.0,9.625,38.0,HIKE,SDFR_SLFR
2007-02-23,10.5,10.0,50.0,HIKE,SDFR_SLFR
2007-12-03,10.5,10.5,0.0,HOLD,SDFR_SLFR
