date,usd_lkr,usd_lkr_ret_1,usd_lkr_ret_5,usd_lkr_ret_20,usd_lkr_vol_20
2010-05-07,113.6975,,,,
2010-05-11,113.6292,-0.000601,,,
2010-05-12,113.6854,0.000495,,,
2010-05-13,113.7009,0.000136,,,
2010-05-14,113.6573,-0.000383,,,
2010-06-01,113.8271,0.001494,0.00114,,
2010-06-02,113.7567,-0.000618,0.001122,,
2010-06-14,113.5446,-0.001865,-0.001239,,
2010-06-15,113.572,0.000241,-0.001134,,
2010-06-22,113.4625,-0.000964,-0.001714,,
2010-07-01,113.5897,0.001121,-0.002086,,
2010-07-14,113.1292,-0.004054,-0.005516,,
2010-07-19,112.7252,-0.003571,-0.007217,,
2010-07-30,112.5618,-0.00145,-0.008895,,
2010-08-13,112.3888,-0.001537,-0.009463,,
2010-08-27,112.6058,0.001931,-0.008662,,
2010-08-31,112.6897,0.000745,-0.003885,,
2010-09-14,112.6132,-0.000679,-0.000994,,
2010-09-15,112.5431,-0.000622,-0.000166,,
2010-09-21,112.5442,1e-05,0.001383,,
2010-09-27,112.3064,-0.002113,-0.002659,-0.012235,0.001536
2010-10-13,111.9335,-0.00332,-0.00671,-0.014923,0.001651
2010-11-09,111.5154,-0.003735,-0.009748,-0.019088,0.001751
2010-11-10,111.5843,0.000618,-0.008519,-0.018616,0.00177
2010-11-11,111.6845,0.000898,-0.007639,-0.017357,0.001813
2010-11-12,111.6,-0.000757,-0.00629,-0.019566,0.001727
2010-11-15,111.685,0.000762,-0.00222,-0.018212,0.001769
2010-11-16,111.6964,0.000102,0.001623,-0.016277,0.001768
2010-11-24,111.3637,-0.002979,-0.001977,-0.019444,0.001813
2010-11-25,111.2437,-0.001078,-0.003947,-0.019555,0.001813
2011-01-20,110.8124,-0.003877,-0.007057,-0.02445,0.001851
2011-01-21,110.9594,0.001327,-0.006497,-0.01918,0.001811
2011-01-24,111.0139,0.000491,-0.00611,-0.015181,0.001729
2011-01-25,110.9216,-0.000831,-0.00397,-0.014572,0.001722
2011-01-26,110.9091,-0.000113,-0.003008,-0.013166,0.001716
2011-01-27,111.0493,0.001264,0.002138,-0.013823,0.001669
2011-01-28,111.0536,3.9e-05,0.000849,-0.014519,0.001644
2011-01-31,111.1007,0.000424,0.000782,-0.013431,0.001664
2011-02-07,110.892,-0.001878,-0.000267,-0.014671,0.001686
2011-02-08,110.9812,0.000804,0.00065,-0.013888,0.001713
2011-02-09,110.9969,0.000141,-0.000472,-0.01166,0.001689
2011-02-10,110.9721,-0.000223,-0.000734,-0.008589,0.001563
2011-02-11,110.9815,8.5e-05,-0.001073,-0.004788,0.001357
2011-02-14,111.0387,0.000515,0.001323,-0.00489,0.001354
2011-02-15,111.0909,0.00047,0.000988,-0.005315,0.001339
