date,spsl20_points
2015-01-01,4089.1399
2015-01-05,4110.2998
2015-01-07,4145.4102
2015-01-08,4149.1099
2015-01-09,4185.9702
2015-01-12,4272.5
2015-01-13,4261.5898
2015-01-14,4265.6802
2015-01-19,4248.0298
2015-01-20,4140.1099
2015-01-21,4133.52
2015-01-22,4103.6499
2015-01-23,4107.8198
2015-01-26,4080.0601
2015-01-27,4098.1899
2015-01-28,4134.7998
2015-01-29,4151.46
2015-01-30,4138.1499
2015-02-02,3960.1101
2015-02-03,3831.5901
2015-02-06,3865.5901
2015-02-09,3950.9399
2015-02-10,3992.3501
2015-02-11,4068.7
2015-02-12,4123.2002
2015-02-13,4120.2202
2015-02-16,4113.5801
2015-02-17,4076.8301
2015-02-19,4083.22
2015-02-20,4109.3999
2015-02-23,4136.6899
2015-02-24,4131.27
2015-02-25,4103.77
2015-02-26,4119.7202
2015-02-27,4121.8701
2015-03-02,4118.2998
2015-03-03,4108.0098
2015-03-04,4104.79
2015-03-05,4097.6899
2015-03-09,4109.98
2015-03-10,4087.9299
2015-03-11,4088.03
2015-03-12,4071.78
2015-03-13,4070.54
2015-03-16,4044.6599
2015-03-17,4035.54
2015-03-18,4031.6101
2015-03-19,4028.6699
2015-03-20,4021.3501
2015-03-23,4016.8999
2015-03-24,4002.77
2015-03-25,3977.1699
2015-03-26,3961.3101
2015-03-27,3930.8201
2015-03-30,3901.3401
2015-03-31,3832.53
2015-04-01,3852.4299
2015-04-02,3900.6699
2015-04-03,3909.5801
2015-04-07,3893.25
2015-04-08,3909.6599
2015-04-09,3910.26
2015-04-10,3894.49
2015-04-13,3892.4299
2015-04-16,3940.6399
2015-04-17,3991.1001
2015-04-20,4010.48
2015-04-21,4020.6001
2015-04-22,4039.6499
2015-04-23,4035.7
2015-04-24,4022.4399
2015-04-28,4020.79
2015-04-29,4030.22
2015-04-30,4050.8
2015-05-01,4055.8799
2015-05-06,4065.54
2015-05-07,4070.01
2015-05-08,4062.6101
2015-05-11,4058.77
2015-05-12,4065.3401
2015-05-13,4070.6101
2015-05-14,4066.3799
2015-05-15,4042.99
2015-05-18,4050.1399
2015-05-19,4038.74
2015-05-20,4046.3701
2015-05-21,4075.53
2015-05-22,4062.97
2015-05-25,4073.8201
2015-05-26,4054.6699
2015-05-27,4037.8501
2015-05-28,4029.78
2015-05-29,4044.0601
2015-06-01,4004.01
2015-06-02,3979.53
2015-06-04,3971.47
2015-06-05,3961.48
2015-06-08,3961.1399
2015-06-09,3924.52
2015-06-10,3915.1899
2015-06-11,3914.4099
2015-06-12,3906.02
2015-06-15,3916.1499
2015-06-16,3926.9399
2015-06-17,3904.1201
2015-06-18,3914.76
2015-06-19,3929.4399
2015-06-22,3919.0
2015-06-23,3924.8201
2015-06-24,3941.3701
2015-06-25,3929.48
2015-06-26,3911.7
2015-06-29,3907.4299
2015-06-30,3925.23
2015-07-01,3917.8601
2015-07-03,3899.4199
2015-07-06,3919.4299
2015-07-07,3919.79
2015-07-08,3887.8301
2015-07-09,3852.5901
2015-07-10,3877.29
2015-07-13,3916.23
2015-07-14,3923.73
2015-07-15,3932.1299
2015-07-16,3992.47
2015-07-17,4009.1101
2015-07-20,4019.51
2015-07-21,4018.53
2015-07-22,4005.1399
2015-07-23,4046.96
2015-07-24,4052.05
2015-07-27,4082.1101
2015-07-28,4070.1799
2015-07-29,4087.0
2015-07-30,4108.9102
2015-07-31,4119.0698
2015-08-04,4095.28
2015-08-05,4084.5701
2015-08-06,4083.02
2015-08-07,4094.9199
2015-08-10,4097.2202
2015-08-11,4104.7202
2015-08-12,4154.1499
2015-08-13,4155.0801
2015-08-14,4137.8301
2015-08-17,4157.0498
2015-08-18,4164.48
2015-08-19,4160.3198
2015-08-20,4188.4902
2015-08-21,4141.2798
2015-08-24,4138.6499
2015-08-25,4045.3
2015-08-26,3984.4099
2015-08-27,3987.0
2015-08-28,4009.9299
2015-08-31,4049.8401
2015-09-01,4025.4299
2015-09-02,4024.0901
2015-09-03,3981.27
2015-09-04,3979.26
2015-09-07,3956.21
2015-09-08,3938.3301
2015-09-09,3914.04
2015-09-10,3947.55
2015-09-11,3924.25
2015-09-14,3910.3999
2015-09-15,3920.77
2015-09-16,3918.01
2015-09-17,3909.48
2015-09-18,3885.0801
2015-09-21,3893.02
2015-09-22,3883.22
2015-09-23,3899.02
2015-09-24,3884.22
2015-09-28,3889.52
2015-09-29,3864.3501
2015-09-30,3850.9299
2015-10-01,3815.1899
2015-10-02,3831.6899
2015-10-05,3840.75
2015-10-06,3830.23
2015-10-07,3827.3101
2015-10-08,3821.6899
2015-10-09,3818.6001
2015-10-12,3819.8
2015-10-13,3816.22
2015-10-14,3811.21
2015-10-15,3781.1699
2015-10-16,3783.1299
2015-10-19,3773.71
2015-10-20,3781.3
2015-10-21,3796.8601
2015-10-22,3808.8301
2015-10-23,3819.0701
2015-10-26,3821.8301
2015-10-27,3827.8301
2015-10-29,3840.0
2015-10-30,3827.8899
2015-11-02,3803.0
2015-11-03,3796.79
2015-11-04,3786.74
2015-11-05,3784.6101
2015-11-06,3794.1101
2015-11-09,3824.6201
2015-11-10,3821.97
2015-11-12,3790.6101
2015-11-13,3783.3401
2015-11-16,3787.0
2015-11-17,3759.26
2015-11-18,3763.3
2015-11-19,3759.3501
2015-11-20,3781.25
2015-11-23,3774.1101
2015-11-24,3782.72
2015-11-25,3735.6101
2015-11-27,3705.0
2015-11-30,3704.04
2015-12-01,3657.6899
2015-12-02,3651.3401
2015-12-03,3637.75
2015-12-04,3647.6799
2015-12-07,3638.5601
2015-12-08,3632.9299
2015-12-09,3624.3899
2015-12-10,3616.01
2015-12-11,3612.5701
2015-12-14,3607.3101
2015-12-15,3585.6299
2015-12-16,3610.54
2015-12-17,3597.0701
2015-12-18,3615.76
2015-12-21,3628.5801
2015-12-22,3628.3
2015-12-23,3596.8701
2015-12-24,3615.6399
2015-12-29,3588.6399
2015-12-30,3592.1201
