ds,y,yhat,yhat_lower,yhat_upper
2024-08-21,1251.0,1231.8855208710834,1134.8282336466227,1324.699276775378
2024-08-22,1235.0,1233.202580926162,1141.0575894185847,1326.4520549773551
2024-08-23,1239.25,1236.4471551461645,1149.2912978308593,1336.3995830402343
2024-08-26,1237.0,1234.9849658528663,1138.6421081419492,1326.8817583772022
2024-08-27,1230.0,1228.6827969018123,1128.3428912707259,1323.6339287581143
2024-08-28,1210.0,1228.871196297013,1139.4263086987442,1322.0445104734729
2024-08-29,1210.0,1229.4282996435907,1130.6900995390388,1322.6845499823264
2024-08-30,1210.0,1232.0892928433038,1138.1749198639143,1329.1218838491523
2024-09-02,1210.0,1229.9130436338778,1139.8720686676613,1319.4263947931436
2024-09-03,1160.0,1223.6919292720713,1136.0151303825633,1314.9284747185147
2024-09-04,1200.0,1224.0991565551415,1130.0302419563743,1310.2395883877568
2024-09-05,1201.0,1224.9956038966545,1125.3597047866506,1326.616190585335
2024-09-06,1200.0,1228.0971365396747,1133.2768079461132,1326.13849316236
2024-09-09,1175.0,1227.6380684487594,1137.2569100807439,1323.2133102659254
2024-09-10,1175.0,1222.048864878737,1122.558576389636,1315.1983204765506
2024-09-11,1180.0,1223.0828290776246,1126.5943065620097,1315.9098519848833
2024-09-12,1178.5,1224.5818235841573,1127.3950335394522,1311.0435597196151
2024-09-13,1180.0,1228.2447033476808,1138.3482316982188,1326.381031780127
2024-09-18,1183.0,1225.0097110239708,1135.4039720917617,1313.919425589863
2024-09-19,1175.0,1226.6197559803327,1134.4666395959764,1317.7483845301504
2024-09-20,1183.75,1230.3136087773582,1141.6066955338567,1325.9101380802474
2024-09-23,1174.0,1230.8495818301726,1138.5296268797913,1325.704029985857
2024-09-24,1190.25,1225.3389153580483,1133.8018441086426,1323.2234105618916
2024-09-25,1195.0,1226.3403995080987,1130.2369505767836,1317.8151422686703
2024-09-26,1195.0,1227.7113355225736,1128.6576457342096,1323.5102434395233
2024-09-27,1200.0,1231.1692167703989,1138.357012648955,1328.457510243555
2024-09-30,1190.25,1231.1568946839948,1136.0774040895635,1320.257122403181
2024-10-01,1200.0,1225.557600692559,1130.0855969493305,1320.8424370347784
2024-10-02,1192.25,1226.5335588412659,1132.3200609232745,1321.6938076548051
2024-10-03,1204.75,1227.948343841301,1133.4277726750827,1318.8097943746814
2024-10-04,1210.0,1231.5231723954512,1139.6840587715003,1330.9716175883643
2024-10-07,1200.0,1232.2974007872097,1139.1260800099615,1321.2412543538862
2024-10-08,1198.25,1227.0913861672775,1136.900777308644,1322.4362779292458
2024-10-09,1198.25,1228.5130028002584,1136.8188356474857,1324.6471447031552
2024-10-10,1200.0,1230.4147787590812,1136.4213298917834,1324.8744725093843
2024-10-11,1200.0,1234.505256677759,1135.673066490533,1329.7026908636424
2024-10-14,1205.0,1236.8560495707843,1146.361053202169,1331.2916509503686
2024-10-15,1215.0,1232.1360057612872,1134.6679118946029,1325.8539943378812
2024-10-16,1211.0,1233.9997801547788,1136.1414268475576,1325.1951234180635
2024-10-18,1213.0,1240.6942624696735,1153.8270293752923,1339.1545687438916
2024-10-21,1214.0,1243.5005739898245,1150.4905612055595,1339.617717440771
2024-10-22,1210.5,1238.7508803735066,1143.308542417967,1331.3844606625223
2024-10-23,1210.0,1240.492610154975,1135.427086209058,1342.2827789677706
2024-10-24,1240.0,1242.5683153226562,1152.1604011536247,1337.5638444547155
2024-10-25,1245.0,1246.680717011484,1153.68030118095,1338.9331547779973
2024-10-28,1237.25,1248.192859506621,1153.8644849709794,1345.7917066940238
2024-10-29,1240.0,1242.9161764411347,1147.2405268196262,1339.137123557267
2024-10-30,1237.0,1244.1072101706668,1155.8747462433519,1328.4712289561019
2024-11-01,1238.0,1249.1862221397955,1156.7083537292237,1352.682579814665
2024-11-04,1235.0,1249.2498737436854,1154.9589538414193,1346.453487179348
2024-11-05,1235.0,1243.6041973618053,1154.2557224617726,1342.475346929566
2024-11-06,1229.75,1244.5022128360054,1152.2048041692342,1341.123792545047
2024-11-07,1234.0,1245.810559850798,1145.5054751719679,1340.0519266782778
2024-11-08,1230.25,1249.2538403546218,1152.7486459238896,1338.7245623357749
2024-11-11,1270.0,1249.5210178128618,1151.376638620032,1348.3019005240287
2024-11-12,1268.0,1244.1225175886582,1154.2374263911609,1350.2574117318482
2024-11-13,1270.0,1245.34739179008,1147.248834238558,1344.5199810098457
2024-11-14,1275.0,1247.0528337468918,1146.3450745408904,1347.5597092080748
2024-11-18,1280.0,1252.8061727935744,1153.7417882223135,1350.7724373169954
2024-11-19,1270.0,1247.9609617791539,1149.7490435037328,1338.6643367823283
2024-11-20,1253.0,1249.7266017321126,1152.8427330226311,1348.8450305532092
2024-11-21,1245.0,1251.9462432434896,1155.234721301623,1354.1151008073905
2024-11-22,1253.5,1256.3202250178367,1158.9632953563287,1353.8288012438497
2024-11-25,1260.0,1259.257736073166,1162.6088997903155,1353.588002820312
2024-11-26,1260.0,1254.6360335287588,1153.0041869049935,1350.226575715882
2024-11-27,1271.0,1256.5504242490706,1161.4958086799832,1361.298671550852
2024-11-28,1275.0,1258.8444081742737,1156.5863155823158,1358.9526971528935
2024-11-29,1275.0,1263.221307188055,1171.0862120006934,1361.2599695683448
2024-12-02,1274.0,1265.8058754849574,1168.7435067531617,1365.4762636223788
2024-12-03,1274.0,1260.9790471303154,1164.041597297412,1355.3657522476683
2024-12-04,1275.0,1262.665430601638,1167.300567395225,1359.016885315412
2024-12-05,1290.0,1264.7228214433246,1153.606922387224,1362.2761057302882
2024-12-06,1293.5,1268.8694096850127,1177.6640797126188,1370.0572115672762
2024-12-09,1301.0,1270.948086983207,1171.473964071947,1367.7014295193
2024-12-10,1305.5,1266.059694794478,1160.06800051903,1370.6947064911233
2024-12-11,1310.0,1267.7573300478139,1173.5626510959712,1363.019162062408
2024-12-12,1320.0,1269.9074905080129,1164.3261908693535,1370.3083595712249
2024-12-13,1338.75,1274.2347099431847,1183.089734588435,1370.8438451422765
2024-12-16,1320.0,1277.4062152396357,1177.960248705402,1375.2459966804063
2024-12-17,1320.0,1273.0597489069344,1171.8857126707517,1371.8397362773203
2024-12-18,1328.0,1275.3782209363212,1167.870928897638,1380.9319823289752
2024-12-19,1300.0,1278.218288386888,1173.4396341288536,1382.0462899443253
2024-12-20,1300.0,1283.2923685585577,1178.1341296304286,1389.7949064887737
2024-12-23,1310.0,1288.8980564708695,1188.8949280024183,1388.1710023470998
2024-12-24,1315.0,1285.3720447602066,1183.8856431899587,1387.0846805838794
2024-12-26,1320.0,1292.0802379158613,1185.53296822018,1392.7314955103145
2024-12-27,1324.25,1297.8496364736686,1190.628121658927,1391.8827327960025
2024-12-30,1366.5,1305.0461324511293,1206.7940735649493,1406.6660404579047
2024-12-31,1400.0,1301.8472297636572,1200.7889098384771,1402.6249252702028
2025-01-02,1411.75,1308.8622104955077,1206.3430111514858,1417.5176804718958
2025-01-03,1380.0,1314.6067937764806,1206.527666499668,1415.9929526100525
2025-01-06,1394.75,1321.0494092698448,1212.3414465582287,1421.406421513002
2025-01-07,1390.0,1317.3977727454733,1215.8184790504938,1421.414003109105
2025-01-08,1396.0,1320.18950025204,1211.0499376563007,1424.782741846168
2025-01-09,1392.0,1323.2740413936287,1218.524768277864,1424.4000119891818
2025-01-10,1403.0,1328.3615997684747,1224.1417278080944,1436.3640048024229
2025-01-15,1403.75,1330.4189661657567,1221.9472169792666,1429.0211027050966
2025-01-16,1400.0,1332.8566331149334,1232.6243253297932,1437.3461410502318
2025-01-17,1420.0,1337.3463155514742,1223.508148903327,1443.787524782492
2025-01-20,1423.5,1340.233967342965,1235.838084480339,1449.7447044709177
2025-01-21,1423.75,1335.532745980684,1231.9920382221655,1439.2846870397543
2025-01-22,1496.0,1337.3667148848572,1232.8277408796557,1444.9871989570258
2025-01-23,1534.75,1339.5937303085254,1229.5213092932179,1446.3387677312562
2025-01-24,1498.0,1343.9279965440012,1241.5396460536883,1449.1490574237062
2025-01-27,1490.0,1346.5789511494017,1241.1757312751158,1449.5071006659748
2025-01-28,1487.0,1341.833354790881,1237.6834275511524,1442.8510490489575
2025-01-29,1485.0,1343.6167074617802,1234.2571213665915,1449.0705598767527
2025-01-30,1476.5,1345.77226825758,1236.886597990036,1454.378396889059
2025-01-31,1479.0,1350.0000192954058,1243.5706121741973,1456.9312752794758
2025-02-03,1479.0,1351.9948120490408,1250.4144014006224,1458.47813193212
2025-02-05,1452.5,1348.21941965272,1234.8290504994454,1450.5869440607617
2025-02-06,1450.0,1349.8395268006882,1236.8405507064454,1458.4080874559484
2025-02-07,1445.25,1353.4452085540927,1242.863571759501,1464.6799137223827
2025-02-10,1440.0,1353.1014458683785,1248.5218838991582,1463.1424482478365
2025-02-11,1445.0,1347.0847279634456,1242.2345867193305,1464.5000021333
2025-02-13,1420.0,1348.1176340464713,1245.674951752588,1465.1764464084938
2025-02-14,1450.0,1350.7425300126963,1240.5555116344046,1459.3540422107956
2025-02-17,1465.0,1347.609146106887,1238.9870252604655,1450.0217736191194
2025-02-18,1445.25,1340.7798680044848,1231.625943765542,1454.250509091973
2025-02-19,1455.0,1340.444184056712,1231.5511537828827,1461.738573734869
2025-02-20,1421.5,1340.4761631603353,1223.8596659766351,1453.018079870349
2025-02-21,1460.0,1342.6091653177896,1226.3617369215167,1451.2568901823643
2025-02-24,1447.0,1338.8467628898882,1233.53592094369,1451.7801356247403
2025-02-25,1414.0,1332.1114442454705,1221.0798587497593,1446.7571328361594
2025-02-27,1395.0,1332.4535220403131,1222.9198692191544,1446.3968670984584
2025-02-28,1410.0,1335.1267520707138,1225.866021990824,1442.179305603518
2025-03-03,1440.0,1333.7152533226536,1209.2528987766614,1452.7420860395189
2025-03-04,1400.0,1327.9516860755723,1207.4267971175882,1443.887853446102
2025-03-05,1439.75,1328.896598623495,1208.5082993150727,1440.780162850062
