time,open,high,low,close,Basis,Upper,Lower,Volume,Bollinger Bands %b
1551078000,31.525,31.525,31.525,31.525,,,,400,
1551081600,31.25,31.25,30.75,30.75,,,,12400,
1551168000,30.75,30.75,30.75,30.75,,,,200,
1551243600,31.75,31.75,31.75,31.75,,,,4,
1551247200,30.8,30.8,30.75,30.75,,,,4436,
1551250800,30.75,30.75,30.75,30.75,,,,15564,
1551326400,31.225,31.225,30.75,30.75,,,,4004,
1551337200,30.75,30.75,30.75,30.75,,,,12096,
1551340800,30.75,30.75,30.75,30.75,,,,23912,
1551412800,30.5,30.5,30.5,30.5,,,,40,
1551416400,30.75,30.75,30.75,30.75,,,,4,
1551420000,30.75,30.75,30.75,30.75,,,,96,
1551423600,30.5,30.5,30.4,30.4,,,,4000,
1551427200,30.725,30.725,30.725,30.725,,,,116,
1551758400,30.725,30.725,30.725,30.725,,,,12,
1551769200,30.725,30.725,30.725,30.725,,,,1872,
1551772800,30.75,30.75,30.75,30.75,,,,4,
1551844800,30.75,30.75,30.75,30.75,,,,35280,
1551852000,30.475,30.475,30.475,30.475,,,,32,
1551859200,30.475,30.475,30.475,30.475,30.777499999999996,31.39776204139964,30.15723795860035,4,0.25615144905740794
1551942000,30.75,30.75,30.75,30.75,30.73875,31.255585321935342,30.221914678064657,400,0.510883544063778
1552017600,30.75,30.75,30.75,30.75,30.73875,31.255585321935342,30.221914678064657,348,0.510883544063778
1552024800,30.5,30.5,30.5,30.5,30.72625,31.2533825734575,30.1991174265425,5204,0.2853955424192339
1552028400,30.475,30.475,30.45,30.475,30.6625,30.916714476376786,30.408285523623217,480,0.13121691047582876
1552032000,30.5,30.5,30.5,30.5,30.65,30.910288301696713,30.389711698303284,800,0.21185796860210604
1552280400,30.5,30.5,30.5,30.5,30.6375,30.90136549603934,30.37363450396066,700,0.23945058739415648
1552284000,30.725,30.725,30.5,30.5,30.625,30.890047165613517,30.359952834386483,1404,0.2641929131544251
1552287600,30.5,30.5,30.5,30.5,30.6125,30.87636549603848,30.34863450396152,1980,0.28682320786724913
1552363200,30.5,30.5,30.5,30.5,30.6,30.86028830169497,30.339711698305035,589628,0.3079053124001095
1552366800,30.475,30.5,30.25,30.5,30.6,30.86028830169497,30.339711698305035,92648,0.3079053124001095
1552370400,30.25,30.25,30.25,30.25,30.575,30.866976026412498,30.2830239735875,1200,-0.05655254301742688
1552374000,30.25,30.5,30.25,30.25,30.55,30.862649964015663,30.23735003598434,1316948,0.020230234242131474
1552377600,30.725,30.725,30.725,30.725,30.566249999999997,30.879808208312408,30.252691791687585,4,0.7531427910218116
1552449600,30.725,30.725,30.725,30.725,30.566249999999997,30.879808208311683,30.25269179168831,8,0.7531427910223968
1552453200,30.125,30.125,30.125,30.125,30.536249999999995,30.894884563309837,30.177615436690154,32,-0.07335522293858866
1552536000,30.05,30.05,30.05,30.05,30.502499999999998,30.907746838359024,30.09725316164097,40,-0.058301703021686066
1552550400,30.475,30.475,30.475,30.475,30.48875,30.877811370479215,30.099688629520784,4,0.48232926596765185
1552622400,30.475,30.475,30.475,30.475,30.475,30.845135110464824,30.10486488953518,20,0.5
1552626000,30.125,30.125,29.5,29.5,30.42625,30.989826747213176,29.862673252786823,800,-0.32176030556636886
1552629600,29.75,29.75,29.75,29.75,30.390000000000004,31.025098417568316,29.754901582431692,8,-0.0038589156389806758
1552636800,29.8,29.8,29.775,29.775,30.341250000000002,31.007259572001878,29.675240427998126,800,0.0748934971775385
1552892400,30,30,30,30,30.30375,30.95782855032752,29.649671449672482,12,0.2678031179528031
1552978800,30,30,30,30,30.278749999999995,30.93910501815294,29.61839498184705,4108,0.2889392884605642
1553230800,30.725,30.725,30.725,30.725,30.291249999999998,30.975039989689357,29.60746001031064,4,0.8171660937863781
1553234400,30,30,30,30,30.266249999999996,30.95423164946464,29.578268350535353,2000,0.30649919935569503
1553493600,30.55,30.55,30.55,30.55,30.268749999999994,30.96046435578571,29.577035644214277,4,0.7032992359111413
1553497200,30.05,30.05,30.05,30.05,30.246249999999993,30.935683644377782,29.556816355622203,72,0.35767303235026576
1553587200,32,32,32,32,30.32125000000001,31.348415395638284,29.294084604361736,4,1.3171760882563734
1553662800,30.025,30.025,30,30,30.296250000000008,31.32911918339029,29.263380816609725,2580,0.3565888087455573
1553666400,30,30,30,30,30.271250000000002,31.30738162773785,29.235118372262153,300,0.36910446861263513
1553670000,30,30,30,30,30.258750000000003,31.30161564331095,29.215884356689056,900,0.3759427920271162
1553760000,30,31.225,30,31.225,30.307500000000005,31.4321221587708,29.18287784122921,32,0.9079147795748659
1553835600,30.05,30.05,30,30,30.271250000000002,31.38640413732735,29.156095862672654,11200,0.37838004141288595
