ticker,group,phase,n_features,horizon_days,horizon,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
HNB,bank,A,9,1,1 day,2054,514,39.7,42.6,-2.9,False,0.989,-5.1,0.0,0.0,0.0
HNB,bank,D,38,1,1 day,2054,514,43.4,42.6,0.8,True,0.984,-3.9,0.0,0.0,0.0
HNB,bank,E,42,1,1 day,2054,514,43.8,42.6,1.2,True,0.983,-4.5,8.7,0.0,0.0
HNB,bank,E2,54,1,1 day,2054,514,44.4,42.6,1.8,True,0.992,-1.9,7.0,15.1,5.8
HNB,bank,A,9,5,1 week,2047,513,38.4,38.6,-0.2,False,0.986,1.9,0.0,0.0,0.0
HNB,bank,D,38,5,1 week,2047,513,37.4,38.6,-1.2,False,0.988,1.9,0.0,0.0,0.0
HNB,bank,E,42,5,1 week,2047,513,39.6,38.6,1.0,True,0.988,2.1,9.2,0.0,0.0
HNB,bank,E2,54,5,1 week,2047,513,39.4,38.6,0.8,True,0.984,5.5,7.1,13.7,6.8
HNB,bank,A,9,10,2 weeks,2038,512,36.1,39.1,-2.9,False,0.987,3.9,0.0,0.0,0.0
HNB,bank,D,38,10,2 weeks,2038,512,32.6,39.1,-6.4,False,0.996,3.3,0.0,0.0,0.0
HNB,bank,E,42,10,2 weeks,2038,512,33.4,39.1,-5.7,False,0.991,3.3,9.3,0.0,0.0
HNB,bank,E2,54,10,2 weeks,2038,512,32.6,39.1,-6.4,False,0.965,8.6,7.2,13.0,7.4
HNB,bank,A,9,15,3 weeks,2029,511,33.5,43.1,-9.6,False,0.992,1.8,0.0,0.0,0.0
HNB,bank,D,38,15,3 weeks,2029,511,37.8,43.1,-5.3,False,1.006,6.8,0.0,0.0,0.0
HNB,bank,E,42,15,3 weeks,2029,511,38.2,43.1,-4.9,False,1.002,4.5,9.6,0.0,0.0
HNB,bank,E2,54,15,3 weeks,2029,511,38.7,43.1,-4.3,False,0.971,0.6,7.7,12.4,8.7
HNB,bank,A,9,22,1 month,2016,510,40.2,45.1,-4.9,False,0.989,-1.2,0.0,0.0,0.0
HNB,bank,D,38,22,1 month,2016,510,44.7,45.1,-0.4,False,1.032,0.8,0.0,0.0,0.0
HNB,bank,E,42,22,1 month,2016,510,42.5,45.1,-2.5,False,1.025,-1.0,9.1,0.0,0.0
