phase,horizon_days,horizon,mean_edge,median_edge,n_beat,n
A,1,1 day,-0.3,-0.6,5,11
A,5,1 week,-3.7,-2.7,1,11
A,10,2 weeks,-5.4,-3.6,0,11
A,15,3 weeks,-8.6,-8.9,2,11
A,22,1 month,-7.5,-5.0,1,11
A,44,2 months,-7.1,-5.7,4,11
A,66,3 months,-12.0,-12.3,2,11
A,132,6 months,-25.7,-30.9,2,11
A,252,1 year,-40.3,-49.1,0,11
D,1,1 day,-0.9,1.9,8,11
D,5,1 week,-2.9,-3.2,3,11
D,10,2 weeks,-2.9,-3.6,3,11
D,15,3 weeks,-5.0,-5.5,3,11
D,22,1 month,-5.9,-6.0,0,11
D,44,2 months,-8.7,-6.1,4,11
D,66,3 months,-10.9,-5.0,3,11
D,132,6 months,-19.3,-20.3,2,11
D,252,1 year,-28.4,-27.3,1,11
E,1,1 day,-1.6,1.2,7,11
E,5,1 week,-3.5,-2.8,3,11
E,10,2 weeks,-3.6,-5.5,2,11
E,15,3 weeks,-4.9,-6.6,2,11
E,22,1 month,-5.3,-5.4,0,11
E,44,2 months,-8.0,-3.8,4,11
E,66,3 months,-10.5,-4.6,3,11
E,132,6 months,-19.0,-17.2,2,11
E,252,1 year,-28.6,-28.3,1,11
E2,1,1 day,-0.8,0.9,6,11
E2,5,1 week,-3.0,-1.7,4,11
E2,10,2 weeks,-4.6,-5.7,2,11
E2,15,3 weeks,-5.9,-6.2,3,11
E2,22,1 month,-7.8,-6.9,1,11
E2,44,2 months,-10.2,-5.7,3,11
E2,66,3 months,-13.8,-9.8,3,11
E2,132,6 months,-21.4,-21.2,2,11
E2,252,1 year,-34.6,-28.0,1,11
