ticker,horizon_days,gain_D_to_E_pp,gain_E_to_E2_pp,gain_D_to_E2_pp,group,horizon,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,fx_share_%,global_share_%,cpi_share_%
HNB,1,0.4,0.6,1.0,bank,1 day,1.8,True,0.992,-1.9,7.0,15.1,5.8
HNB,5,2.2,-0.2,2.0,bank,1 week,0.8,True,0.984,5.5,7.1,13.7,6.8
HNB,10,0.8,-0.8,0.0,bank,2 weeks,-6.4,False,0.965,8.6,7.2,13.0,7.4
HNB,15,0.4,0.5,0.9,bank,3 weeks,-4.3,False,0.971,0.6,7.7,12.4,8.7
HNB,22,-2.2,-4.3,-6.5,bank,1 month,-6.9,False,1.001,-6.1,7.7,11.0,9.1
HNB,44,-1.7,-5.4,-7.1,bank,2 months,-3.8,False,1.085,-13.2,8.1,10.4,8.5
HNB,66,1.8,-6.6,-4.8,bank,3 months,-9.8,False,1.061,-10.2,8.1,8.8,10.8
HNB,132,3.1,-6.9,-3.8,bank,6 months,-24.2,False,1.136,-52.3,7.2,8.4,12.5
HNB,252,4.1,-7.5,-3.4,bank,1 year,-28.0,False,0.842,-26.3,6.5,8.8,11.4
COMB,1,1.0,2.2,3.2,bank,1 day,-1.5,False,1.015,-5.8,7.1,15.7,5.5
COMB,5,-2.1,-4.1,-6.2,bank,1 week,-9.4,False,1.044,2.6,7.7,14.2,6.9
COMB,10,1.3,0.6,1.9,bank,2 weeks,-5.7,False,1.071,-11.0,9.2,13.2,6.5
COMB,15,1.7,-1.7,0.0,bank,3 weeks,-14.6,False,1.073,-18.8,8.7,12.5,8.5
COMB,22,2.1,-2.8,-0.7,bank,1 month,-13.7,False,1.077,-18.4,8.8,11.9,8.2
COMB,44,3.3,0.2,3.5,bank,2 months,-2.7,False,1.097,-15.9,7.6,11.2,9.8
COMB,66,3.3,-7.4,-4.1,bank,3 months,-16.0,False,0.995,-20.1,7.2,10.6,8.0
COMB,132,-0.2,-8.2,-8.4,bank,6 months,-38.8,False,1.159,-70.7,7.2,7.3,12.2
COMB,252,-5.0,-6.4,-11.4,bank,1 year,-58.2,False,0.981,-78.2,7.4,7.0,8.3
SAMP,1,-3.2,-0.1,-3.3,bank,1 day,-0.9,False,0.996,-5.0,6.8,14.7,6.3
SAMP,5,0.3,2.8,3.1,bank,1 week,0.0,False,1.054,2.0,6.8,14.0,7.2
SAMP,10,-1.9,-1.8,-3.7,bank,2 weeks,-8.7,False,1.078,0.0,7.3,13.1,8.5
SAMP,15,0.6,2.2,2.8,bank,3 weeks,-8.8,False,1.121,-5.8,7.3,12.4,8.3
