phase,horizon,horizon_days,positive,median_edge_pp,sign_test_p
A,1 day,1,5/11,-0.6,0.726
A,1 week,5,1/11,-2.7,1.0
A,2 weeks,10,0/11,-3.6,1.0
A,3 weeks,15,2/11,-8.9,0.994
A,1 month,22,1/11,-5.0,1.0
A,2 months,44,4/11,-5.7,0.887
A,3 months,66,2/11,-12.3,0.994
A,6 months,132,2/11,-30.9,0.994
A,1 year,252,0/11,-49.1,1.0
D,1 day,1,8/11,1.9,0.113
D,1 week,5,3/11,-3.2,0.967
D,2 weeks,10,3/11,-3.6,0.967
D,3 weeks,15,3/11,-5.5,0.967
D,1 month,22,0/11,-6.0,1.0
D,2 months,44,4/11,-6.1,0.887
D,3 months,66,3/11,-5.0,0.967
D,6 months,132,2/11,-20.3,0.994
D,1 year,252,1/11,-27.3,1.0
E,1 day,1,7/11,1.2,0.274
E,1 week,5,3/11,-2.8,0.967
E,2 weeks,10,2/11,-5.5,0.994
E,3 weeks,15,2/11,-6.6,0.994
E,1 month,22,0/11,-5.4,1.0
E,2 months,44,4/11,-3.8,0.887
E,3 months,66,3/11,-4.6,0.967
E,6 months,132,2/11,-17.2,0.994
E,1 year,252,1/11,-28.3,1.0
E2,1 day,1,6/11,0.9,0.5
E2,1 week,5,4/11,-1.7,0.887
E2,2 weeks,10,2/11,-5.7,0.994
E2,3 weeks,15,3/11,-6.2,0.967
E2,1 month,22,1/11,-6.9,1.0
E2,2 months,44,3/11,-5.7,0.967
E2,3 months,66,3/11,-9.8,0.967
E2,6 months,132,2/11,-21.2,0.994
E2,1 year,252,1/11,-28.0,1.0
