test,fold,test_from,med_edge,med_wedge,med_acc,med_base
1-CONTEMPORANEOUS (today from today),0,2017-01,2.0,,60.4,58.4
1-CONTEMPORANEOUS (today from today),1,2017-07,3.3,,66.3,63.3
1-CONTEMPORANEOUS (today from today),2,2018-01,-1.1,,59.4,60.9
1-CONTEMPORANEOUS (today from today),3,2018-07,7.4,,68.6,62.1
1-CONTEMPORANEOUS (today from today),4,2019-01,-4.3,,63.8,64.9
1-CONTEMPORANEOUS (today from today),5,2019-07,7.2,,63.7,54.5
1-CONTEMPORANEOUS (today from today),6,2020-01,2.5,,70.7,65.9
1-CONTEMPORANEOUS (today from today),7,2020-07,12.0,,69.6,57.4
1-CONTEMPORANEOUS (today from today),8,2021-01,12.3,,66.7,54.9
1-CONTEMPORANEOUS (today from today),9,2021-07,8.1,,63.7,55.6
1-CONTEMPORANEOUS (today from today),10,2022-01,8.4,,70.5,62.1
1-CONTEMPORANEOUS (today from today),11,2022-07,8.2,,63.9,56.1
1-CONTEMPORANEOUS (today from today),12,2023-01,13.4,,71.4,56.0
1-CONTEMPORANEOUS (today from today),13,2023-07,15.4,,69.9,58.5
1-CONTEMPORANEOUS (today from today),14,2024-01,14.8,,69.6,55.7
1-CONTEMPORANEOUS (today from today),15,2024-07,19.2,,73.6,52.9
1-CONTEMPORANEOUS (today from today),16,2025-01,24.6,,77.2,54.4
1-CONTEMPORANEOUS (today from today),17,2025-07,6.5,,61.3,57.3
1-CONTEMPORANEOUS (today from today),18,2026-01,12.7,,72.9,61.0
1-LAGGED (today from yesterday),0,2017-01,-2.0,,58.8,58.4
1-LAGGED (today from yesterday),1,2017-07,-8.4,,53.5,63.3
1-LAGGED (today from yesterday),2,2018-01,-6.1,,54.8,60.9
1-LAGGED (today from yesterday),3,2018-07,-5.8,,60.3,62.1
1-LAGGED (today from yesterday),4,2019-01,-9.6,,55.3,64.9
1-LAGGED (today from yesterday),5,2019-07,0.0,,56.6,54.5
1-LAGGED (today from yesterday),6,2020-01,-7.7,,54.9,65.9
1-LAGGED (today from yesterday),7,2020-07,-2.4,,54.4,57.4
1-LAGGED (today from yesterday),8,2021-01,-3.5,,56.1,54.9
1-LAGGED (today from yesterday),9,2021-07,-8.1,,47.6,55.6
1-LAGGED (today from yesterday),10,2022-01,-7.4,,54.7,62.1
1-LAGGED (today from yesterday),11,2022-07,-3.1,,54.8,56.1
1-LAGGED (today from yesterday),12,2023-01,0.9,,58.8,56.0
1-LAGGED (today from yesterday),13,2023-07,-4.1,,55.3,58.5
1-LAGGED (today from yesterday),14,2024-01,-0.9,,53.0,55.7
1-LAGGED (today from yesterday),15,2024-07,8.8,,61.6,52.9
1-LAGGED (today from yesterday),16,2025-01,0.9,,55.3,54.4
1-LAGGED (today from yesterday),17,2025-07,-6.5,,51.6,57.3
1-LAGGED (today from yesterday),18,2026-01,-4.2,,53.4,61.0
2-BINARY h=1,0,2017-01,-4.0,10.3,59.6,58.4
2-BINARY h=1,1,2017-07,-7.2,2.6,55.4,62.5
2-BINARY h=1,2,2018-01,-9.9,-1.5,55.7,61.7
2-BINARY h=1,3,2018-07,-5.8,6.2,57.9,62.1
2-BINARY h=1,4,2019-01,-10.3,-2.0,54.3,64.9
2-BINARY h=1,5,2019-07,0.0,12.0,56.3,54.9
2-BINARY h=1,6,2020-01,-7.0,-1.5,54.9,65.9
2-BINARY h=1,7,2020-07,-4.8,7.9,52.8,57.4
2-BINARY h=1,8,2021-01,-3.5,15.0,55.3,57.9
2-BINARY h=1,9,2021-07,-7.3,6.2,51.6,56.5
2-BINARY h=1,10,2022-01,-8.4,-3.1,54.7,63.2
2-BINARY h=1,11,2022-07,0.0,10.8,54.2,56.1
2-BINARY h=1,12,2023-01,-0.8,11.5,58.0,57.1
2-BINARY h=1,13,2023-07,-3.3,10.8,56.9,59.3
2-BINARY h=1,14,2024-01,-4.3,14.2,53.9,57.4
2-BINARY h=1,15,2024-07,4.8,33.2,61.6,56.8
2-BINARY h=1,16,2025-01,-1.8,4.5,54.4,57.0
2-BINARY h=1,17,2025-07,-7.3,18.4,51.6,56.5
2-BINARY h=1,18,2026-01,-5.1,7.3,54.2,60.2
2-BINARY h=22,0,2017-01,-5.3,9.5,47.8,57.7
2-BINARY h=22,1,2017-07,-1.8,8.1,56.4,57.9
2-BINARY h=22,2,2018-01,0.0,-2.1,64.8,48.3
2-BINARY h=22,3,2018-07,-1.9,18.7,58.5,62.5
2-BINARY h=22,4,2019-01,-2.1,14.6,52.1,49.1
2-BINARY h=22,5,2019-07,3.3,28.6,61.8,58.0
2-BINARY h=22,6,2020-01,7.5,23.9,68.3,66.2
2-BINARY h=22,7,2020-07,-3.2,26.4,52.0,55.2
2-BINARY h=22,8,2021-01,0.0,4.4,54.9,52.7
2-BINARY h=22,9,2021-07,-8.9,-4.4,50.0,56.5
2-BINARY h=22,10,2022-01,-27.7,-19.0,54.7,72.6
2-BINARY h=22,11,2022-07,0.0,0.0,48.5,50.5
2-BINARY h=22,12,2023-01,-22.7,11.2,35.9,55.1
2-BINARY h=22,13,2023-07,-4.1,-0.3,58.5,69.1
2-BINARY h=22,14,2024-01,5.2,26.9,63.5,56.5
2-BINARY h=22,15,2024-07,-19.7,13.6,56.0,77.6
2-BINARY h=22,16,2025-01,-6.1,11.2,55.3,61.4
2-BINARY h=22,17,2025-07,7.3,-1.9,58.1,55.6
2-BINARY h=22,18,2026-01,-18.1,-4.5,39.7,51.3
2-BINARY h=5,0,2017-01,-4.8,13.6,53.0,58.4
2-BINARY h=5,1,2017-07,1.0,16.9,57.5,54.4
2-BINARY h=5,2,2018-01,-0.9,2.0,64.8,65.1
2-BINARY h=5,3,2018-07,-3.2,2.6,55.8,58.9
2-BINARY h=5,4,2019-01,-1.1,13.2,55.3,61.7
2-BINARY h=5,5,2019-07,-5.9,7.3,49.5,57.7
2-BINARY h=5,6,2020-01,-10.0,-1.3,50.0,63.7
2-BINARY h=5,7,2020-07,7.2,17.6,59.2,51.2
2-BINARY h=5,8,2021-01,-7.9,14.8,50.9,57.9
2-BINARY h=5,9,2021-07,0.0,20.4,57.3,54.8
2-BINARY h=5,10,2022-01,-14.7,-9.4,56.8,70.1
2-BINARY h=5,11,2022-07,0.8,0.5,56.1,54.1
2-BINARY h=5,12,2023-01,-5.0,4.8,46.2,56.3
2-BINARY h=5,13,2023-07,-13.8,-7.4,45.5,57.7
2-BINARY h=5,14,2024-01,5.2,18.3,59.1,52.2
2-BINARY h=5,15,2024-07,5.6,49.5,63.2,55.2
2-BINARY h=5,16,2025-01,3.5,17.8,55.3,50.9
2-BINARY h=5,17,2025-07,0.8,21.4,53.2,50.8
2-BINARY h=5,18,2026-01,-16.1,-9.6,45.8,58.5
