test,fold,test_from,ticker,n,acc_%,baseline_%,edge_pp,wacc_%,wacc_base_%,wedge_pp,strategy_ret_%,buyhold_ret_%,position_flips,strategy_net_10bps_%,strategy_net_25bps_%,strategy_net_50bps_%
1-CONTEMPORANEOUS (today from today),0,2017-01,CFIN,104,63.5,67.3,-3.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),0,2017-01,COMB,113,62.8,64.6,-1.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),0,2017-01,HNB,101,59.4,55.4,4.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),0,2017-01,LFIN,101,60.4,58.4,2.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),0,2017-01,LOFC,100,59.0,71.0,-12.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),0,2017-01,LOLC,104,70.2,51.9,18.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),0,2017-01,SAMP,114,59.6,50.9,8.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,CFIN,101,65.3,62.4,3.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,COMB,120,66.7,63.3,3.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,HNB,116,62.9,57.8,5.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,LFIN,83,66.3,66.3,0.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,LOFC,103,69.9,72.8,-2.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,LOLC,114,71.1,67.5,3.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),1,2017-07,SAMP,117,62.4,53.8,8.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,CFIN,101,58.4,59.4,-1.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,COMB,115,62.6,60.9,1.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,HNB,106,59.4,68.9,-9.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,LFIN,91,54.9,56.0,-1.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,LOFC,103,59.2,71.8,-12.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,LOLC,100,69.0,73.0,-4.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),2,2018-01,SAMP,116,62.9,57.8,5.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,CFIN,100,58.0,68.0,-10.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,COMB,121,71.1,63.6,7.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,HNB,105,68.6,61.0,7.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,LFIN,86,72.1,58.1,14.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,LOFC,104,64.4,72.1,-7.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,LOLC,95,71.6,62.1,9.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),3,2018-07,SAMP,123,66.7,61.0,5.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,CFIN,96,64.6,62.5,2.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,COMB,115,59.1,71.3,-12.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,HNB,110,66.4,77.3,-10.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,LFIN,94,61.7,64.9,-3.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,LOFC,94,63.8,68.1,-4.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,LOLC,93,59.1,63.4,-4.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),4,2019-01,SAMP,116,67.2,62.1,5.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,CFIN,101,48.5,52.5,-4.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,COMB,123,65.9,62.6,3.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,HNB,119,72.3,58.8,13.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,LFIN,97,60.8,53.6,7.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,LOFC,118,53.4,74.6,-21.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,LOLC,113,63.7,54.0,9.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),5,2019-07,SAMP,123,77.2,54.5,22.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,CFIN,62,64.5,72.6,-8.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,COMB,82,70.7,54.9,15.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,HNB,80,71.2,68.8,2.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,LFIN,71,59.2,60.6,-1.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,LOFC,78,67.9,71.8,-3.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,LOLC,82,81.7,65.9,15.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),6,2020-01,SAMP,82,76.8,51.2,25.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,CFIN,122,71.3,57.4,13.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,COMB,125,69.6,57.6,12.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,HNB,125,73.6,50.4,23.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,LFIN,125,60.0,54.4,5.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,LOFC,125,56.0,72.0,-16.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,LOLC,125,72.8,56.0,16.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),7,2020-07,SAMP,125,68.0,57.6,10.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,CFIN,113,59.3,54.9,4.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,COMB,114,66.7,52.6,14.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,HNB,114,64.9,57.0,7.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,LFIN,110,72.7,50.9,21.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,LOFC,114,71.9,59.6,12.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,LOLC,114,87.7,50.9,36.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),8,2021-01,SAMP,111,62.2,59.5,2.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,CFIN,124,67.7,55.6,12.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,COMB,124,53.2,60.5,-7.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,HNB,124,57.3,59.7,-2.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,LFIN,124,63.7,52.4,11.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,LOFC,124,71.0,62.9,8.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,LOLC,124,72.6,48.4,24.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),9,2021-07,SAMP,124,56.5,55.6,0.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,CFIN,95,72.6,65.3,7.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,COMB,95,69.5,56.8,12.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,HNB,95,58.9,63.2,-4.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,LFIN,95,70.5,62.1,8.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,LOFC,94,72.3,59.6,12.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,LOLC,95,75.8,62.1,13.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),10,2022-01,SAMP,107,68.2,64.5,3.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,CFIN,96,66.7,55.2,11.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,COMB,98,59.2,56.1,3.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,HNB,98,58.2,54.1,4.1,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,LFIN,97,63.9,52.6,11.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,LOFC,96,63.5,63.5,0.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,LOLC,97,66.0,57.7,8.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),11,2022-07,SAMP,124,70.2,59.7,10.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,CFIN,116,66.4,56.0,10.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,COMB,119,75.6,58.0,17.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,HNB,117,75.2,50.4,24.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,LFIN,119,68.9,55.5,13.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,LOFC,119,69.7,74.8,-5.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,LOLC,119,72.3,58.8,13.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),12,2023-01,SAMP,119,71.4,49.6,21.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,CFIN,123,65.9,55.3,10.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,COMB,123,82.9,51.2,31.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,HNB,123,74.0,58.5,15.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,LFIN,123,69.9,52.0,17.9,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,LOFC,123,66.7,78.9,-12.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,LOLC,123,57.7,60.2,-2.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),13,2023-07,SAMP,123,77.2,61.0,16.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,CFIN,115,72.2,55.7,16.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,COMB,115,69.6,54.8,14.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,HNB,115,73.9,56.5,17.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,LFIN,115,63.5,51.3,12.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,LOFC,115,68.7,66.1,2.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,LOLC,115,70.4,67.0,3.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),14,2024-01,SAMP,115,67.8,52.2,15.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,CFIN,125,68.8,57.6,11.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,COMB,121,78.5,52.9,25.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,HNB,125,75.2,48.0,27.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,LFIN,125,68.0,48.8,19.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,LOFC,125,72.8,70.4,2.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,LOLC,125,73.6,54.4,19.2,,,,,,,,,
1-CONTEMPORANEOUS (today from today),15,2024-07,SAMP,125,73.6,47.2,26.4,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,CFIN,114,77.2,54.4,22.8,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,COMB,114,82.5,43.9,38.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,HNB,114,79.8,55.3,24.6,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,LFIN,114,74.6,48.2,26.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,LOFC,114,69.3,69.3,0.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,LOLC,114,71.9,61.4,10.5,,,,,,,,,
1-CONTEMPORANEOUS (today from today),16,2025-01,SAMP,114,77.2,50.9,26.3,,,,,,,,,
1-CONTEMPORANEOUS (today from today),17,2025-07,CFIN,124,59.7,59.7,0.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),17,2025-07,COMB,124,66.9,57.3,9.7,,,,,,,,,
1-CONTEMPORANEOUS (today from today),17,2025-07,HNB,124,73.4,48.4,25.0,,,,,,,,,
1-CONTEMPORANEOUS (today from today),17,2025-07,LFIN,124,61.3,54.8,6.5,,,,,,,,,
