phase,horizon_days,horizon,median_edge,n_beat,n
A,1,1 day,-1.3,2,11
A,5,1 week,-3.3,2,11
A,10,2 weeks,-3.6,2,11
A,15,3 weeks,-8.1,2,11
A,22,1 month,-6.5,1,11
A,44,2 months,-6.2,3,11
A,66,3 months,-19.0,2,11
A,132,6 months,-41.0,1,11
A,252,1 year,-56.4,1,11
D,1,1 day,-0.3,5,11
D,5,1 week,-0.5,4,11
D,10,2 weeks,-1.8,3,11
D,15,3 weeks,-6.3,3,11
D,22,1 month,-1.7,4,11
D,44,2 months,-10.8,4,11
D,66,3 months,-12.2,2,11
D,132,6 months,-24.6,1,11
D,252,1 year,-20.2,1,11
FULL,1,1 day,-0.8,5,11
FULL,5,1 week,-3.0,3,11
FULL,10,2 weeks,-10.8,2,11
FULL,15,3 weeks,-11.9,3,11
FULL,22,1 month,-6.1,4,11
FULL,44,2 months,-16.4,4,11
FULL,66,3 months,-25.2,1,11
FULL,132,6 months,-38.4,1,11
FULL,252,1 year,-41.6,2,11
I,1,1 day,-0.7,5,11
I,5,1 week,-2.6,2,11
I,10,2 weeks,-5.0,3,11
I,15,3 weeks,-10.5,3,11
I,22,1 month,-4.7,3,11
I,44,2 months,-11.5,4,11
I,66,3 months,-21.8,1,11
I,132,6 months,-46.9,2,11
I,252,1 year,-51.9,2,11
