ticker,horizon_days,gain_D_to_I_pp,gain_I_to_FULL_pp,gain_A_to_FULL_pp,group,horizon,edge_pp,beats_baseline,iip_share_%
HNB,1,-4.6,4.1,2.3,bank,1 day,-4.9,False,9.0
HNB,5,-4.8,-3.4,-2.6,bank,1 week,-2.6,False,11.0
HNB,10,-3.6,-7.7,-13.6,bank,2 weeks,-3.1,False,12.2
HNB,15,2.4,-4.2,8.2,bank,3 weeks,8.5,True,13.1
HNB,22,2.6,-2.9,9.3,bank,1 month,5.7,True,14.3
HNB,44,1.6,4.7,17.5,bank,2 months,13.8,True,16.6
HNB,66,-3.2,0.6,5.8,bank,3 months,-6.1,False,15.4
HNB,132,-30.7,12.1,-7.1,bank,6 months,-60.8,False,22.2
HNB,252,-66.0,13.5,-7.9,bank,1 year,-86.2,False,33.9
COMB,1,-3.5,1.5,-4.7,bank,1 day,-14.5,False,9.2
COMB,5,1.3,-2.3,-5.6,bank,1 week,-11.3,False,10.8
COMB,10,-2.3,-1.2,-7.0,bank,2 weeks,-16.4,False,12.7
COMB,15,-3.3,0.0,-8.8,bank,3 weeks,-21.5,False,14.0
COMB,22,0.0,-1.0,3.3,bank,1 month,-11.1,False,13.7
COMB,44,-11.8,6.1,-4.4,bank,2 months,-22.6,False,17.2
COMB,66,-5.2,-1.6,-0.8,bank,3 months,-17.4,False,15.1
COMB,132,-41.0,4.3,-27.4,bank,6 months,-78.8,False,33.4
COMB,252,-58.2,-0.6,-32.4,bank,1 year,-88.3,False,20.6
SAMP,1,1.4,-2.9,-2.7,bank,1 day,-0.7,False,9.6
SAMP,5,0.9,1.3,0.5,bank,1 week,-4.2,False,12.2
SAMP,10,-7.6,0.2,-3.7,bank,2 weeks,-11.1,False,12.9
SAMP,15,-4.5,5.0,-1.9,bank,3 weeks,-16.8,False,13.1
SAMP,22,-4.0,10.4,16.1,bank,1 month,-3.0,False,13.8
SAMP,44,-1.2,2.5,4.3,bank,2 months,2.5,True,15.4
SAMP,66,-4.3,1.3,5.6,bank,3 months,-30.7,False,17.3
SAMP,132,-38.9,3.2,-3.1,bank,6 months,-58.5,False,26.7
SAMP,252,-75.1,3.9,-18.2,bank,1 year,-87.7,False,31.1
LOFC,1,1.3,1.3,0.5,finance,1 day,7.8,True,8.6
LOFC,5,0.5,-3.1,6.0,finance,1 week,6.2,True,10.5
LOFC,10,-1.6,1.6,7.1,finance,2 weeks,3.7,True,10.8
LOFC,15,-0.6,1.9,-1.3,finance,3 weeks,9.9,True,10.6
LOFC,22,2.6,3.2,12.4,finance,1 month,8.1,True,11.7
LOFC,44,-2.6,1.3,6.9,finance,2 months,4.5,True,13.2
LOFC,66,-0.8,-1.6,-7.5,finance,3 months,-5.1,False,12.6
LOFC,132,3.1,-10.9,-17.0,finance,6 months,1.4,True,14.6
LOFC,252,0.6,4.5,1.2,finance,1 year,7.5,True,13.4
LOLC,1,-1.1,-2.1,3.1,finance,1 day,5.2,True,9.2
LOLC,5,-0.5,4.7,2.4,finance,1 week,1.6,True,10.1
LOLC,10,-3.1,0.5,0.5,finance,2 weeks,-5.0,False,10.5
LOLC,15,-4.2,5.7,3.4,finance,3 weeks,-10.5,False,11.2
LOLC,22,1.3,-2.9,-1.8,finance,1 month,-0.8,False,12.8
LOLC,44,-0.6,1.1,1.1,finance,2 months,3.2,True,12.2
LOLC,66,-4.3,-1.6,-8.9,finance,3 months,-2.2,False,15.6
LOLC,132,-3.4,2.5,10.1,finance,6 months,5.6,True,14.9
LOLC,252,2.1,-4.2,0.6,finance,1 year,-0.3,False,15.2
LFIN,1,-2.4,0.2,-1.1,finance,1 day,-2.7,False,9.6
LFIN,5,0.0,-1.6,7.3,finance,1 week,-9.5,False,10.1
LFIN,10,-4.1,1.1,1.4,finance,2 weeks,-19.8,False,12.2
LFIN,15,-1.9,-1.3,-1.1,finance,3 weeks,-26.4,False,12.2
LFIN,22,-3.1,-3.5,-10.4,finance,1 month,-35.0,False,13.5
LFIN,44,9.7,-15.5,-17.2,finance,2 months,-24.6,False,15.5
