phase,horizon,positive,median_edge_pp,sign_test_p
A,1 day,2/11,-1.3,0.994
A,1 week,2/11,-3.3,0.994
A,2 weeks,2/11,-3.6,0.994
A,3 weeks,2/11,-8.1,0.994
A,1 month,1/11,-6.5,1.0
A,2 months,3/11,-6.2,0.967
A,3 months,2/11,-19.0,0.994
A,6 months,1/11,-41.0,1.0
A,1 year,1/11,-56.4,1.0
D,1 day,5/11,-0.3,0.726
D,1 week,4/11,-0.5,0.887
D,2 weeks,3/11,-1.8,0.967
D,3 weeks,3/11,-6.3,0.967
D,1 month,4/11,-1.7,0.887
D,2 months,4/11,-10.8,0.887
D,3 months,2/11,-12.2,0.994
D,6 months,1/11,-24.6,1.0
D,1 year,1/11,-20.2,1.0
I,1 day,5/11,-0.7,0.726
I,1 week,2/11,-2.6,0.994
I,2 weeks,3/11,-5.0,0.967
I,3 weeks,3/11,-10.5,0.967
I,1 month,3/11,-4.7,0.967
I,2 months,4/11,-11.5,0.887
I,3 months,1/11,-21.8,1.0
I,6 months,2/11,-46.9,0.994
I,1 year,2/11,-51.9,0.994
FULL,1 day,5/11,-0.8,0.726
FULL,1 week,3/11,-3.0,0.967
FULL,2 weeks,2/11,-10.8,0.994
FULL,3 weeks,3/11,-11.9,0.967
FULL,1 month,4/11,-6.1,0.887
FULL,2 months,4/11,-16.4,0.887
FULL,3 months,1/11,-25.2,1.0
FULL,6 months,1/11,-38.4,1.0
FULL,1 year,2/11,-41.6,0.994
