horizon_days,fold,test_from,med_LSTM,med_GRU,med_Logistic(flat)
1,0,2019-01,-1.3,-2.8,-5.4
1,1,2020-01,-2.0,-2.2,-3.0
1,2,2021-01,2.5,0.8,-1.7
1,3,2022-01,3.6,6.2,3.6
1,4,2023-01,7.9,7.9,5.0
1,5,2024-01,5.0,3.8,2.9
1,6,2025-01,2.9,1.3,-2.1
5,0,2019-01,3.3,0.0,-1.6
5,1,2020-01,-1.0,-1.0,0.0
5,2,2021-01,0.0,-5.9,-8.0
5,3,2022-01,-1.6,4.7,0.0
5,4,2023-01,-6.6,-8.7,-5.8
5,5,2024-01,-0.4,3.3,-2.5
5,6,2025-01,0.8,0.4,-2.1
22,0,2019-01,0.0,5.0,1.3
22,1,2020-01,-12.2,-8.3,-16.8
22,2,2021-01,5.5,0.4,-9.8
22,3,2022-01,-17.8,-11.4,1.6
22,4,2023-01,-10.7,-18.6,-9.9
22,5,2024-01,-5.4,-8.3,-20.0
22,6,2025-01,-5.0,-3.8,-12.2
