horizon_days,fold,test_from,ticker,n_test,own_baseline_%,acc_LSTM_%,edge_LSTM_pp,acc_GRU_%,edge_GRU_pp,acc_Logistic(flat)_%,edge_Logistic(flat)_pp
1,0,2019-01,CFIN,199,38.2,41.2,3.0,40.2,2.0,41.7,3.5
1,0,2019-01,COMB,238,39.5,38.2,-1.3,41.6,2.1,39.9,0.4
1,0,2019-01,HNB,229,46.7,34.1,-12.7,36.2,-10.5,37.6,-9.2
1,0,2019-01,LFIN,191,45.0,35.6,-9.4,35.6,-9.4,31.9,-13.1
1,0,2019-01,LOFC,216,44.0,45.4,1.4,41.2,-2.8,35.2,-8.8
1,0,2019-01,LOLC,206,35.4,38.8,3.4,37.9,2.4,38.3,2.9
1,0,2019-01,SAMP,239,43.9,31.8,-12.1,34.7,-9.2,38.5,-5.4
1,1,2020-01,CFIN,184,38.6,37.5,-1.1,36.4,-2.2,39.1,0.5
1,1,2020-01,COMB,207,40.6,38.2,-2.4,37.2,-3.4,38.6,-1.9
1,1,2020-01,HNB,205,40.0,39.5,-0.5,36.6,-3.4,36.6,-3.4
1,1,2020-01,LFIN,196,42.9,38.8,-4.1,40.8,-2.0,36.2,-6.6
1,1,2020-01,LOFC,203,39.4,37.4,-2.0,37.4,-2.0,36.5,-3.0
1,1,2020-01,LOLC,207,45.4,38.2,-7.2,36.7,-8.7,44.0,-1.4
1,1,2020-01,SAMP,207,44.9,44.0,-1.0,44.0,-1.0,41.1,-3.9
1,2,2021-01,CFIN,237,30.8,39.7,8.9,39.7,8.9,41.4,10.5
1,2,2021-01,COMB,238,35.7,38.2,2.5,36.6,0.8,32.4,-3.4
1,2,2021-01,HNB,238,36.1,38.7,2.5,33.2,-2.9,36.6,0.4
1,2,2021-01,LFIN,234,35.5,41.5,6.0,40.2,4.7,33.8,-1.7
1,2,2021-01,LOFC,238,34.9,42.0,7.1,41.6,6.7,40.8,5.9
1,2,2021-01,LOLC,238,46.2,48.7,2.5,47.1,0.8,37.0,-9.2
1,2,2021-01,SAMP,235,40.4,37.0,-3.4,39.1,-1.3,32.8,-7.7
1,3,2022-01,CFIN,191,37.2,41.9,4.7,44.0,6.8,44.0,6.8
1,3,2022-01,COMB,193,31.1,34.7,3.6,37.3,6.2,34.7,3.6
1,3,2022-01,HNB,193,25.9,40.9,15.0,41.5,15.5,43.0,17.1
1,3,2022-01,LFIN,192,41.7,43.8,2.1,44.3,2.6,42.2,0.5
1,3,2022-01,LOFC,190,45.3,42.6,-2.6,48.4,3.2,41.1,-4.2
1,3,2022-01,LOLC,192,52.6,43.2,-9.4,45.8,-6.8,45.3,-7.3
1,3,2022-01,SAMP,231,35.1,42.9,7.8,45.5,10.4,45.0,10.0
1,4,2023-01,CFIN,242,37.2,45.5,8.3,46.7,9.5,43.4,6.2
1,4,2023-01,COMB,242,37.6,48.8,11.2,48.3,10.7,40.5,2.9
1,4,2023-01,HNB,242,39.7,37.2,-2.5,37.6,-2.1,44.6,5.0
1,4,2023-01,LFIN,242,34.3,42.1,7.9,43.0,8.7,39.7,5.4
1,4,2023-01,LOFC,242,34.3,41.7,7.4,42.1,7.9,40.9,6.6
1,4,2023-01,LOLC,242,43.0,42.6,-0.4,44.6,1.7,43.0,0.0
1,4,2023-01,SAMP,242,40.1,49.2,9.1,45.9,5.8,41.7,1.7
1,5,2024-01,CFIN,240,33.8,45.0,11.2,42.1,8.3,37.9,4.2
1,5,2024-01,COMB,240,40.8,42.9,2.1,44.6,3.8,43.8,2.9
1,5,2024-01,HNB,240,40.0,45.0,5.0,45.4,5.4,42.5,2.5
1,5,2024-01,LFIN,240,38.8,39.6,0.8,41.2,2.5,36.2,-2.5
1,5,2024-01,LOFC,240,33.8,37.1,3.3,37.5,3.7,38.3,4.6
1,5,2024-01,LOLC,240,38.3,44.2,5.8,42.1,3.7,40.4,2.1
1,5,2024-01,SAMP,240,40.0,50.0,10.0,47.9,7.9,45.8,5.8
1,6,2025-01,CFIN,238,33.6,37.8,4.2,42.0,8.4,39.5,5.9
