ticker,group,phase,n_features,horizon_days,horizon,test_from,test_to,n_train,n_test,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp,money_share_%
HNB,bank,A,9,1,1 day,2022-03-09,2024-08-29,2199,550,39.5,36.7,2.7,True,0.994,-10.4,0.0
HNB,bank,D,38,1,1 day,2022-03-09,2024-08-29,2199,550,35.8,36.7,-0.9,False,1.017,-9.3,0.0
HNB,bank,M,47,1,1 day,2022-03-09,2024-08-29,2199,550,37.1,36.7,0.4,True,1.031,-10.4,18.9
HNB,bank,F,54,1,1 day,2022-03-09,2024-08-29,2199,550,36.4,36.7,-0.4,False,1.042,-10.7,16.7
HNB,bank,A,9,5,1 week,2022-03-03,2024-08-23,2191,550,42.7,38.2,4.5,True,0.983,-1.1,0.0
HNB,bank,D,38,5,1 week,2022-03-03,2024-08-23,2191,550,40.9,38.2,2.7,True,1.037,-1.6,0.0
HNB,bank,M,47,5,1 week,2022-03-03,2024-08-23,2191,550,40.4,38.2,2.2,True,1.093,-2.0,21.9
HNB,bank,F,54,5,1 week,2022-03-03,2024-08-23,2191,550,37.8,38.2,-0.4,False,1.193,-3.3,19.6
HNB,bank,A,9,10,2 weeks,2022-02-24,2024-08-15,2182,549,40.3,40.4,-0.2,False,0.972,-2.4,0.0
HNB,bank,D,38,10,2 weeks,2022-02-24,2024-08-15,2182,549,42.3,40.4,1.8,True,1.045,4.2,0.0
HNB,bank,M,47,10,2 weeks,2022-02-24,2024-08-15,2182,549,36.8,40.4,-3.6,False,1.156,1.3,25.0
HNB,bank,F,54,10,2 weeks,2022-02-24,2024-08-15,2182,549,31.9,40.4,-8.6,False,1.186,-8.2,22.8
HNB,bank,A,9,15,3 weeks,2022-02-18,2024-08-08,2173,548,37.8,43.4,-5.7,False,0.985,-2.7,0.0
HNB,bank,D,38,15,3 weeks,2022-02-18,2024-08-08,2173,548,40.3,43.4,-3.1,False,1.043,6.4,0.0
HNB,bank,M,47,15,3 weeks,2022-02-18,2024-08-08,2173,548,39.1,43.4,-4.4,False,1.157,2.2,26.3
HNB,bank,F,54,15,3 weeks,2022-02-18,2024-08-08,2173,548,41.2,43.4,-2.2,False,1.258,-0.5,23.4
HNB,bank,A,9,22,1 month,2022-02-10,2024-07-30,2161,546,39.7,39.2,0.5,True,1.006,-0.4,0.0
HNB,bank,D,38,22,1 month,2022-02-10,2024-07-30,2161,546,37.0,39.2,-2.2,False,1.049,1.6,0.0
HNB,bank,M,47,22,1 month,2022-02-10,2024-07-30,2161,546,41.2,39.2,2.0,True,1.255,2.2,29.6
HNB,bank,F,54,22,1 month,2022-02-10,2024-07-30,2161,546,44.0,39.2,4.8,True,1.212,2.4,26.5
HNB,bank,A,9,44,2 months,2022-01-12,2024-06-28,2121,542,34.7,41.1,-6.5,False,1.005,-5.0,0.0
HNB,bank,D,38,44,2 months,2022-01-12,2024-06-28,2121,542,41.1,41.1,0.0,False,0.99,5.4,0.0
HNB,bank,M,47,44,2 months,2022-01-12,2024-06-28,2121,542,40.4,41.1,-0.7,False,1.119,5.4,31.9
HNB,bank,F,54,44,2 months,2022-01-12,2024-06-28,2121,542,37.8,41.1,-3.3,False,1.155,-3.7,29.4
HNB,bank,A,9,66,3 months,2021-12-17,2024-05-27,2078,537,32.6,46.2,-13.6,False,0.983,-0.7,0.0
HNB,bank,D,38,66,3 months,2021-12-17,2024-05-27,2078,537,46.6,46.2,0.4,True,0.972,10.2,0.0
HNB,bank,M,47,66,3 months,2021-12-17,2024-05-27,2078,537,38.9,46.2,-7.3,False,1.14,2.6,34.7
HNB,bank,F,54,66,3 months,2021-12-17,2024-05-27,2078,537,32.4,46.2,-13.8,False,1.201,-8.8,30.9
HNB,bank,A,9,132,6 months,2021-10-21,2024-02-12,1907,510,46.9,65.7,-18.8,False,1.008,-9.0,0.0
HNB,bank,D,38,132,6 months,2021-10-21,2024-02-12,1907,510,56.1,65.7,-9.6,False,1.009,-3.9,0.0
HNB,bank,M,47,132,6 months,2021-10-21,2024-02-12,1907,510,33.7,65.7,-32.0,False,1.119,-32.7,37.9
HNB,bank,F,54,132,6 months,2021-10-21,2024-02-12,1907,510,57.5,65.7,-8.2,False,1.109,-26.3,32.8
HNB,bank,A,9,252,1 year,2021-07-06,2023-08-15,1595,462,27.3,28.1,-0.9,False,0.994,-9.3,0.0
HNB,bank,D,38,252,1 year,2021-07-06,2023-08-15,1595,462,45.2,28.1,17.1,True,1.027,-11.9,0.0
HNB,bank,M,47,252,1 year,2021-07-06,2023-08-15,1595,462,34.4,28.1,6.3,True,1.001,-21.4,39.6
HNB,bank,F,54,252,1 year,2021-07-06,2023-08-15,1595,462,32.9,28.1,4.8,True,0.992,-13.9,34.4
COMB,bank,A,9,1,1 day,2022-02-09,2024-08-29,2272,569,36.2,34.4,1.8,True,1.008,-10.5,0.0
COMB,bank,D,38,1,1 day,2022-02-09,2024-08-29,2272,569,40.1,34.4,5.6,True,1.024,-6.9,0.0
COMB,bank,M,47,1,1 day,2022-02-09,2024-08-29,2272,569,37.6,34.4,3.2,True,1.054,-7.6,19.7
COMB,bank,F,54,1,1 day,2022-02-09,2024-08-29,2272,569,36.0,34.4,1.6,True,1.08,-5.3,17.1
COMB,bank,A,9,5,1 week,2022-02-03,2024-08-23,2265,568,35.7,35.6,0.2,True,1.004,-6.0,0.0
COMB,bank,D,38,5,1 week,2022-02-03,2024-08-23,2265,568,35.4,35.6,-0.2,False,1.047,-4.0,0.0
COMB,bank,M,47,5,1 week,2022-02-03,2024-08-23,2265,568,37.5,35.6,1.9,True,1.162,-6.5,23.7
COMB,bank,F,54,5,1 week,2022-02-03,2024-08-23,2265,568,37.1,35.6,1.6,True,1.171,-6.0,20.7
COMB,bank,A,9,10,2 weeks,2022-01-28,2024-08-15,2256,567,33.0,37.6,-4.6,False,1.006,-5.1,0.0
COMB,bank,D,38,10,2 weeks,2022-01-28,2024-08-15,2256,567,34.9,37.6,-2.6,False,1.083,-1.4,0.0
COMB,bank,M,47,10,2 weeks,2022-01-28,2024-08-15,2256,567,30.5,37.6,-7.1,False,1.283,-4.1,24.2
