phase,horizon_days,horizon,median_edge,n_beat,n
A,1,1 day,3.9,9,11
A,5,1 week,0.2,7,11
A,10,2 weeks,-0.2,5,11
A,15,3 weeks,-2.1,5,11
A,22,1 month,-3.3,3,11
A,44,2 months,-4.7,4,11
A,66,3 months,-13.6,3,11
A,132,6 months,-19.6,3,11
A,252,1 year,-3.7,4,11
D,1,1 day,3.8,8,11
D,5,1 week,-4.6,3,11
D,10,2 weeks,-2.1,3,11
D,15,3 weeks,-3.8,3,11
D,22,1 month,-4.4,1,11
D,44,2 months,2.7,7,11
D,66,3 months,1.0,7,11
D,132,6 months,-2.9,4,11
D,252,1 year,7.3,8,11
F,1,1 day,1.6,6,11
F,5,1 week,-1.0,3,11
F,10,2 weeks,-3.2,3,11
F,15,3 weeks,-5.4,3,11
F,22,1 month,-0.2,5,11
F,44,2 months,0.2,6,11
F,66,3 months,-6.7,4,11
F,132,6 months,-4.0,5,11
F,252,1 year,4.8,7,11
M,1,1 day,3.2,9,11
M,5,1 week,-2.7,5,11
M,10,2 weeks,-3.6,5,11
M,15,3 weeks,-3.6,3,11
M,22,1 month,0.2,6,11
M,44,2 months,1.6,6,11
M,66,3 months,3.3,6,11
M,132,6 months,-6.6,4,11
M,252,1 year,6.3,7,11
