ticker,horizon_days,gain_D_to_M_pp,gain_M_to_F_pp,gain_A_to_F_pp,group,horizon,edge_pp,beats_baseline,money_share_%
HNB,1,1.3,-0.7,-3.1,bank,1 day,0.4,True,18.9
HNB,5,-0.5,-2.6,-4.9,bank,1 week,2.2,True,21.9
HNB,10,-5.5,-4.9,-8.4,bank,2 weeks,-3.6,False,25.0
HNB,15,-1.2,2.1,3.4,bank,3 weeks,-4.4,False,26.3
HNB,22,4.2,2.8,4.3,bank,1 month,2.0,True,29.6
HNB,44,-0.7,-2.6,3.1,bank,2 months,-0.7,False,31.9
HNB,66,-7.7,-6.5,-0.2,bank,3 months,-7.3,False,34.7
HNB,132,-22.4,23.8,10.6,bank,6 months,-32.0,False,37.9
HNB,252,-10.8,-1.5,5.6,bank,1 year,6.3,True,39.6
COMB,1,-2.5,-1.6,-0.2,bank,1 day,3.2,True,19.7
COMB,5,2.1,-0.4,1.4,bank,1 week,1.9,True,23.7
COMB,10,-4.4,7.1,4.6,bank,2 weeks,-7.1,False,24.2
COMB,15,0.0,0.9,1.2,bank,3 weeks,-9.0,False,27.9
COMB,22,-1.1,1.1,1.4,bank,1 month,-5.5,False,27.2
COMB,44,1.6,-14.3,-1.3,bank,2 months,7.7,True,33.1
COMB,66,-9.7,-3.3,-16.4,bank,3 months,-6.3,False,31.3
COMB,132,0.3,10.3,-2.8,bank,6 months,-14.2,False,35.9
COMB,252,-0.5,-10.0,7.5,bank,1 year,6.9,True,37.5
SAMP,1,-1.2,-3.2,-7.3,bank,1 day,2.6,True,19.5
SAMP,5,2.9,3.2,1.9,bank,1 week,-3.5,False,23.3
SAMP,10,2.9,8.2,6.2,bank,2 weeks,0.9,True,24.0
SAMP,15,2.2,7.0,6.4,bank,3 weeks,-0.3,False,26.7
SAMP,22,4.9,1.2,5.9,bank,1 month,2.1,True,30.2
SAMP,44,-3.5,2.1,3.8,bank,2 months,-1.9,False,35.5
SAMP,66,-3.7,-4.1,13.3,bank,3 months,-5.7,False,33.8
SAMP,132,-15.1,8.6,5.6,bank,6 months,-41.8,False,40.7
SAMP,252,-26.8,9.6,-2.3,bank,1 year,-38.5,False,39.9
LOFC,1,2.4,-0.2,1.1,finance,1 day,5.2,True,19.3
LOFC,5,-1.9,5.8,0.0,finance,1 week,-22.0,False,20.8
LOFC,10,0.4,1.1,2.0,finance,2 weeks,-17.0,False,22.7
LOFC,15,3.9,7.3,9.9,finance,3 weeks,-14.6,False,25.2
LOFC,22,6.4,12.8,19.8,finance,1 month,-13.0,False,25.1
LOFC,44,5.5,12.9,13.3,finance,2 months,-8.0,False,29.7
LOFC,66,-0.6,21.6,47.4,finance,3 months,12.0,True,31.5
LOFC,132,13.1,6.2,42.7,finance,6 months,14.3,True,34.6
LOFC,252,5.1,1.8,51.1,finance,1 year,52.0,True,39.4
LOLC,1,-0.7,0.7,2.8,finance,1 day,-6.2,False,20.6
LOLC,5,0.6,4.3,-6.2,finance,1 week,-13.7,False,21.5
LOLC,10,2.4,3.0,-4.9,finance,2 weeks,-11.8,False,23.4
LOLC,15,7.7,-2.6,-0.9,finance,3 weeks,-3.6,False,25.3
LOLC,22,7.9,0.2,4.0,finance,1 month,2.3,True,28.9
