phase,horizon,positive,median_edge_pp,sign_test_p
A,1 day,9/11,3.9,0.033
A,1 week,7/11,0.2,0.274
A,2 weeks,5/11,-0.2,0.726
A,3 weeks,5/11,-2.1,0.726
A,1 month,3/11,-3.3,0.967
A,2 months,4/11,-4.7,0.887
A,3 months,3/11,-13.6,0.967
A,6 months,3/11,-19.6,0.967
A,1 year,4/11,-3.7,0.887
D,1 day,8/11,3.8,0.113
D,1 week,3/11,-4.6,0.967
D,2 weeks,3/11,-2.1,0.967
D,3 weeks,3/11,-3.8,0.967
D,1 month,1/11,-4.4,1.0
D,2 months,7/11,2.7,0.274
D,3 months,7/11,1.0,0.274
D,6 months,4/11,-2.9,0.887
D,1 year,8/11,7.3,0.113
M,1 day,9/11,3.2,0.033
M,1 week,5/11,-2.7,0.726
M,2 weeks,5/11,-3.6,0.726
M,3 weeks,3/11,-3.6,0.967
M,1 month,6/11,0.2,0.5
M,2 months,6/11,1.6,0.5
M,3 months,6/11,3.3,0.5
M,6 months,4/11,-6.6,0.887
M,1 year,7/11,6.3,0.274
F,1 day,6/11,1.6,0.5
F,1 week,3/11,-1.0,0.967
F,2 weeks,3/11,-3.2,0.967
F,3 weeks,3/11,-5.4,0.967
F,1 month,5/11,-0.2,0.726
F,2 months,6/11,0.2,0.5
F,3 months,4/11,-6.7,0.887
F,6 months,5/11,-4.0,0.726
F,1 year,7/11,4.8,0.274
