horizon_days,class,train_share_%,test_share_%
1,Sell,27.7,29.7
1,Hold,44.5,39.5
1,Buy,27.8,30.8
5,Sell,32.3,33.9
5,Hold,37.8,28.4
5,Buy,29.9,37.8
10,Sell,34.2,31.2
10,Hold,34.0,26.4
10,Buy,31.8,42.4
15,Sell,35.4,30.9
15,Hold,31.7,24.9
15,Buy,33.0,44.2
22,Sell,34.6,28.6
22,Hold,30.9,26.6
22,Buy,34.5,44.7
44,Sell,32.5,25.1
44,Hold,29.1,24.3
44,Buy,38.4,50.5
66,Sell,31.6,20.1
66,Hold,26.4,24.0
66,Buy,42.0,55.9
132,Sell,33.8,6.1
132,Hold,25.1,15.6
132,Buy,41.1,78.2
252,Sell,40.5,1.8
252,Hold,23.4,4.5
252,Buy,36.1,93.7
