horizon_days,horizon,phase,n_features,n_train,n_test,indep_test_windows,acc_logistic_%,acc_xgboost_%,acc_majority_%,acc_persistence_%,best_model_%,best_baseline_%,edge_pp,beats_baseline,f1_macro_xgb
1,1 day,A (Tier-1),9,2563,642,642.0,39.4,34.6,39.6,43.3,39.4,43.3,-3.9,No,0.345
1,1 day,B (+Tier-2),15,2563,642,642.0,38.5,35.8,39.6,43.3,38.5,43.3,-4.8,No,0.356
1,1 day,C (+macro),28,2563,642,642.0,41.7,35.8,39.6,43.3,41.7,43.3,-1.6,No,0.346
1,1 day,C2 (+macro Δ only),22,2563,642,642.0,38.5,34.1,39.6,43.3,38.5,43.3,-4.8,No,0.336
5,1 week,A (Tier-1),9,2556,641,128.2,36.3,31.5,28.2,37.4,36.3,37.4,-1.1,No,0.313
5,1 week,B (+Tier-2),15,2556,641,128.2,35.3,31.4,28.2,37.4,35.3,37.4,-2.2,No,0.314
5,1 week,C (+macro),28,2556,641,128.2,30.0,29.6,28.2,37.4,30.0,37.4,-7.5,No,0.297
5,1 week,C2 (+macro Δ only),22,2556,641,128.2,35.6,32.4,28.2,37.4,35.6,37.4,-1.9,No,0.325
10,2 weeks,A (Tier-1),9,2547,640,64.0,34.2,32.7,26.2,36.9,34.2,36.9,-2.7,No,0.316
10,2 weeks,B (+Tier-2),15,2547,640,64.0,33.4,32.0,26.2,36.9,33.4,36.9,-3.4,No,0.308
10,2 weeks,C (+macro),28,2547,640,64.0,28.7,30.8,26.2,36.9,30.8,36.9,-6.1,No,0.302
10,2 weeks,C2 (+macro Δ only),22,2547,640,64.0,28.3,26.4,26.2,36.9,28.3,36.9,-8.6,No,0.258
15,3 weeks,A (Tier-1),9,2538,639,42.6,36.2,30.2,31.3,43.0,36.2,43.0,-6.9,No,0.289
15,3 weeks,B (+Tier-2),15,2538,639,42.6,36.0,28.8,31.3,43.0,36.0,43.0,-7.0,No,0.275
15,3 weeks,C (+macro),28,2538,639,42.6,28.0,29.9,31.3,43.0,29.9,43.0,-13.1,No,0.269
15,3 weeks,C2 (+macro Δ only),22,2538,639,42.6,30.5,28.5,31.3,43.0,30.5,43.0,-12.5,No,0.285
22,1 month,A (Tier-1),9,2526,637,29.0,39.7,32.0,44.9,42.5,39.7,44.9,-5.2,No,0.313
22,1 month,B (+Tier-2),15,2526,637,29.0,37.2,29.0,44.9,42.5,37.2,44.9,-7.7,No,0.292
22,1 month,C (+macro),28,2526,637,29.0,26.1,26.1,44.9,42.5,26.1,44.9,-18.8,No,0.223
22,1 month,C2 (+macro Δ only),22,2526,637,29.0,29.8,26.7,44.9,42.5,29.8,44.9,-15.1,No,0.261
44,2 months,A (Tier-1),9,2486,633,14.4,37.0,32.7,50.9,31.8,37.0,50.9,-13.9,No,0.304
44,2 months,B (+Tier-2),15,2486,633,14.4,37.0,30.3,50.9,31.8,37.0,50.9,-13.9,No,0.294
44,2 months,C (+macro),28,2486,633,14.4,35.9,33.0,50.9,31.8,35.9,50.9,-15.0,No,0.255
44,2 months,C2 (+macro Δ only),22,2486,633,14.4,34.8,37.0,50.9,31.8,37.0,50.9,-13.9,No,0.358
66,3 months,A (Tier-1),9,2443,628,9.5,26.6,30.7,55.9,33.4,30.7,55.9,-25.2,No,0.27
66,3 months,B (+Tier-2),15,2443,628,9.5,31.2,33.0,55.9,33.4,33.0,55.9,-22.9,No,0.284
66,3 months,C (+macro),28,2443,628,9.5,43.0,43.2,55.9,33.4,43.2,55.9,-12.7,No,0.388
66,3 months,C2 (+macro Δ only),22,2443,628,9.5,42.7,48.1,55.9,33.4,48.1,55.9,-7.8,No,0.45
132,6 months,A (Tier-1),9,2272,601,4.6,36.6,32.3,78.4,69.9,36.6,78.4,-41.8,No,0.287
132,6 months,B (+Tier-2),15,2272,601,4.6,34.3,29.5,78.4,69.9,34.3,78.4,-44.1,No,0.268
132,6 months,C (+macro),28,2272,601,4.6,44.6,35.3,78.4,69.9,44.6,78.4,-33.8,No,0.217
132,6 months,C2 (+macro Δ only),22,2272,601,4.6,32.1,44.3,78.4,69.9,44.3,78.4,-34.1,No,0.315
252,1 year,A (Tier-1),9,1960,553,2.2,29.8,22.4,1.8,76.9,29.8,76.9,-47.0,No,0.149
252,1 year,B (+Tier-2),15,1960,553,2.2,26.8,20.4,1.8,76.9,26.8,76.9,-50.1,No,0.134
252,1 year,C (+macro),28,1960,553,2.2,4.5,2.0,1.8,76.9,4.5,76.9,-72.3,No,0.046
252,1 year,C2 (+macro Δ only),22,1960,553,2.2,29.3,49.7,1.8,76.9,49.7,76.9,-27.1,No,0.221
