horizon_days,horizon,phase,n_test,rmse_ridge,rmse_xgb,rmse_naive0,rmse_trainmean,mae_ridge,rmse_ratio_ridge_vs_trainmean,rmse_ratio_xgb_vs_trainmean,dir_acc_ridge_%,dir_acc_xgb_%,dir_acc_alwaysguess_%,dir_edge_pp,beats_trainmean,beats_sign_null
1,1 day,A (Tier-1),647,1.53,1.65,1.54,1.54,1.03,0.991,1.071,47.6,45.6,56.1,-8.5,Yes,No
1,1 day,B (Tier-1+2),647,1.53,1.66,1.54,1.54,1.03,0.991,1.08,47.4,49.0,56.1,-7.1,Yes,No
5,1 week,A (Tier-1),646,4.21,4.86,4.27,4.25,2.99,0.99,1.143,50.6,49.8,52.0,-1.4,Yes,No
5,1 week,B (Tier-1+2),646,4.21,4.91,4.27,4.25,3.02,0.991,1.156,50.3,48.3,52.0,-1.7,Yes,No
10,2 weeks,A (Tier-1),645,6.53,7.29,6.65,6.59,4.48,0.989,1.106,54.6,50.4,54.4,0.2,Yes,Yes
10,2 weeks,B (Tier-1+2),645,6.57,7.27,6.65,6.59,4.56,0.996,1.103,51.9,50.1,54.4,-2.5,Yes,No
15,3 weeks,A (Tier-1),644,8.44,9.3,8.59,8.49,5.76,0.994,1.095,54.8,48.9,57.5,-2.6,Yes,No
15,3 weeks,B (Tier-1+2),644,8.46,9.3,8.59,8.49,5.78,0.996,1.096,52.8,46.6,57.5,-4.7,Yes,No
22,1 month,A (Tier-1),643,10.76,11.98,11.01,10.82,7.35,0.994,1.106,56.0,46.5,58.9,-3.0,Yes,No
22,1 month,B (Tier-1+2),643,10.77,12.53,11.01,10.82,7.38,0.995,1.158,52.4,44.5,58.9,-6.5,Yes,No
44,2 months,A (Tier-1),637,16.51,17.5,17.21,16.59,11.97,0.995,1.055,57.6,51.8,57.1,0.5,Yes,Yes
44,2 months,B (Tier-1+2),637,16.55,19.4,17.21,16.59,11.94,0.997,1.169,57.8,43.2,57.1,0.6,Yes,Yes
66,3 months,A (Tier-1),628,21.19,23.01,22.61,21.62,15.62,0.98,1.065,55.9,54.0,64.6,-8.8,Yes,No
66,3 months,B (Tier-1+2),628,21.34,24.23,22.61,21.62,15.79,0.987,1.121,51.6,52.2,64.6,-12.4,Yes,No
132,6 months,A (Tier-1),601,31.98,36.35,33.3,32.36,24.48,0.988,1.123,77.5,39.4,89.2,-11.6,Yes,No
132,6 months,B (Tier-1+2),601,33.45,39.82,33.3,32.36,26.22,1.034,1.231,45.6,34.6,89.2,-43.6,No,No
252,1 year,A (Tier-1),553,70.76,75.81,69.19,70.71,62.21,1.001,1.072,20.4,24.1,95.1,-71.1,No,No
252,1 year,B (Tier-1+2),553,72.51,78.24,69.19,70.71,64.27,1.025,1.106,21.0,23.9,95.1,-71.2,No,No
