indicator,horizon,horizon_days,n_up,n_down,indep_windows,P_up_given_ind_up_%,P_up_given_ind_down_%,lift_pp,abs_lift,z,p_value
ASPI (market) 1d,1 day,1,11814,10847,3237.3,44.3,35.9,8.3,8.3,12.79,0.0
ASPI (market) 1d,1 week,5,11798,10835,646.7,48.9,40.5,8.4,8.4,12.7,0.0
ASPI (market) 1d,2 weeks,10,11790,10808,322.8,50.2,43.1,7.1,7.1,10.69,0.0
ASPI (market) 1d,3 weeks,15,11783,10780,214.9,51.6,43.9,7.6,7.6,11.45,0.0
ASPI (market) 1d,1 month,22,11772,10742,146.2,52.1,45.0,7.1,7.1,10.61,0.0
ASPI (market) 1d,2 months,44,11708,10652,72.6,53.3,48.7,4.6,4.6,6.87,0.0
ASPI (market) 1d,3 months,66,11617,10589,48.1,55.5,51.7,3.8,3.8,5.7,0.0
ASPI (market) 1d,6 months,132,11386,10358,23.5,61.8,59.0,2.8,2.8,4.16,0.0
ASPI (market) 1d,1 year,252,10798,10106,11.9,61.9,60.0,1.9,1.9,2.8,0.0052
ASPI (market) 5d,1 day,1,11895,10738,3233.3,43.5,36.7,6.9,6.9,10.53,0.0
ASPI (market) 5d,1 week,5,11894,10711,645.9,49.0,40.4,8.6,8.6,12.96,0.0
ASPI (market) 5d,2 weeks,10,11894,10676,322.4,50.7,42.5,8.2,8.2,12.3,0.0
ASPI (market) 5d,3 weeks,15,11894,10641,214.6,52.8,42.6,10.2,10.2,15.32,0.0
ASPI (market) 5d,1 month,22,11874,10612,146.0,53.1,43.9,9.2,9.2,13.72,0.0
ASPI (market) 5d,2 months,44,11812,10520,72.5,52.8,49.2,3.7,3.7,5.48,0.0
ASPI (market) 5d,3 months,66,11749,10429,48.0,55.6,51.7,3.9,3.9,5.79,0.0
ASPI (market) 5d,6 months,132,11533,10183,23.5,61.7,59.0,2.7,2.7,4.05,0.0001
ASPI (market) 5d,1 year,252,10931,9945,11.8,62.2,59.6,2.7,2.7,3.95,0.0001
Peer banks 5d,1 day,1,11500,11135,3233.6,43.3,37.2,6.1,6.1,9.35,0.0
Peer banks 5d,1 week,5,11490,11117,645.9,48.7,41.0,7.6,7.6,11.55,0.0
Peer banks 5d,2 weeks,10,11490,11082,322.5,50.0,43.6,6.4,6.4,9.7,0.0
Peer banks 5d,3 weeks,15,11490,11047,214.6,51.5,44.3,7.2,7.2,10.76,0.0
Peer banks 5d,1 month,22,11476,11012,146.0,51.9,45.5,6.4,6.4,9.62,0.0
Peer banks 5d,2 months,44,11410,10924,72.5,52.6,49.6,3.0,3.0,4.55,0.0
Peer banks 5d,3 months,66,11351,10829,48.0,54.8,52.7,2.1,2.1,3.19,0.0014
Peer banks 5d,6 months,132,11135,10583,23.5,60.9,60.0,1.0,1.0,1.45,0.1475
Peer banks 5d,1 year,252,10647,10231,11.8,60.2,61.8,-1.6,1.6,-2.36,0.0181
Own momentum 10d,1 day,1,10579,12021,3228.6,42.1,38.6,3.4,3.4,5.24,0.0
Own momentum 10d,1 week,5,10576,11996,644.9,48.2,42.0,6.2,6.2,9.29,0.0
Own momentum 10d,2 weeks,10,10576,11961,322.0,51.3,42.9,8.4,8.4,12.55,0.0
Own momentum 10d,3 weeks,15,10576,11926,214.3,53.1,43.5,9.6,9.6,14.38,0.0
Own momentum 10d,1 month,22,10560,11893,145.8,52.2,45.8,6.4,6.4,9.54,0.0
Own momentum 10d,2 months,44,10508,11791,72.4,51.3,51.0,0.2,0.2,0.35,0.7246
Own momentum 10d,3 months,66,10440,11705,47.9,53.8,53.8,0.1,0.1,0.09,0.9281
Own momentum 10d,6 months,132,10218,11465,23.5,62.2,58.8,3.4,3.4,5.13,0.0
Own momentum 10d,1 year,252,9770,11073,11.8,62.0,60.1,1.9,1.9,2.78,0.0054
RSI(14) above 50,1 day,1,10772,11779,3221.6,42.1,38.6,3.5,3.5,5.31,0.0
RSI(14) above 50,1 week,5,10771,11752,643.5,48.8,41.4,7.3,7.3,11.07,0.0
RSI(14) above 50,2 weeks,10,10771,11717,321.3,51.6,42.6,8.9,8.9,13.43,0.0
RSI(14) above 50,3 weeks,15,10771,11682,213.8,52.8,43.7,9.1,9.1,13.63,0.0
RSI(14) above 50,1 month,22,10742,11662,145.5,52.0,45.9,6.0,6.0,9.02,0.0
RSI(14) above 50,2 months,44,10701,11549,72.2,50.6,51.8,-1.2,1.2,-1.85,0.0645
RSI(14) above 50,3 months,66,10615,11481,47.8,53.6,54.2,-0.6,0.6,-0.92,0.3566
RSI(14) above 50,6 months,132,10389,11245,23.4,61.8,59.1,2.7,2.7,4.07,0.0
RSI(14) above 50,1 year,252,9916,10878,11.8,61.7,60.3,1.5,1.5,2.16,0.031
MACD histogram,1 day,1,11166,11504,3238.6,41.3,39.3,2.0,2.0,3.12,0.0018
