horizon_days,horizon,ticker,n,pooled_model_acc_%,own_baseline_%,edge_pp
1,1 day,CFIN,637,38.6,34.2,4.4
1,1 day,COMB,632,42.1,45.1,-3.0
1,1 day,HNB,635,43.1,43.0,0.2
1,1 day,LFIN,636,36.8,33.5,3.3
1,1 day,LOFC,635,43.6,38.3,5.4
1,1 day,LOLC,635,38.3,36.9,1.4
1,1 day,SAMP,635,46.3,43.8,2.5
5,1 week,CFIN,636,40.1,34.3,5.8
5,1 week,COMB,631,38.5,37.9,0.6
5,1 week,HNB,634,36.4,36.9,-0.5
5,1 week,LFIN,635,38.1,42.7,-4.6
5,1 week,LOFC,634,42.6,44.0,-1.4
5,1 week,LOLC,634,37.9,39.7,-1.9
5,1 week,SAMP,634,38.0,36.6,1.4
10,2 weeks,CFIN,635,33.1,36.5,-3.5
10,2 weeks,COMB,630,41.1,38.3,2.9
10,2 weeks,HNB,633,33.8,37.1,-3.3
10,2 weeks,LFIN,634,40.5,46.5,-6.0
10,2 weeks,LOFC,633,33.5,45.2,-11.7
10,2 weeks,LOLC,633,32.5,41.4,-8.8
10,2 weeks,SAMP,633,36.0,44.7,-8.7
15,3 weeks,CFIN,634,35.3,42.1,-6.8
15,3 weeks,COMB,629,42.1,46.3,-4.1
15,3 weeks,HNB,632,36.6,43.2,-6.6
15,3 weeks,LFIN,633,36.3,50.9,-14.5
15,3 weeks,LOFC,632,37.3,40.2,-2.8
15,3 weeks,LOLC,632,34.2,43.8,-9.7
15,3 weeks,SAMP,632,38.0,45.6,-7.6
22,1 month,CFIN,632,36.1,46.5,-10.4
22,1 month,COMB,627,43.5,46.9,-3.3
22,1 month,HNB,630,41.1,45.1,-4.0
22,1 month,LFIN,631,34.1,52.3,-18.2
22,1 month,LOFC,630,39.5,43.7,-4.1
22,1 month,LOLC,630,38.7,45.9,-7.1
22,1 month,SAMP,630,41.7,45.9,-4.1
44,2 months,CFIN,628,41.2,47.1,-5.9
44,2 months,COMB,623,42.9,35.8,7.1
44,2 months,HNB,626,43.3,50.8,-7.5
44,2 months,LFIN,627,37.0,59.2,-22.2
44,2 months,LOFC,626,36.3,42.5,-6.2
44,2 months,LOLC,626,38.2,39.8,-1.6
44,2 months,SAMP,626,40.9,50.5,-9.6
66,3 months,CFIN,623,39.3,47.5,-8.2
66,3 months,COMB,618,45.1,47.4,-2.3
66,3 months,HNB,621,42.5,56.5,-14.0
66,3 months,LFIN,622,40.8,59.8,-19.0
66,3 months,LOFC,621,47.7,38.8,8.9
66,3 months,LOLC,621,43.5,33.0,10.5
66,3 months,SAMP,621,52.7,59.1,-6.4
132,6 months,CFIN,596,32.7,64.6,-31.9
132,6 months,COMB,591,37.6,72.3,-34.7
132,6 months,HNB,594,40.4,79.3,-38.9
132,6 months,LFIN,595,34.6,74.8,-40.2
132,6 months,LOFC,594,54.5,31.3,23.2
132,6 months,LOLC,594,55.1,45.1,9.9
132,6 months,SAMP,594,38.0,75.3,-37.2
252,1 year,CFIN,548,44.2,67.2,-23.0
252,1 year,COMB,543,36.6,77.0,-40.3
252,1 year,HNB,545,39.1,78.0,-38.9
252,1 year,LFIN,547,35.1,89.2,-54.1
252,1 year,LOFC,546,58.1,37.5,20.5
252,1 year,LOLC,546,41.2,62.6,-21.4
252,1 year,SAMP,546,37.5,83.0,-45.4
