horizon_days,fold,test_from,test_to,median_edge_logistic,median_edge_xgboost,stocks_pos_logistic,stocks_pos_xgboost,n_stocks
1,0,2016-01,2016-07,-4.5,-1.7,3,3,7
1,1,2016-07,2017-01,-10.5,-7.6,1,1,7
1,2,2017-01,2017-07,-9.6,-4.0,1,2,7
1,3,2017-07,2018-01,-5.3,-5.3,2,3,7
1,4,2018-01,2018-07,-1.9,-4.4,2,1,7
1,5,2018-07,2019-01,1.9,-1.9,4,2,7
1,6,2019-01,2019-07,-4.3,-7.0,2,2,7
1,7,2019-07,2020-01,-1.8,-3.5,3,2,7
1,8,2020-01,2020-07,-1.3,-9.8,3,2,7
1,9,2020-07,2021-01,-7.2,-4.0,1,3,7
1,10,2021-01,2021-07,4.4,1.8,4,4,7
1,11,2021-07,2022-01,-3.2,-1.6,3,3,7
1,12,2022-01,2022-07,2.1,-3.2,4,2,7
1,13,2022-07,2023-01,5.1,9.4,5,5,7
1,14,2023-01,2023-07,3.4,-0.8,7,3,7
1,15,2023-07,2024-01,-1.6,4.1,3,4,7
1,16,2024-01,2024-07,3.5,6.1,4,4,7
1,17,2024-07,2025-01,3.2,1.6,4,5,7
1,18,2025-01,2025-07,-7.9,0.9,1,4,7
1,19,2025-07,2026-01,-2.4,-1.6,3,2,7
1,20,2026-01,2026-07,0.0,-5.1,3,3,7
5,0,2016-01,2016-07,1.1,1.1,4,4,7
5,1,2016-07,2017-01,-15.0,-9.5,0,1,7
5,2,2017-01,2017-07,-13.5,-17.3,0,0,7
5,3,2017-07,2018-01,3.6,-6.0,4,2,7
5,4,2018-01,2018-07,-0.9,-7.8,3,2,7
5,5,2018-07,2019-01,0.0,-1.0,3,2,7
5,6,2019-01,2019-07,0.9,4.3,4,4,7
5,7,2019-07,2020-01,-4.9,2.1,1,4,7
5,8,2020-01,2020-07,0.0,-17.7,3,0,7
5,9,2020-07,2021-01,0.8,4.8,4,6,7
5,10,2021-01,2021-07,0.0,-7.0,3,3,7
5,11,2021-07,2022-01,-1.6,-3.2,2,3,7
5,12,2022-01,2022-07,-15.8,-22.3,0,0,7
5,13,2022-07,2023-01,0.8,1.0,4,5,7
5,14,2023-01,2023-07,2.5,-8.4,5,2,7
5,15,2023-07,2024-01,-4.1,-15.4,1,1,7
5,16,2024-01,2024-07,5.2,4.3,5,5,7
5,17,2024-07,2025-01,-6.4,-8.8,2,1,7
5,18,2025-01,2025-07,-6.1,6.1,2,4,7
5,19,2025-07,2026-01,-4.0,-3.2,3,3,7
5,20,2026-01,2026-07,-5.9,-9.3,1,1,7
