horizon_days,fold,test_from,test_to,ticker,n_test,n_train,acc_logistic_%,acc_xgboost_%,own_baseline_%,edge_logistic_pp,edge_xgboost_pp
1,0,2016-01,2016-07,CFIN,89,5796,42.7,40.4,47.2,-4.5,-6.7
1,0,2016-01,2016-07,COMB,118,5796,44.9,49.2,50.8,-5.9,-1.7
1,0,2016-01,2016-07,HNB,102,5796,39.2,52.0,53.9,-14.7,-2.0
1,0,2016-01,2016-07,LFIN,109,5796,38.5,46.8,34.9,3.7,11.9
1,0,2016-01,2016-07,LOFC,100,5796,38.0,41.0,35.0,3.0,6.0
1,0,2016-01,2016-07,LOLC,99,5796,48.5,45.5,38.4,10.1,7.1
1,0,2016-01,2016-07,SAMP,116,5796,49.1,48.3,54.3,-5.2,-6.0
1,1,2016-07,2017-01,CFIN,105,6527,53.3,56.2,63.8,-10.5,-7.6
1,1,2016-07,2017-01,COMB,120,6527,39.2,39.2,47.5,-8.3,-8.3
1,1,2016-07,2017-01,HNB,107,6527,46.7,57.0,61.7,-15.0,-4.7
1,1,2016-07,2017-01,LFIN,106,6527,41.5,45.3,38.7,2.8,6.6
1,1,2016-07,2017-01,LOFC,104,6527,32.7,36.5,55.8,-23.1,-19.2
1,1,2016-07,2017-01,LOLC,102,6527,30.4,36.3,40.2,-9.8,-3.9
1,1,2016-07,2017-01,SAMP,121,6527,48.8,58.7,71.1,-22.3,-12.4
1,2,2017-01,2017-07,CFIN,104,7303,38.5,39.4,37.5,1.0,1.9
1,2,2017-01,2017-07,COMB,113,7303,29.2,39.8,44.2,-15.0,-4.4
1,2,2017-01,2017-07,HNB,101,7303,39.6,52.5,56.4,-16.8,-4.0
1,2,2017-01,2017-07,LFIN,101,7303,36.6,41.6,43.6,-6.9,-2.0
1,2,2017-01,2017-07,LOFC,100,7303,28.0,43.0,50.0,-22.0,-7.0
1,2,2017-01,2017-07,LOLC,104,7303,29.8,41.3,39.4,-9.6,1.9
1,2,2017-01,2017-07,SAMP,114,7303,51.8,50.9,58.8,-7.0,-7.9
1,3,2017-07,2018-01,CFIN,101,8028,43.6,45.5,38.6,5.0,6.9
1,3,2017-07,2018-01,COMB,120,8028,53.3,55.0,53.3,0.0,1.7
1,3,2017-07,2018-01,HNB,116,8028,41.4,40.5,51.7,-10.3,-11.2
1,3,2017-07,2018-01,LFIN,83,8028,44.6,42.2,53.0,-8.4,-10.8
1,3,2017-07,2018-01,LOFC,103,8028,42.7,46.6,37.9,4.9,8.7
1,3,2017-07,2018-01,LOLC,114,8028,28.9,28.9,34.2,-5.3,-5.3
1,3,2017-07,2018-01,SAMP,118,8028,39.8,44.9,55.1,-15.3,-10.2
1,4,2018-01,2018-07,CFIN,101,8798,32.7,33.7,33.7,-1.0,0.0
1,4,2018-01,2018-07,COMB,115,8798,46.1,42.6,52.2,-6.1,-9.6
1,4,2018-01,2018-07,HNB,106,8798,61.3,55.7,63.2,-1.9,-7.5
1,4,2018-01,2018-07,LFIN,91,8798,35.2,40.7,45.1,-9.9,-4.4
1,4,2018-01,2018-07,LOFC,103,8798,43.7,43.7,38.8,4.9,4.9
1,4,2018-01,2018-07,LOLC,100,8798,39.0,34.0,38.0,1.0,-4.0
1,4,2018-01,2018-07,SAMP,116,8798,40.5,44.0,56.0,-15.5,-12.1
1,5,2018-07,2019-01,CFIN,100,9523,36.0,46.0,33.0,3.0,13.0
1,5,2018-07,2019-01,COMB,121,9523,42.1,45.5,47.9,-5.8,-2.5
1,5,2018-07,2019-01,HNB,105,9523,46.7,37.1,44.8,1.9,-7.6
1,5,2018-07,2019-01,LFIN,86,9523,33.7,37.2,40.7,-7.0,-3.5
1,5,2018-07,2019-01,LOFC,104,9523,38.5,36.5,38.5,0.0,-1.9
1,5,2018-07,2019-01,LOLC,95,9523,46.3,41.1,42.1,4.2,-1.1
1,5,2018-07,2019-01,SAMP,123,9523,47.2,46.3,42.3,4.9,4.1
1,6,2019-01,2019-07,CFIN,97,10266,32.0,34.0,49.5,-17.5,-15.5
1,6,2019-01,2019-07,COMB,115,10266,40.9,38.3,45.2,-4.3,-7.0
1,6,2019-01,2019-07,HNB,110,10266,53.6,41.8,57.3,-3.6,-15.5
1,6,2019-01,2019-07,LFIN,94,10266,36.2,42.6,45.7,-9.6,-3.2
1,6,2019-01,2019-07,LOFC,94,10266,42.6,46.8,35.1,7.4,11.7
1,6,2019-01,2019-07,LOLC,93,10266,35.5,46.2,31.2,4.3,15.1
1,6,2019-01,2019-07,SAMP,116,10266,34.5,28.4,44.0,-9.5,-15.5
1,7,2019-07,2020-01,CFIN,101,10983,44.6,54.5,32.7,11.9,21.8
1,7,2019-07,2020-01,COMB,123,10983,39.8,47.2,38.2,1.6,8.9
1,7,2019-07,2020-01,HNB,119,10983,43.7,34.5,37.0,6.7,-2.5
1,7,2019-07,2020-01,LFIN,97,10983,39.2,37.1,44.3,-5.2,-7.2
1,7,2019-07,2020-01,LOFC,119,10983,33.6,46.2,50.4,-16.8,-4.2
1,7,2019-07,2020-01,LOLC,113,10983,37.2,35.4,38.9,-1.8,-3.5
1,7,2019-07,2020-01,SAMP,123,10983,28.5,39.0,43.9,-15.4,-4.9
1,8,2020-01,2020-07,CFIN,62,11772,37.1,37.1,43.5,-6.5,-6.5
1,8,2020-01,2020-07,COMB,82,11772,36.6,25.6,35.4,1.2,-9.8
