ticker,group,phase,horizon_days,horizon,n_test,indep_windows,acc_%,baseline_%,edge_pp,beats_baseline,ret_ratio,sign_edge_pp
HNB,bank,A,1,1 day,642,642.0,39.4,43.3,-3.9,False,0.99,-8.3
HNB,bank,D,1,1 day,642,642.0,40.3,43.3,-3.0,False,0.989,-2.8
HNB,bank,A,5,1 week,641,128.2,36.3,37.4,-1.1,False,0.989,-0.9
HNB,bank,D,5,1 week,641,128.2,37.8,37.4,0.3,True,1.003,2.0
HNB,bank,A,10,2 weeks,640,64.0,34.2,36.9,-2.7,False,0.989,0.0
HNB,bank,D,10,2 weeks,640,64.0,35.3,36.9,-1.6,False,1.01,1.4
HNB,bank,A,15,3 weeks,639,42.6,36.2,43.0,-6.9,False,0.994,-2.0
HNB,bank,D,15,3 weeks,639,42.6,35.7,43.0,-7.4,False,1.033,1.7
HNB,bank,A,22,1 month,637,29.0,39.7,44.9,-5.2,False,0.994,-3.1
HNB,bank,D,22,1 month,637,29.0,37.4,44.9,-7.5,False,1.076,-6.6
HNB,bank,A,44,2 months,633,14.4,37.0,50.9,-13.9,False,0.995,0.6
HNB,bank,D,44,2 months,633,14.4,35.7,50.9,-15.2,False,1.335,-1.6
HNB,bank,A,66,3 months,628,9.5,30.7,55.9,-25.2,False,0.98,-8.8
HNB,bank,D,66,3 months,628,9.5,46.8,55.9,-9.1,False,1.324,-2.1
HNB,bank,A,132,6 months,601,4.6,36.6,78.4,-41.8,False,0.988,-11.6
HNB,bank,D,132,6 months,601,4.6,46.6,78.4,-31.8,False,1.13,-38.4
HNB,bank,A,252,1 year,553,2.2,29.8,76.9,-47.0,False,1.001,-71.1
HNB,bank,D,252,1 year,553,2.2,47.2,76.9,-29.7,False,0.941,-38.2
COMB,bank,A,1,1 day,659,659.0,40.8,44.3,-3.5,False,0.987,-1.5
COMB,bank,D,1,1 day,659,659.0,39.2,44.3,-5.2,False,0.988,-2.7
COMB,bank,A,5,1 week,659,131.8,36.7,37.5,-0.8,False,0.986,2.0
COMB,bank,D,5,1 week,659,131.8,36.7,37.5,-0.8,False,0.994,3.8
COMB,bank,A,10,2 weeks,658,65.8,31.8,37.7,-5.9,False,0.989,-3.6
COMB,bank,D,10,2 weeks,658,65.8,34.7,37.7,-3.0,False,1.021,-6.7
COMB,bank,A,15,3 weeks,657,43.8,30.3,45.4,-15.1,False,0.982,-5.2
COMB,bank,D,15,3 weeks,657,43.8,35.6,45.4,-9.7,False,1.027,-11.6
COMB,bank,A,22,1 month,655,29.8,33.3,45.2,-11.9,False,0.986,-5.8
COMB,bank,D,22,1 month,655,29.8,37.7,45.2,-7.5,False,1.044,-11.6
COMB,bank,A,44,2 months,651,14.8,30.9,34.6,-3.7,False,0.993,-5.7
COMB,bank,D,44,2 months,651,14.8,39.2,34.6,4.6,True,1.139,-12.9
COMB,bank,A,66,3 months,645,9.8,34.6,45.7,-11.2,False,0.996,-25.6
COMB,bank,D,66,3 months,645,9.8,43.1,45.7,-2.6,False,1.048,-10.7
COMB,bank,A,132,6 months,619,4.7,35.4,73.0,-37.6,False,0.957,-43.5
COMB,bank,D,132,6 months,619,4.7,35.5,73.0,-37.5,False,1.164,-46.8
COMB,bank,A,252,1 year,571,2.3,50.6,73.2,-22.6,False,0.981,-68.5
COMB,bank,D,252,1 year,571,2.3,38.5,73.2,-34.7,False,1.015,-61.1
SAMP,bank,A,1,1 day,668,668.0,46.0,42.7,3.3,True,1.004,-4.3
SAMP,bank,D,1,1 day,668,668.0,45.1,42.7,2.4,True,1.015,-1.9
SAMP,bank,A,5,1 week,667,133.4,35.7,36.1,-0.4,False,1.018,-3.6
SAMP,bank,D,5,1 week,667,133.4,37.8,36.1,1.6,True,1.057,-0.9
SAMP,bank,A,10,2 weeks,666,66.6,33.6,44.6,-11.0,False,1.006,-1.8
SAMP,bank,D,10,2 weeks,666,66.6,38.6,44.6,-6.0,False,1.086,1.5
SAMP,bank,A,15,3 weeks,665,44.3,37.4,45.7,-8.3,False,1.004,-4.2
SAMP,bank,D,15,3 weeks,665,44.3,38.6,45.7,-7.1,False,1.195,-4.8
SAMP,bank,A,22,1 month,664,30.2,37.3,46.2,-8.9,False,1.001,-4.4
SAMP,bank,D,22,1 month,664,30.2,35.4,46.2,-10.8,False,1.368,-3.3
SAMP,bank,A,44,2 months,659,15.0,34.7,49.0,-14.3,False,1.002,-4.1
SAMP,bank,D,44,2 months,659,15.0,35.7,49.0,-13.4,False,1.549,-3.8
SAMP,bank,A,66,3 months,654,9.9,33.3,56.1,-22.8,False,1.001,0.6
SAMP,bank,D,66,3 months,654,9.9,39.0,56.1,-17.1,False,1.351,2.3
SAMP,bank,A,132,6 months,627,4.8,28.2,75.6,-47.4,False,0.996,-27.3
SAMP,bank,D,132,6 months,627,4.8,55.3,75.6,-20.3,False,0.915,-18.3
SAMP,bank,A,252,1 year,580,2.3,27.6,78.3,-50.7,False,1.013,-64.0
SAMP,bank,D,252,1 year,580,2.3,73.1,78.3,-5.2,False,0.901,-22.2
LOFC,finance,A,1,1 day,628,628.0,38.7,37.9,0.8,True,0.998,-33.6
LOFC,finance,D,1,1 day,628,628.0,41.4,37.9,3.5,True,1.005,-34.7
LOFC,finance,A,5,1 week,627,125.4,35.4,44.2,-8.8,False,1.003,-27.4
LOFC,finance,D,5,1 week,627,125.4,44.7,44.2,0.5,True,1.055,-22.3
LOFC,finance,A,10,2 weeks,626,62.6,34.3,45.2,-10.9,False,1.004,-24.0
