ticker,horizon_days,sector_gain_pp,group,horizon,edge_pp,beats_baseline,sign_edge_pp,indep_windows
HNB,1,0.8999999999999986,bank,1 day,-3.0,False,-2.8,642.0
HNB,5,1.5,bank,1 week,0.3,True,2.0,128.2
HNB,10,1.0999999999999943,bank,2 weeks,-1.6,False,1.4,64.0
HNB,15,-0.5,bank,3 weeks,-7.4,False,1.7,42.6
HNB,22,-2.3000000000000043,bank,1 month,-7.5,False,-6.6,29.0
HNB,44,-1.2999999999999972,bank,2 months,-15.2,False,-1.6,14.4
HNB,66,16.099999999999998,bank,3 months,-9.1,False,-2.1,9.5
HNB,132,10.0,bank,6 months,-31.8,False,-38.4,4.6
HNB,252,17.400000000000002,bank,1 year,-29.7,False,-38.2,2.2
COMB,1,-1.5999999999999943,bank,1 day,-5.2,False,-2.7,659.0
COMB,5,0.0,bank,1 week,-0.8,False,3.8,131.8
COMB,10,2.900000000000002,bank,2 weeks,-3.0,False,-6.7,65.8
COMB,15,5.300000000000001,bank,3 weeks,-9.7,False,-11.6,43.8
COMB,22,4.400000000000006,bank,1 month,-7.5,False,-11.6,29.8
COMB,44,8.300000000000004,bank,2 months,4.6,True,-12.9,14.8
COMB,66,8.5,bank,3 months,-2.6,False,-10.7,9.8
COMB,132,0.10000000000000142,bank,6 months,-37.5,False,-46.8,4.7
COMB,252,-12.100000000000001,bank,1 year,-34.7,False,-61.1,2.3
SAMP,1,-0.8999999999999986,bank,1 day,2.4,True,-1.9,668.0
SAMP,5,2.0999999999999943,bank,1 week,1.6,True,-0.9,133.4
SAMP,10,5.0,bank,2 weeks,-6.0,False,1.5,66.6
SAMP,15,1.2000000000000028,bank,3 weeks,-7.1,False,-4.8,44.3
SAMP,22,-1.8999999999999986,bank,1 month,-10.8,False,-3.3,30.2
SAMP,44,1.0,bank,2 months,-13.4,False,-3.8,15.0
SAMP,66,5.700000000000003,bank,3 months,-17.1,False,2.3,9.9
SAMP,132,27.099999999999998,bank,6 months,-20.3,False,-18.3,4.8
SAMP,252,45.49999999999999,bank,1 year,-5.2,False,-22.2,2.3
LOFC,1,2.6999999999999957,finance,1 day,3.5,True,-34.7,628.0
LOFC,5,9.300000000000004,finance,1 week,0.5,True,-22.3,125.4
LOFC,10,7.200000000000003,finance,2 weeks,-3.7,False,-23.3,62.6
LOFC,15,1.5,finance,3 weeks,-0.6,False,-20.3,41.7
LOFC,22,8.0,finance,1 month,-3.2,False,-12.0,28.4
LOFC,44,8.699999999999996,finance,2 months,2.1,True,-3.4,14.1
LOFC,66,19.400000000000006,finance,3 months,19.1,True,0.5,9.3
LOFC,132,18.6,finance,6 months,24.7,True,28.6,4.4
LOFC,252,-1.2999999999999972,finance,1 year,-3.2,False,-2.0,2.1
LOLC,1,-1.0,finance,1 day,-0.8,False,-13.3,625.0
LOLC,5,-0.6999999999999957,finance,1 week,-5.9,False,-7.5,125.0
LOLC,10,-1.8999999999999986,finance,2 weeks,-8.7,False,-10.1,62.4
LOLC,15,-7.799999999999997,finance,3 weeks,-11.7,False,-13.6,41.5
LOLC,22,-0.7999999999999972,finance,1 month,-7.6,False,-7.4,28.2
LOLC,44,-1.4000000000000057,finance,2 months,-1.1,False,-3.1,14.0
LOLC,66,5.100000000000001,finance,3 months,4.6,True,-6.5,9.3
LOLC,132,4.100000000000001,finance,6 months,2.9,True,1.2,4.4
LOLC,252,21.799999999999997,finance,1 year,-3.7,False,1.1,2.1
LFIN,1,4.899999999999999,finance,1 day,5.6,True,-3.4,609.0
LFIN,5,6.399999999999999,finance,1 week,-1.0,False,-1.2,121.6
LFIN,10,8.099999999999994,finance,2 weeks,-3.1,False,-5.8,60.7
LFIN,15,11.200000000000003,finance,3 weeks,-5.8,False,-7.1,40.4
LFIN,22,12.199999999999996,finance,1 month,-6.3,False,-4.3,27.5
LFIN,44,10.200000000000003,finance,2 months,-14.7,False,-0.7,13.6
LFIN,66,14.300000000000004,finance,3 months,-14.8,False,-0.8,9.0
LFIN,132,18.4,finance,6 months,-19.9,False,-2.6,4.3
LFIN,252,32.699999999999996,finance,1 year,-10.4,False,-6.7,2.1
CFIN,1,2.6999999999999957,finance,1 day,5.8,True,-9.7,616.0
CFIN,5,7.200000000000003,finance,1 week,6.2,True,-3.7,123.0
CFIN,10,4.5,finance,2 weeks,2.6,True,1.6,61.4
CFIN,15,6.300000000000004,finance,3 weeks,0.3,True,-1.1,40.9
CFIN,22,4.899999999999999,finance,1 month,-6.0,False,0.0,27.8
CFIN,44,-0.6999999999999957,finance,2 months,-8.1,False,-7.2,13.8
CFIN,66,12.300000000000004,finance,3 months,-3.5,False,-5.5,9.1
CFIN,132,9.5,finance,6 months,-20.5,False,-11.3,4.4
CFIN,252,21.199999999999996,finance,1 year,-28.4,False,-40.7,2.1
JKH,1,1.1000000000000014,control,1 day,-1.7,False,-10.6,660.0
JKH,5,3.299999999999997,control,1 week,0.2,True,-3.2,131.8
JKH,10,4.699999999999996,control,2 weeks,2.1,True,-0.6,65.8
JKH,15,8.200000000000003,control,3 weeks,8.4,True,-0.2,43.8
JKH,22,3.799999999999997,control,1 month,7.2,True,2.3,29.8
JKH,44,-2.0,control,2 months,-3.8,False,-0.8,14.8
JKH,66,9.0,control,3 months,5.6,True,2.5,9.8
JKH,132,-2.8999999999999986,control,6 months,-0.6,False,5.2,4.7
JKH,252,4.5,control,1 year,-3.8,False,-35.8,2.3
DIAL,1,3.0999999999999943,control,1 day,0.9,True,-13.8,650.0
DIAL,5,2.6999999999999957,control,1 week,-2.8,False,-2.2,129.8
DIAL,10,-0.20000000000000284,control,2 weeks,-12.0,False,-3.4,64.8
DIAL,15,5.100000000000001,control,3 weeks,-13.4,False,-7.7,43.1
DIAL,22,-0.3999999999999986,control,1 month,-22.4,False,-9.9,29.4
DIAL,44,-11.400000000000002,control,2 months,-42.7,False,-13.2,14.6
DIAL,66,-13.5,control,3 months,-41.7,False,-13.2,9.6
DIAL,132,13.399999999999999,control,6 months,-14.3,False,-16.1,4.6
DIAL,252,-15.3,control,1 year,-54.6,False,-35.4,2.2
CTC,1,-16.700000000000003,control,1 day,-24.2,False,-2.8,599.0
CTC,5,-7.799999999999997,control,1 week,-8.4,False,-4.8,119.6
CTC,10,2.8000000000000043,control,2 weeks,-1.2,False,-6.0,59.7
CTC,15,-4.5,control,3 weeks,-6.2,False,-7.4,39.7
CTC,22,-17.1,control,1 month,-17.5,False,-10.3,27.0
CTC,44,-19.499999999999996,control,2 months,-30.8,False,-25.7,13.4
CTC,66,-2.700000000000003,control,3 months,-26.1,False,-41.5,8.9
CTC,132,-19.2,control,6 months,-71.0,False,-39.1,4.3
CTC,252,-14.399999999999999,control,1 year,-66.3,False,-44.6,2.2
DIST,1,-2.799999999999997,control,1 day,4.0,True,-9.1,570.0
DIST,5,0.8999999999999986,control,1 week,2.8,True,-2.5,113.8
DIST,10,0.3999999999999986,control,2 weeks,6.3,True,-3.9,56.8
DIST,15,5.299999999999997,control,3 weeks,8.1,True,-4.8,37.8
DIST,22,10.599999999999994,control,1 month,9.7,True,-8.0,25.7
DIST,44,4.600000000000001,control,2 months,-9.4,False,-14.1,12.8
DIST,66,6.5,control,3 months,-12.7,False,0.2,8.4
DIST,132,11.2,control,6 months,-27.0,False,-9.2,4.1
DIST,252,0.0,control,1 year,-41.3,False,-29.8,2.1
