horizon_days,fold,test_from,med_A,med_D,med_H,med_S,sent_share,gain_D_to_H
1,0,2019-01,-1.7,-8.5,-9.6,-4.3,32.3,-1.1
1,1,2019-07,0.9,0.8,0.0,-0.9,32.0,-0.8
1,2,2020-01,-2.5,1.3,4.2,0.0,31.8,2.9
1,3,2020-07,-7.2,-4.8,-4.8,-1.6,31.8,0.0
1,4,2021-01,0.9,3.5,2.6,2.7,31.6,-0.9
1,5,2021-07,3.2,1.6,0.8,0.0,31.4,-0.8
1,6,2022-01,3.5,2.3,4.6,6.1,31.2,2.3
5,0,2019-01,1.1,-2.6,1.1,2.6,31.2,3.7
5,1,2019-07,0.0,-3.4,-3.3,0.0,31.1,0.1
5,2,2020-01,-12.9,-4.9,-7.3,-9.8,30.6,-2.4
5,3,2020-07,3.2,5.6,2.4,1.6,29.5,-3.2
5,4,2021-01,-14.9,-3.5,-8.8,-12.3,30.8,-5.3
5,5,2021-07,0.8,0.0,0.0,1.6,31.8,0.0
5,6,2022-01,-2.4,-3.6,-4.3,-4.8,30.6,-0.7
10,0,2019-01,-3.2,4.3,8.2,8.5,30.2,3.9
10,1,2019-07,0.8,-10.1,-4.4,0.0,29.6,5.7
10,2,2020-01,-4.2,-2.4,0.0,-3.7,29.0,2.4
10,3,2020-07,6.4,15.2,11.2,3.3,28.3,-4.0
10,4,2021-01,-3.5,6.1,4.5,-6.4,29.9,-1.6
10,5,2021-07,5.6,11.3,5.6,2.4,30.6,-5.7
10,6,2022-01,-13.0,-25.6,-21.8,-32.1,30.4,3.8
22,0,2019-01,-3.2,-8.6,-6.5,-11.7,26.6,2.1
22,1,2019-07,5.9,7.6,4.9,0.8,28.6,-2.7
22,2,2020-01,-13.4,-15.0,-12.5,-7.3,27.1,2.5
22,3,2020-07,-5.6,15.2,16.8,-8.0,27.5,1.6
22,4,2021-01,0.0,5.3,8.8,11.4,26.9,3.5
22,5,2021-07,-8.1,2.4,2.4,4.8,26.6,0.0
22,6,2022-01,-28.8,-15.4,-15.6,-51.5,26.7,-0.2
