horizon_days,fold,test_from,ticker,n_test,own_baseline_%,sent_share_%,acc_A_%,edge_A_pp,acc_D_%,edge_D_pp,acc_H_%,edge_H_pp,acc_S_%,edge_S_pp
1,0,2019-01,CFIN,97,49.5,32.3,32.0,-17.5,38.1,-11.3,37.1,-12.4,39.2,-10.3
1,0,2019-01,COMB,115,45.2,32.3,44.3,-0.9,40.0,-5.2,41.7,-3.5,42.6,-2.6
1,0,2019-01,HNB,110,57.3,32.3,50.0,-7.3,41.8,-15.5,45.5,-11.8,48.2,-9.1
1,0,2019-01,LFIN,94,45.7,32.3,39.4,-6.4,37.2,-8.5,36.2,-9.6,41.5,-4.3
1,0,2019-01,LOFC,94,35.1,32.3,39.4,4.3,46.8,11.7,44.7,9.6,45.7,10.6
1,0,2019-01,LOLC,93,31.2,32.3,46.2,15.1,43.0,11.8,43.0,11.8,36.6,5.4
1,0,2019-01,SAMP,116,44.0,32.3,42.2,-1.7,31.0,-12.9,33.6,-10.3,37.1,-6.9
1,1,2019-07,CFIN,101,32.7,32.0,37.6,5.0,48.5,15.8,49.5,16.8,44.6,11.9
1,1,2019-07,COMB,123,38.2,32.0,41.5,3.3,39.0,0.8,39.8,1.6,43.9,5.7
1,1,2019-07,HNB,119,37.0,32.0,46.2,9.2,43.7,6.7,37.0,0.0,42.9,5.9
1,1,2019-07,LFIN,97,44.3,32.0,43.3,-1.0,38.1,-6.2,35.1,-9.3,40.2,-4.1
1,1,2019-07,LOFC,119,50.4,32.0,40.3,-10.1,42.0,-8.4,35.3,-15.1,36.1,-14.3
1,1,2019-07,LOLC,113,38.9,32.0,39.8,0.9,40.7,1.8,40.7,1.8,38.1,-0.9
1,1,2019-07,SAMP,123,43.9,32.0,39.0,-4.9,32.5,-11.4,30.1,-13.8,35.0,-8.9
1,2,2020-01,CFIN,62,43.5,31.8,38.7,-4.8,43.5,0.0,38.7,-4.8,35.5,-8.1
1,2,2020-01,COMB,82,35.4,31.8,35.4,0.0,37.8,2.4,43.9,8.5,43.9,8.5
1,2,2020-01,HNB,80,38.8,31.8,36.2,-2.5,40.0,1.3,47.5,8.7,38.8,0.0
1,2,2020-01,LFIN,71,35.2,31.8,38.0,2.8,42.3,7.0,39.4,4.2,43.7,8.5
1,2,2020-01,LOFC,78,34.6,31.8,42.3,7.7,41.0,6.4,41.0,6.4,41.0,6.4
1,2,2020-01,LOLC,82,50.0,31.8,39.0,-11.0,50.0,0.0,46.3,-3.7,35.4,-14.6
1,2,2020-01,SAMP,82,45.1,31.8,26.8,-18.3,36.6,-8.5,36.6,-8.5,30.5,-14.6
1,3,2020-07,CFIN,122,36.1,31.8,41.8,5.7,37.7,1.6,36.1,0.0,45.9,9.8
1,3,2020-07,COMB,125,44.0,31.8,36.8,-7.2,36.8,-7.2,35.2,-8.8,32.8,-11.2
