horizon_days,phase,folds_positive,median_edge_pp,sign_test_p,beats_baseline
1,A,4/7,0.9,0.5,NO
1,D,5/7,1.3,0.2266,NO
1,H,4/7,0.8,0.5,NO
1,S,2/7,0.0,0.9375,NO
1,GAIN D->H,2/7,-0.8,0.9375,—
5,A,3/7,0.0,0.7734,NO
5,D,1/7,-3.4,0.9922,NO
5,H,2/7,-3.3,0.9375,NO
5,S,3/7,0.0,0.7734,NO
5,GAIN D->H,2/7,-0.7,0.9375,—
10,A,3/7,-3.2,0.7734,NO
10,D,4/7,4.3,0.5,NO
10,H,4/7,4.5,0.5,NO
10,S,3/7,0.0,0.7734,NO
10,GAIN D->H,4/7,2.4,0.5,—
22,A,1/7,-5.6,0.9922,NO
22,D,4/7,2.4,0.5,NO
22,H,4/7,2.4,0.5,NO
22,S,3/7,-7.3,0.7734,NO
22,GAIN D->H,4/7,1.6,0.5,—
