target,split,model,RMSE,MAE,MAPE_%,R2,Theil_U2,dir_acc_%,DM_vs_naive,DM_p_vs_naive,DM_vs_ARIMA,DM_p_vs_ARIMA
SPSL20,fixed 80/20,Naive (random walk),56.1624,37.058,0.788,0.9979,1.0,64.0,,,-0.24,0.8103
SPSL20,fixed 80/20,"ARIMA(2, 1, 0)",56.435,36.4231,0.7693,0.9979,1.0049,61.2,0.24,0.8103,,
SPSL20,fixed 80/20,LSTM (univariate),56.2062,36.1589,0.7618,0.9979,1.0008,63.0,0.031,0.9753,-0.348,0.7275
SPSL20,fixed 80/20,Hybrid ARIMA+LSTM,56.8149,36.4246,0.7676,0.9978,1.0116,61.5,0.446,0.6554,0.49,0.6243
SPSL20,fixed 80/20,Hybrid+MacroNews,57.9297,38.2485,0.8085,0.9977,1.0315,61.7,1.319,0.1873,1.612,0.1069
SPSL20,WF 2019,Naive (random walk),24.0135,16.101,0.5712,0.985,1.0,56.8,,,1.028,0.3037
SPSL20,WF 2019,"ARIMA(2, 1, 0)",23.5232,15.8564,0.5618,0.9856,0.9796,57.3,-1.028,0.3037,,
SPSL20,WF 2019,LSTM (univariate),23.3551,15.9258,0.5637,0.9858,0.9726,56.4,-1.549,0.1214,-0.702,0.483
SPSL20,WF 2019,Hybrid ARIMA+LSTM,23.5547,16.1859,0.5729,0.9856,0.9809,56.8,-0.891,0.373,0.146,0.884
SPSL20,WF 2019,Hybrid+MacroNews,24.0406,16.332,0.5775,0.985,1.0011,56.8,0.064,0.9493,1.928,0.0538
SPSL20,WF 2020,Naive (random walk),40.3966,25.4252,1.1242,0.9784,1.0,61.7,,,2.005,0.045
SPSL20,WF 2020,"ARIMA(2, 1, 0)",37.6214,24.2981,1.0713,0.9813,0.9313,62.2,-2.005,0.045,,
SPSL20,WF 2020,LSTM (univariate),39.4822,24.5679,1.0889,0.9794,0.9774,62.2,-2.42,0.0155,1.397,0.1623
SPSL20,WF 2020,Hybrid ARIMA+LSTM,38.4045,24.361,1.0746,0.9805,0.9507,61.7,-2.042,0.0412,1.212,0.2253
SPSL20,WF 2020,Hybrid+MacroNews,40.0139,25.8707,1.1375,0.9788,0.9905,60.3,-0.413,0.6799,2.394,0.0167
SPSL20,WF 2021,Naive (random walk),48.4586,33.7166,1.0523,0.9851,1.0,58.6,,,0.428,0.6685
SPSL20,WF 2021,"ARIMA(2, 1, 0)",47.7608,34.1453,1.0644,0.9855,0.9856,58.6,-0.428,0.6685,,
SPSL20,WF 2021,LSTM (univariate),48.9419,34.4054,1.075,0.9848,1.01,59.8,0.397,0.6915,1.402,0.161
SPSL20,WF 2021,Hybrid ARIMA+LSTM,47.8353,33.5993,1.049,0.9855,0.9871,59.4,-0.434,0.6645,0.077,0.9387
SPSL20,WF 2021,Hybrid+MacroNews,47.7946,34.2819,1.0727,0.9855,0.9863,59.8,-0.594,0.5525,0.026,0.9794
SPSL20,WF 2022,Naive (random walk),80.0183,56.0471,1.8823,0.9855,1.0,61.0,,,0.458,0.6473
SPSL20,WF 2022,"ARIMA(2, 1, 0)",78.8444,55.1139,1.8392,0.9859,0.9853,59.3,-0.458,0.6473,,
SPSL20,WF 2022,LSTM (univariate),79.6186,55.5814,1.8662,0.9856,0.995,59.3,-0.211,0.8331,0.554,0.5793
SPSL20,WF 2022,Hybrid ARIMA+LSTM,79.3325,56.0013,1.8687,0.9857,0.9914,60.6,-0.355,0.7226,0.235,0.8141
SPSL20,WF 2022,Hybrid+MacroNews,79.4604,56.1733,1.8657,0.9857,0.993,59.7,-0.206,0.8366,0.409,0.6827
SPSL20,WF 2023,Naive (random walk),37.2113,26.2299,0.9039,0.9792,1.0,59.9,,,0.19,0.8493
SPSL20,WF 2023,"ARIMA(2, 1, 0)",37.0993,26.0786,0.8983,0.9794,0.997,57.4,-0.19,0.8493,,
SPSL20,WF 2023,LSTM (univariate),37.2388,26.0005,0.8971,0.9792,1.0007,57.9,0.04,0.9683,0.386,0.6994
SPSL20,WF 2023,Hybrid ARIMA+LSTM,37.2891,26.0876,0.9003,0.9792,1.0021,57.4,0.114,0.909,0.588,0.5564
SPSL20,WF 2023,Hybrid+MacroNews,55.342,39.772,1.3911,0.9541,1.4872,56.2,6.0,0.0,5.729,0.0
SPSL20,WF 2024,Naive (random walk),35.0591,25.9047,0.7361,0.9916,1.0,69.6,,,3.985,0.0001
SPSL20,WF 2024,"ARIMA(2, 1, 0)",32.5261,23.9879,0.6831,0.9928,0.9278,65.4,-3.985,0.0001,,
SPSL20,WF 2024,LSTM (univariate),30.9827,23.1727,0.6608,0.9934,0.8837,67.9,-3.973,0.0001,-3.064,0.0022
SPSL20,WF 2024,Hybrid ARIMA+LSTM,31.6009,23.5371,0.6702,0.9932,0.9014,66.7,-3.471,0.0005,-1.811,0.0701
SPSL20,WF 2024,Hybrid+MacroNews,32.923,24.6859,0.7046,0.9926,0.9391,67.5,-2.5,0.0124,0.634,0.5264
SPSL20,WF 2025,Naive (random walk),58.9449,41.1445,0.7813,0.9909,1.0,60.9,,,-0.912,0.3619
SPSL20,WF 2025,"ARIMA(2, 1, 0)",61.3512,41.2151,0.7885,0.9902,1.0408,58.8,0.912,0.3619,,
