target,split,model,RMSE,MAE,MAPE_%,R2,Theil_U2,dir_acc_%,DM_vs_naive,DM_p_vs_naive,DM_vs_ARIMA,DM_p_vs_ARIMA
SPSL20,fixed 80/20,Naive (random walk),56.1624,37.058,0.788,0.9979,1.0,64.0,,,-0.24,0.8103
SPSL20,fixed 80/20,"ARIMA(2, 1, 0)",56.435,36.4231,0.7693,0.9979,1.0049,61.2,0.24,0.8103,,
SPSL20,fixed 80/20,LSTM (univariate),56.2062,36.1589,0.7618,0.9979,1.0008,63.0,0.031,0.9753,-0.348,0.7275
SPSL20,fixed 80/20,Hybrid ARIMA+LSTM,56.8149,36.4246,0.7676,0.9978,1.0116,61.5,0.446,0.6554,0.49,0.6243
SPSL20,fixed 80/20,Hybrid+MacroNews,57.9297,38.2485,0.8085,0.9977,1.0315,61.7,1.319,0.1873,1.612,0.1069
HNB,fixed 80/20,Naive (random walk),4.4506,2.8901,1.0174,0.9979,1.0,49.4,,,1.562,0.1183
HNB,fixed 80/20,"ARIMA(2, 1, 0)",4.4186,2.8798,1.0106,0.998,0.9928,51.2,-1.562,0.1183,,
HNB,fixed 80/20,LSTM (univariate),4.475,2.9254,1.0266,0.9979,1.0055,50.3,0.465,0.6419,1.079,0.2806
HNB,fixed 80/20,Hybrid ARIMA+LSTM,4.471,2.9372,1.0314,0.9979,1.0046,50.6,0.395,0.693,1.028,0.3041
HNB,fixed 80/20,Hybrid+MacroNews,4.4994,2.9731,1.0411,0.9979,1.011,50.0,1.839,0.0659,2.474,0.0134
