target,model,RMSE,MAE,MAPE_pct,R2,Theil_U2,dir_acc_pct,folds_better_than_naive
HNB,"ARIMA(2, 1, 0)",2.4946,1.4935,1.1878,0.9819,1.0047,45.0,2/7
HNB,Hybrid ARIMA+LSTM,2.5682,1.5982,1.1991,0.982,1.0079,47.2,1/7
HNB,Hybrid+MacroNews,2.7,1.8543,1.259,0.9815,1.0449,43.8,0/7
HNB,LSTM (univariate),2.554,1.607,1.1923,0.9819,1.0087,45.0,2/7
HNB,Naive (random walk),2.5111,1.4854,1.1962,0.9824,1.0,43.8,0/7
SPSL20,"ARIMA(2, 1, 0)",37.6214,26.0786,0.8983,0.9856,0.9853,58.8,6/7
SPSL20,Hybrid ARIMA+LSTM,38.4045,26.0876,0.9003,0.9856,0.9871,60.1,5/7
SPSL20,Hybrid+MacroNews,47.7946,34.2819,1.0727,0.9855,0.993,59.8,4/7
SPSL20,LSTM (univariate),39.4822,26.0005,0.8971,0.9856,0.995,59.3,4/7
SPSL20,Naive (random walk),40.3966,26.2299,0.9039,0.9851,1.0,60.9,0/7
