target,model,evaluation,block,R2_gain,adjR2_gain,MAPE_improvement_%
BANKS,Ridge,IN-SAMPLE,price + MACRO,0.00917,0.00557,-0.012
BANKS,Ridge,IN-SAMPLE,price + RANDOM NOISE (control),0.00277,-0.00087,-0.085
BANKS,Ridge,OUT-OF-SAMPLE,price + MACRO,0.00578,-0.01315,-1.139
BANKS,Ridge,OUT-OF-SAMPLE,price + RANDOM NOISE (control),-0.00551,-0.02482,-0.503
BANKS,XGBoost,IN-SAMPLE,price + MACRO,0.05418,0.05244,3.769
BANKS,XGBoost,IN-SAMPLE,price + RANDOM NOISE (control),0.07766,0.07608,6.315
BANKS,XGBoost,OUT-OF-SAMPLE,price + MACRO,0.0778,0.05798,0.864
BANKS,XGBoost,OUT-OF-SAMPLE,price + RANDOM NOISE (control),0.06331,0.04299,1.089
SPSL20,Ridge,IN-SAMPLE,price + MACRO,0.00376,-0.00056,0.026
SPSL20,Ridge,IN-SAMPLE,price + RANDOM NOISE (control),0.00319,-0.00113,-0.168
SPSL20,Ridge,OUT-OF-SAMPLE,price + MACRO,-0.03606,-0.06133,-5.474
SPSL20,Ridge,OUT-OF-SAMPLE,price + RANDOM NOISE (control),-0.01277,-0.03708,-0.832
SPSL20,XGBoost,IN-SAMPLE,price + MACRO,0.06029,0.05849,3.995
SPSL20,XGBoost,IN-SAMPLE,price + RANDOM NOISE (control),0.12562,0.12435,10.664
SPSL20,XGBoost,OUT-OF-SAMPLE,price + MACRO,0.0039,-0.0201,1.344
SPSL20,XGBoost,OUT-OF-SAMPLE,price + RANDOM NOISE (control),-0.0246,-0.04978,-1.499
