target,features,model,evaluation,n,k,R2_return,adjR2_return,R2_price,MAPE_%,vs_naive_ratio
SPSL20,price only,Ridge,IN-SAMPLE,2640,9,0.05525,0.05202,0.997987,0.7756,
SPSL20,price only,XGBoost,IN-SAMPLE,2640,9,0.50525,0.50356,0.998812,0.6433,
SPSL20,price only,Ridge,OUT-OF-SAMPLE,528,9,0.01479,-0.00232,0.997864,0.7691,0.9713
SPSL20,price only,XGBoost,OUT-OF-SAMPLE,528,9,-0.00155,-0.01895,0.99779,0.7739,0.9773
SPSL20,price + MACRO,Ridge,IN-SAMPLE,2640,21,0.05901,0.05146,0.997994,0.7754,
SPSL20,price + MACRO,XGBoost,IN-SAMPLE,2640,21,0.56554,0.56205,0.998919,0.6176,
SPSL20,price + MACRO,Ridge,OUT-OF-SAMPLE,528,21,-0.02127,-0.06365,0.997736,0.8112,1.0245
SPSL20,price + MACRO,XGBoost,OUT-OF-SAMPLE,528,21,0.00235,-0.03905,0.997833,0.7635,0.9643
SPSL20,price + RANDOM NOISE (control),Ridge,IN-SAMPLE,2640,21,0.05844,0.05089,0.997988,0.7769,
SPSL20,price + RANDOM NOISE (control),XGBoost,IN-SAMPLE,2640,21,0.63087,0.62791,0.999066,0.5747,
SPSL20,price + RANDOM NOISE (control),Ridge,OUT-OF-SAMPLE,528,21,0.00202,-0.0394,0.997828,0.7755,0.9795
SPSL20,price + RANDOM NOISE (control),XGBoost,OUT-OF-SAMPLE,528,21,-0.02615,-0.06873,0.99773,0.7855,0.9921
BANKS,price only,Ridge,IN-SAMPLE,3177,9,0.04013,0.0374,0.999148,0.8235,
BANKS,price only,XGBoost,IN-SAMPLE,3177,9,0.45216,0.45061,0.999454,0.6952,
BANKS,price only,Ridge,OUT-OF-SAMPLE,636,9,0.03546,0.0216,0.998376,0.8344,0.9759
BANKS,price only,XGBoost,OUT-OF-SAMPLE,636,9,-0.13466,-0.15098,0.99818,0.8909,1.0419
BANKS,price + MACRO,Ridge,IN-SAMPLE,3177,21,0.0493,0.04297,0.999152,0.8236,
BANKS,price + MACRO,XGBoost,IN-SAMPLE,3177,21,0.50634,0.50305,0.999494,0.669,
BANKS,price + MACRO,Ridge,OUT-OF-SAMPLE,636,21,0.04124,0.00845,0.998371,0.8439,0.987
BANKS,price + MACRO,XGBoost,OUT-OF-SAMPLE,636,21,-0.05686,-0.093,0.99827,0.8832,1.033
BANKS,price + RANDOM NOISE (control),Ridge,IN-SAMPLE,3177,21,0.0429,0.03653,0.99915,0.8242,
BANKS,price + RANDOM NOISE (control),XGBoost,IN-SAMPLE,3177,21,0.52982,0.52669,0.999523,0.6513,
BANKS,price + RANDOM NOISE (control),Ridge,OUT-OF-SAMPLE,636,21,0.02995,-0.00322,0.998371,0.8386,0.9807
BANKS,price + RANDOM NOISE (control),XGBoost,OUT-OF-SAMPLE,636,21,-0.07135,-0.10799,0.998213,0.8812,1.0305
