target,variable,coef,t_stat,p_value,significant_5%
SPSL20,policy_rate,0.000541,1.207,0.2274,no
SPSL20,spread,-6.2e-05,-0.159,0.8738,no
SPSL20,tb_3m,-0.000156,-0.497,0.6194,no
SPSL20,d_policy_1m,-0.000433,-0.799,0.4245,no
SPSL20,d_spread_1m,0.0005,0.851,0.3951,no
SPSL20,d_tb3m_3m,0.000192,0.876,0.3812,no
SPSL20,term_slope,-0.000167,-0.347,0.7289,no
SPSL20,ccpi_index_2021base,2.3e-05,0.644,0.5198,no
SPSL20,ccpi_yoy_pct,6e-06,0.096,0.9239,no
SPSL20,ccpi_mom_pct,-0.000324,-1.503,0.1331,no
SPSL20,usd_lkr,-1.8e-05,-0.756,0.4495,no
SPSL20,usd_lkr_ret_5,-0.011504,-0.642,0.5211,no
BANKS,policy_rate,2.5e-05,0.059,0.9533,no
BANKS,spread,0.000237,0.717,0.4736,no
BANKS,tb_3m,5.7e-05,0.209,0.8346,no
BANKS,d_policy_1m,0.000684,1.262,0.207,no
BANKS,d_spread_1m,0.001555,2.611,0.0091,YES
BANKS,d_tb3m_3m,-0.000137,-0.678,0.4977,no
BANKS,term_slope,-0.000371,-0.935,0.3497,no
BANKS,ccpi_index_2021base,0.000106,2.922,0.0035,YES
BANKS,ccpi_yoy_pct,2.7e-05,0.459,0.6465,no
BANKS,ccpi_mom_pct,-0.000412,-1.924,0.0544,no
BANKS,usd_lkr,-6.9e-05,-2.991,0.0028,YES
BANKS,usd_lkr_ret_5,0.0175,1.054,0.2918,no
