target,horizon_days,test_from,n_test,baseline_%,early_fusion_%,late_fusion_%,AUC_late,edge_early_pp,edge_late_pp,late_minus_early_pp,solo_price_%,solo_price_edge_pp,solo_news_%,solo_news_edge_pp,solo_macro_%,solo_macro_edge_pp
BANKS,1,2019-01,109,62.4,53.2,58.7,0.549,-9.2,-3.7,5.5,46.8,-15.6,66.1,3.7,58.7,-3.7
BANKS,1,2019-07,118,56.8,48.3,44.9,0.418,-8.5,-11.9,-3.4,49.2,-7.6,42.4,-14.4,53.4,-3.4
BANKS,1,2020-01,80,55.0,53.8,56.2,0.536,-1.3,1.2,2.5,42.5,-12.5,51.2,-3.8,45.0,-10.0
BANKS,1,2020-07,125,59.2,52.0,59.2,0.623,-7.2,0.0,7.2,50.4,-8.8,56.8,-2.4,48.8,-10.4
BANKS,1,2021-01,111,56.8,52.3,52.3,0.557,-4.5,-4.5,0.0,55.0,-1.8,47.7,-9.0,51.4,-5.4
BANKS,1,2021-07,124,53.2,46.8,48.4,0.488,-6.5,-4.8,1.6,41.9,-11.3,49.2,-4.0,49.2,-4.0
BANKS,5,2019-01,109,62.4,47.7,61.5,0.588,-14.7,-0.9,13.8,42.2,-20.2,69.7,7.3,47.7,-14.7
BANKS,5,2019-07,118,56.8,45.8,47.5,0.415,-11.0,-9.3,1.7,54.2,-2.5,44.1,-12.7,56.8,0.0
BANKS,5,2020-01,80,56.2,27.5,52.5,0.537,-28.7,-3.7,25.0,51.2,-5.0,58.8,2.5,42.5,-13.8
BANKS,5,2020-07,125,52.0,48.0,48.8,0.499,-4.0,-3.2,0.8,56.0,4.0,51.2,-0.8,54.4,2.4
BANKS,5,2021-01,111,55.9,46.8,54.1,0.547,-9.0,-1.8,7.2,50.5,-5.4,45.0,-10.8,62.2,6.3
BANKS,5,2021-07,124,57.3,52.4,55.6,0.527,-4.8,-1.6,3.2,51.6,-5.6,38.7,-18.5,62.1,4.8
BANKS,10,2019-01,109,56.9,40.4,48.6,0.456,-16.5,-8.3,8.3,46.8,-10.1,71.6,14.7,40.4,-16.5
BANKS,10,2019-07,118,70.3,37.3,34.7,0.244,-33.1,-35.6,-2.5,55.1,-15.3,31.4,-39.0,54.2,-16.1
BANKS,10,2020-01,80,48.8,33.8,43.8,0.513,-15.0,-5.0,10.0,47.5,-1.3,68.8,20.0,48.8,0.0
BANKS,10,2020-07,125,60.8,44.8,43.2,0.47,-16.0,-17.6,-1.6,51.2,-9.6,51.2,-9.6,49.6,-11.2
BANKS,10,2021-01,111,55.0,58.6,45.9,0.466,3.6,-9.0,-12.6,35.1,-19.8,42.3,-12.6,67.6,12.6
BANKS,10,2021-07,124,52.4,54.0,48.4,0.426,1.6,-4.0,-5.6,50.8,-1.6,37.9,-14.5,54.0,1.6
HNB,1,2019-01,109,77.1,49.5,52.3,0.468,-27.5,-24.8,2.8,52.3,-24.8,64.2,-12.8,63.3,-13.8
HNB,1,2019-07,117,59.8,47.0,50.4,0.473,-12.8,-9.4,3.4,43.6,-16.2,55.6,-4.3,54.7,-5.1
HNB,1,2020-01,79,68.4,48.1,44.3,0.578,-20.3,-24.1,-3.8,44.3,-24.1,67.1,-1.3,29.1,-39.2
HNB,1,2020-07,125,52.8,45.6,45.6,0.454,-7.2,-7.2,0.0,54.4,1.6,44.8,-8.0,48.8,-4.0
HNB,1,2021-01,114,57.9,52.6,51.8,0.49,-5.3,-6.1,-0.9,57.9,0.0,45.6,-12.3,48.2,-9.6
HNB,1,2021-07,124,58.9,46.8,46.8,0.441,-12.1,-12.1,0.0,50.8,-8.1,50.8,-8.1,55.6,-3.2
HNB,5,2019-01,109,71.6,35.8,33.0,0.44,-35.8,-38.5,-2.8,30.3,-41.3,67.9,-3.7,46.8,-24.8
HNB,5,2019-07,117,61.5,38.5,50.4,0.531,-23.1,-11.1,12.0,37.6,-23.9,53.0,-8.5,47.0,-14.5
HNB,5,2020-01,79,63.3,46.8,50.6,0.577,-16.5,-12.7,3.8,43.0,-20.3,62.0,-1.3,43.0,-20.3
HNB,5,2020-07,125,52.8,64.8,46.4,0.515,12.0,-6.4,-18.4,57.6,4.8,56.0,3.2,40.8,-12.0
HNB,5,2021-01,114,58.8,38.6,49.1,0.53,-20.2,-9.6,10.5,43.0,-15.8,51.8,-7.0,49.1,-9.6
HNB,5,2021-07,124,58.1,50.0,50.0,0.473,-8.1,-8.1,0.0,54.0,-4.0,48.4,-9.7,62.1,4.0
HNB,10,2019-01,109,68.8,18.3,51.4,0.242,-50.5,-17.4,33.0,45.9,-22.9,78.9,10.1,33.0,-35.8
HNB,10,2019-07,117,65.0,40.2,23.9,0.175,-24.8,-41.0,-16.2,38.5,-26.5,27.4,-37.6,50.4,-14.5
HNB,10,2020-01,79,58.2,21.5,45.6,0.621,-36.7,-12.7,24.1,51.9,-6.3,51.9,-6.3,43.0,-15.2
HNB,10,2020-07,125,60.0,55.2,49.6,0.545,-4.8,-10.4,-5.6,47.2,-12.8,48.8,-11.2,53.6,-6.4
HNB,10,2021-01,114,56.1,50.0,50.9,0.491,-6.1,-5.3,0.9,44.7,-11.4,42.1,-14.0,48.2,-7.9
HNB,10,2021-07,124,70.2,75.0,29.8,0.214,4.8,-40.3,-45.2,64.5,-5.6,37.1,-33.1,66.1,-4.0
