target,horizon_days,test_from,block,coef,abs_weight_share_%
BANKS,1,2019-01,price,-0.0473,10.8
BANKS,1,2019-01,news,0.1232,28.1
BANKS,1,2019-01,macro,-0.2678,61.1
BANKS,1,2019-07,price,0.0049,1.4
BANKS,1,2019-07,news,0.3052,85.9
BANKS,1,2019-07,macro,-0.0452,12.7
BANKS,1,2020-01,price,-0.1471,47.9
BANKS,1,2020-01,news,0.1446,47.1
BANKS,1,2020-01,macro,0.0153,5.0
BANKS,1,2020-07,price,0.0814,21.9
BANKS,1,2020-07,news,0.1788,48.1
BANKS,1,2020-07,macro,-0.1113,30.0
BANKS,1,2021-01,price,0.1386,63.1
BANKS,1,2021-01,news,-0.0026,1.2
BANKS,1,2021-01,macro,-0.0786,35.7
BANKS,1,2021-07,price,0.1782,52.7
BANKS,1,2021-07,news,0.0467,13.8
BANKS,1,2021-07,macro,-0.1134,33.5
BANKS,5,2019-01,price,0.2124,29.1
BANKS,5,2019-01,news,0.3367,46.1
BANKS,5,2019-01,macro,0.1811,24.8
BANKS,5,2019-07,price,0.2486,23.7
BANKS,5,2019-07,news,0.6586,62.8
BANKS,5,2019-07,macro,-0.1407,13.4
BANKS,5,2020-01,price,0.0549,9.1
BANKS,5,2020-01,news,0.2793,46.2
BANKS,5,2020-01,macro,0.2706,44.7
BANKS,5,2020-07,price,-0.063,16.5
BANKS,5,2020-07,news,0.2732,71.4
BANKS,5,2020-07,macro,0.0464,12.1
BANKS,5,2021-01,price,-0.0334,37.7
BANKS,5,2021-01,news,0.0315,35.5
BANKS,5,2021-01,macro,0.0237,26.8
BANKS,5,2021-07,price,-0.0986,21.0
BANKS,5,2021-07,news,0.1321,28.2
BANKS,5,2021-07,macro,0.2378,50.8
BANKS,10,2019-01,price,-0.1142,33.3
BANKS,10,2019-01,news,0.0956,27.8
BANKS,10,2019-01,macro,0.1336,38.9
BANKS,10,2019-07,price,0.3714,20.0
BANKS,10,2019-07,news,0.9337,50.2
BANKS,10,2019-07,macro,0.5534,29.8
BANKS,10,2020-01,price,0.4504,47.8
BANKS,10,2020-01,news,0.2388,25.4
BANKS,10,2020-01,macro,0.2525,26.8
BANKS,10,2020-07,price,0.1912,39.1
BANKS,10,2020-07,news,0.0943,19.3
BANKS,10,2020-07,macro,0.2036,41.6
BANKS,10,2021-01,price,-0.3143,41.3
BANKS,10,2021-01,news,-0.1652,21.7
BANKS,10,2021-01,macro,-0.2815,37.0
BANKS,10,2021-07,price,-0.3959,62.6
BANKS,10,2021-07,news,0.0799,12.7
BANKS,10,2021-07,macro,0.1561,24.7
HNB,1,2019-01,price,0.1158,33.6
HNB,1,2019-01,news,0.0087,2.5
HNB,1,2019-01,macro,-0.2199,63.9
HNB,1,2019-07,price,0.3181,43.5
HNB,1,2019-07,news,0.2495,34.1
HNB,1,2019-07,macro,0.1635,22.4
HNB,1,2020-01,price,-0.0845,19.2
HNB,1,2020-01,news,0.2082,47.3
HNB,1,2020-01,macro,0.1474,33.5
HNB,1,2020-07,price,-0.1581,22.5
HNB,1,2020-07,news,0.3126,44.4
HNB,1,2020-07,macro,0.2334,33.2
HNB,1,2021-01,price,-0.1145,40.9
HNB,1,2021-01,news,-0.0279,10.0
HNB,1,2021-01,macro,-0.1376,49.1
HNB,1,2021-07,price,0.0847,29.0
HNB,1,2021-07,news,0.1361,46.6
HNB,1,2021-07,macro,-0.0714,24.4
HNB,5,2019-01,price,0.0925,18.0
HNB,5,2019-01,news,-0.2815,54.9
HNB,5,2019-01,macro,-0.1391,27.1
HNB,5,2019-07,price,0.066,23.2
HNB,5,2019-07,news,0.1457,51.3
HNB,5,2019-07,macro,0.0723,25.5
HNB,5,2020-01,price,-0.2867,37.8
HNB,5,2020-01,news,0.3059,40.3
HNB,5,2020-01,macro,0.1662,21.9
HNB,5,2020-07,price,-0.3569,32.1
HNB,5,2020-07,news,0.5347,48.1
HNB,5,2020-07,macro,0.2203,19.8
HNB,5,2021-01,price,-0.3729,35.7
HNB,5,2021-01,news,0.4463,42.7
HNB,5,2021-01,macro,0.226,21.6
HNB,5,2021-07,price,-0.1242,19.0
HNB,5,2021-07,news,0.4418,67.6
HNB,5,2021-07,macro,0.0878,13.4
HNB,10,2019-01,price,-0.0242,4.4
HNB,10,2019-01,news,-0.0142,2.6
HNB,10,2019-01,macro,-0.5129,93.0
HNB,10,2019-07,price,0.2128,20.7
HNB,10,2019-07,news,0.3889,37.8
HNB,10,2019-07,macro,-0.426,41.4
HNB,10,2020-01,price,0.0464,18.0
HNB,10,2020-01,news,0.1025,39.7
HNB,10,2020-01,macro,0.1092,42.3
HNB,10,2020-07,price,0.0656,20.1
HNB,10,2020-07,news,0.0132,4.1
HNB,10,2020-07,macro,0.2474,75.8
HNB,10,2021-01,price,-0.3715,57.1
HNB,10,2021-01,news,-0.1662,25.6
HNB,10,2021-01,macro,-0.1128,17.3
HNB,10,2021-07,price,-0.3862,61.5
HNB,10,2021-07,news,0.0539,8.6
HNB,10,2021-07,macro,-0.1876,29.9
