target,horizon_days,block,median_coef,median_weight_share_pct
BANKS,1,macro,-0.095,31.75
BANKS,1,news,0.134,37.6
BANKS,1,price,0.043,34.9
BANKS,5,macro,0.114,25.8
BANKS,5,news,0.276,46.15
BANKS,5,price,0.011,22.35
BANKS,10,macro,0.18,33.4
BANKS,10,news,0.095,23.55
BANKS,10,price,0.039,40.2
HNB,1,macro,0.038,33.35
HNB,1,news,0.172,39.25
HNB,1,price,0.0,31.3
HNB,5,macro,0.127,21.75
HNB,5,news,0.374,49.7
HNB,5,price,-0.205,27.65
HNB,10,macro,-0.15,41.85
HNB,10,news,0.034,17.1
HNB,10,price,0.011,20.4
