model,horizon,dir_acc,price_mape,horizon_lbl
Naive,1,54.53,0.68,1d
Naive,2,55.68,1.1,2d
Naive,3,55.52,1.45,3d
Naive,4,57.83,1.75,4d
Naive,5,56.67,2.05,5d
Naive,10,57.33,3.21,2w
Naive,22,58.32,5.47,1mo
Naive,44,63.59,9.27,2mo
Naive,66,67.38,11.38,3mo
Naive,132,93.74,17.14,6mo
Naive,252,96.05,26.97,1yr
RandomForest,1,47.85,0.71,1d
RandomForest,2,46.79,1.16,2d
RandomForest,3,49.59,1.54,3d
RandomForest,4,50.58,1.86,4d
RandomForest,5,49.59,2.17,5d
RandomForest,10,48.51,3.36,2w
RandomForest,22,51.89,5.37,1mo
RandomForest,44,61.12,8.85,2mo
RandomForest,66,70.68,10.75,3mo
RandomForest,132,93.74,11.81,6mo
RandomForest,252,96.05,16.0,1yr
CNN-LSTM,1,53.47,2.85,1d
CNN-LSTM,2,45.47,2.57,2d
CNN-LSTM,3,52.55,2.4,3d
CNN-LSTM,4,48.76,3.23,4d
CNN-LSTM,5,46.29,3.89,5d
CNN-LSTM,10,58.58,5.88,2w
CNN-LSTM,22,53.87,7.48,1mo
CNN-LSTM,44,62.27,8.92,2mo
CNN-LSTM,66,61.12,11.47,3mo
CNN-LSTM,132,71.5,17.47,6mo
CNN-LSTM,252,94.23,20.85,1yr
ARIMAX,1,25.35,0.98,1d
ARIMAX,2,35.21,1.36,2d
ARIMAX,3,36.62,1.66,3d
ARIMAX,4,32.39,2.01,4d
ARIMAX,5,32.39,2.25,5d
ARIMAX,10,42.25,3.22,2w
ARIMAX,22,50.7,4.7,1mo
ARIMAX,44,47.89,7.48,2mo
ARIMAX,66,39.44,8.94,3mo
ARIMAX,132,56.34,11.09,6mo
ARIMAX,252,49.3,21.61,1yr
