model,horizon,dir_acc,price_mape,horizon_lbl
Majority,1,52.92,,1d
Persistence,1,51.09,1.38,1d
Majority,2,53.26,,2d
Persistence,2,48.68,2.13,2d
Majority,3,56.27,,3d
Persistence,3,50.7,2.71,3d
Majority,4,55.88,,4d
Persistence,4,49.83,3.28,4d
Majority,5,56.31,,5d
Persistence,5,47.78,3.77,5d
Majority,10,62.1,,2w
Persistence,10,47.21,5.39,2w
Majority,22,60.91,,1mo
Persistence,22,48.49,8.81,1mo
Majority,44,67.39,,2mo
Persistence,44,45.38,13.63,2mo
Majority,66,78.39,,3mo
Persistence,66,42.04,15.83,3mo
Majority,132,94.97,,6mo
Persistence,132,47.74,23.23,6mo
Majority,252,96.66,,1yr
Persistence,252,48.25,35.55,1yr
RandomForest,1,46.72,1.4,1d
RandomForest,2,47.09,2.16,2d
RandomForest,3,44.6,2.78,3d
RandomForest,4,44.12,3.38,4d
RandomForest,5,43.17,3.91,5d
RandomForest,10,42.13,5.83,2w
RandomForest,22,50.17,9.87,1mo
RandomForest,44,43.87,15.6,2mo
RandomForest,66,47.91,18.49,3mo
RandomForest,132,57.62,19.55,6mo
RandomForest,252,64.27,30.63,1yr
CNN-LSTM,1,53.1,2.56,1d
CNN-LSTM,2,50.09,3.16,2d
CNN-LSTM,3,52.79,3.81,3d
CNN-LSTM,4,52.6,3.62,4d
CNN-LSTM,5,47.61,4.5,5d
CNN-LSTM,10,56.35,5.63,2w
CNN-LSTM,22,44.13,9.68,1mo
CNN-LSTM,44,43.19,15.13,2mo
CNN-LSTM,66,25.46,20.13,3mo
CNN-LSTM,132,12.4,33.15,6mo
CNN-LSTM,252,9.02,49.87,1yr
ARIMAX,1,58.97,1.77,1d
ARIMAX,2,54.32,2.63,2d
ARIMAX,3,59.52,3.06,3d
ARIMAX,4,59.76,3.54,4d
ARIMAX,5,61.63,4.27,5d
ARIMAX,10,56.98,5.65,2w
ARIMAX,22,60.0,8.97,1mo
ARIMAX,44,52.33,13.31,2mo
ARIMAX,66,47.13,15.11,3mo
ARIMAX,132,51.16,19.96,6mo
ARIMAX,252,52.87,33.16,1yr
