model,horizon,dir_acc,price_mape,horizon_lbl
Majority,1,54.3,,1d
Persistence,1,41.39,0.88,1d
Majority,2,54.04,,2d
Persistence,2,43.2,1.19,2d
Majority,3,57.39,,3d
Persistence,3,43.57,1.5,3d
Majority,4,56.17,,4d
Persistence,4,42.13,1.75,4d
Majority,5,56.98,,5d
Persistence,5,44.36,1.96,5d
Majority,10,61.99,,2w
Persistence,10,43.82,2.84,2w
Majority,22,65.61,,1mo
Persistence,22,48.14,4.77,1mo
Majority,44,68.88,,2mo
Persistence,44,47.15,7.77,2mo
Majority,66,76.33,,3mo
Persistence,66,46.79,9.73,3mo
Majority,132,94.86,,6mo
Persistence,132,46.97,14.28,6mo
Majority,252,100.0,,1yr
Persistence,252,48.53,23.58,1yr
RandomForest,1,53.28,0.98,1d
RandomForest,2,54.83,1.27,2d
RandomForest,3,54.7,1.61,3d
RandomForest,4,52.75,1.84,4d
RandomForest,5,52.96,2.07,5d
RandomForest,10,48.13,2.92,2w
RandomForest,22,52.04,4.66,1mo
RandomForest,44,50.83,8.0,2mo
RandomForest,66,45.5,11.29,3mo
RandomForest,132,51.93,17.78,6mo
RandomForest,252,51.1,21.87,1yr
CNN-LSTM,1,53.69,2.9,1d
CNN-LSTM,2,46.94,2.52,2d
CNN-LSTM,3,48.18,2.56,3d
CNN-LSTM,4,52.56,2.75,4d
CNN-LSTM,5,47.04,3.79,5d
CNN-LSTM,10,58.05,3.31,2w
CNN-LSTM,22,51.3,6.2,1mo
CNN-LSTM,44,57.46,8.61,2mo
CNN-LSTM,66,22.39,18.57,3mo
CNN-LSTM,132,51.93,16.42,6mo
CNN-LSTM,252,80.59,13.28,1yr
ARIMAX,1,52.38,0.99,1d
ARIMAX,2,57.75,1.25,2d
ARIMAX,3,54.17,1.7,3d
ARIMAX,4,54.17,1.83,4d
ARIMAX,5,52.78,2.23,5d
ARIMAX,10,57.53,3.33,2w
ARIMAX,22,43.24,5.31,1mo
ARIMAX,44,50.0,8.57,2mo
ARIMAX,66,47.3,11.16,3mo
ARIMAX,132,54.05,14.75,6mo
ARIMAX,252,48.65,24.24,1yr
