model,horizon,dir_acc,price_mape,horizon_lbl
Majority,1,52.34,,1d
Persistence,1,36.92,1.14,1d
Majority,2,52.98,,2d
Persistence,2,38.3,1.62,2d
Majority,3,54.4,,3d
Persistence,3,39.26,2.02,3d
Majority,4,54.71,,4d
Persistence,4,40.2,2.41,4d
Majority,5,55.04,,5d
Persistence,5,40.89,2.8,5d
Majority,10,54.84,,2w
Persistence,10,40.59,4.42,2w
Majority,22,56.58,,1mo
Persistence,22,42.35,7.59,1mo
Majority,44,63.62,,2mo
Persistence,44,41.21,13.4,2mo
Majority,66,70.89,,3mo
Persistence,66,40.58,18.13,3mo
Majority,132,68.38,,6mo
Persistence,132,36.25,23.43,6mo
Majority,252,86.32,,1yr
Persistence,252,37.95,36.63,1yr
RandomForest,1,47.43,1.18,1d
RandomForest,2,50.85,1.67,2d
RandomForest,3,50.31,2.08,3d
RandomForest,4,50.78,2.47,4d
RandomForest,5,48.84,2.89,5d
RandomForest,10,49.73,4.73,2w
RandomForest,22,50.36,9.08,1mo
RandomForest,44,55.52,15.88,2mo
RandomForest,66,63.53,19.56,3mo
RandomForest,132,58.93,30.82,6mo
RandomForest,252,64.27,34.0,1yr
CNN-LSTM,1,49.07,5.32,1d
CNN-LSTM,2,46.38,2.5,2d
CNN-LSTM,3,50.31,5.57,3d
CNN-LSTM,4,60.0,2.82,4d
CNN-LSTM,5,54.07,4.11,5d
CNN-LSTM,10,52.65,6.11,2w
CNN-LSTM,22,49.47,8.81,1mo
CNN-LSTM,44,48.1,17.92,2mo
CNN-LSTM,66,70.89,19.6,3mo
CNN-LSTM,132,67.53,32.83,6mo
CNN-LSTM,252,83.76,40.71,1yr
ARIMAX,1,47.69,1.27,1d
ARIMAX,2,43.28,1.67,2d
ARIMAX,3,49.23,1.89,3d
ARIMAX,4,39.44,2.35,4d
ARIMAX,5,41.1,2.78,5d
ARIMAX,10,45.57,4.46,2w
ARIMAX,22,43.9,7.48,1mo
ARIMAX,44,42.35,11.92,2mo
ARIMAX,66,40.48,15.84,3mo
ARIMAX,132,55.42,11.28,6mo
ARIMAX,252,44.05,18.48,1yr
