model,horizon,dir_acc,price_mape,horizon_lbl
Majority,1,50.09,,1d
Persistence,1,50.28,1.36,1d
Majority,2,52.85,,2d
Persistence,2,49.36,2.08,2d
Majority,3,50.27,,3d
Persistence,3,50.09,2.68,3d
Majority,4,51.06,,4d
Persistence,4,48.58,3.23,4d
Majority,5,52.91,,5d
Persistence,5,47.27,3.71,5d
Majority,10,57.69,,2w
Persistence,10,46.33,5.46,2w
Majority,22,58.93,,1mo
Persistence,22,48.7,9.02,1mo
Majority,44,61.76,,2mo
Persistence,44,47.58,13.8,2mo
Majority,66,69.03,,3mo
Persistence,66,46.71,16.74,3mo
Majority,132,92.96,,6mo
Persistence,132,44.67,22.97,6mo
Majority,252,95.36,,1yr
Persistence,252,45.53,34.86,1yr
RandomForest,1,49.34,1.38,1d
RandomForest,2,49.54,2.12,2d
RandomForest,3,51.16,2.74,3d
RandomForest,4,51.06,3.29,4d
RandomForest,5,51.85,3.78,5d
RandomForest,10,47.38,5.79,2w
RandomForest,22,40.21,10.62,1mo
RandomForest,44,40.14,18.76,2mo
RandomForest,66,43.43,21.36,3mo
RandomForest,132,66.32,33.28,6mo
RandomForest,252,64.6,38.87,1yr
CNN-LSTM,1,46.52,2.44,1d
CNN-LSTM,2,50.28,3.89,2d
CNN-LSTM,3,48.66,8.67,3d
CNN-LSTM,4,48.76,3.97,4d
CNN-LSTM,5,50.97,4.93,5d
CNN-LSTM,10,50.87,5.96,2w
CNN-LSTM,22,41.07,11.66,1mo
CNN-LSTM,44,47.23,17.66,2mo
CNN-LSTM,66,50.69,18.51,3mo
CNN-LSTM,132,22.68,32.25,6mo
CNN-LSTM,252,4.64,57.4,1yr
ARIMAX,1,47.89,1.45,1d
ARIMAX,2,52.05,1.94,2d
ARIMAX,3,52.5,2.74,3d
ARIMAX,4,50.0,3.34,4d
ARIMAX,5,51.85,3.82,5d
ARIMAX,10,49.38,5.48,2w
ARIMAX,22,55.56,8.15,1mo
ARIMAX,44,57.32,11.55,2mo
ARIMAX,66,59.76,14.8,3mo
ARIMAX,132,50.6,19.89,6mo
ARIMAX,252,50.6,34.69,1yr
