model,horizon,dir_acc,price_mape,horizon_lbl
Naive,1,45.91,0.91,1d
Naive,2,50.25,1.41,2d
Naive,3,49.75,1.76,3d
Naive,4,49.92,2.07,4d
Naive,5,51.42,2.39,5d
Naive,10,54.76,3.61,2w
Naive,22,57.1,5.65,1mo
Naive,44,61.6,8.92,2mo
Naive,66,63.94,10.4,3mo
Naive,132,80.97,10.86,6mo
Naive,252,76.29,13.9,1yr
RandomForest,1,55.45,0.93,1d
RandomForest,2,54.42,1.47,2d
RandomForest,3,54.27,1.88,3d
RandomForest,4,56.07,2.28,4d
RandomForest,5,58.01,2.59,5d
RandomForest,10,58.15,3.7,2w
RandomForest,22,56.63,5.68,1mo
RandomForest,44,54.48,9.26,2mo
RandomForest,66,56.11,10.69,3mo
RandomForest,132,72.97,11.17,6mo
RandomForest,252,76.86,13.44,1yr
CNN-LSTM,1,54.14,6.75,1d
CNN-LSTM,2,53.18,3.22,2d
CNN-LSTM,3,51.07,7.56,3d
CNN-LSTM,4,48.57,2.68,4d
CNN-LSTM,5,45.3,4.4,5d
CNN-LSTM,10,53.69,5.17,2w
CNN-LSTM,22,48.81,7.92,1mo
CNN-LSTM,44,53.3,12.82,2mo
CNN-LSTM,66,52.09,12.43,3mo
CNN-LSTM,132,51.18,10.93,6mo
CNN-LSTM,252,43.92,16.41,1yr
ARIMAX,1,50.0,1.35,1d
ARIMAX,2,50.59,1.64,2d
ARIMAX,3,50.6,1.87,3d
ARIMAX,4,46.91,2.16,4d
ARIMAX,5,53.01,2.19,5d
ARIMAX,10,47.06,2.79,2w
ARIMAX,22,46.51,4.13,1mo
ARIMAX,44,37.65,7.06,2mo
ARIMAX,66,40.0,9.72,3mo
ARIMAX,132,45.98,12.89,6mo
ARIMAX,252,45.98,16.43,1yr
