model,horizon,dir_acc,price_mape,horizon_lbl
Majority,1,57.82,,1d
Persistence,1,50.28,1.31,1d
Majority,2,57.91,,2d
Persistence,2,49.35,1.98,2d
Majority,3,57.58,,3d
Persistence,3,51.08,2.56,3d
Majority,4,58.15,,4d
Persistence,4,51.45,3.09,4d
Majority,5,58.69,,5d
Persistence,5,50.0,3.59,5d
Majority,10,57.86,,2w
Persistence,10,47.32,5.45,2w
Majority,22,61.7,,1mo
Persistence,22,51.42,9.48,1mo
Majority,44,56.01,,2mo
Persistence,44,48.94,14.76,2mo
Majority,66,50.09,,3mo
Persistence,66,47.43,16.94,3mo
Majority,132,64.48,,6mo
Persistence,132,42.45,16.96,6mo
Majority,252,68.25,,1yr
Persistence,252,43.03,21.23,1yr
RandomForest,1,45.39,1.35,1d
RandomForest,2,44.69,2.06,2d
RandomForest,3,43.86,2.67,3d
RandomForest,4,42.93,3.29,4d
RandomForest,5,44.33,3.83,5d
RandomForest,10,44.11,5.98,2w
RandomForest,22,45.74,10.87,1mo
RandomForest,44,55.83,16.2,2mo
RandomForest,66,56.99,18.1,3mo
RandomForest,132,64.3,16.15,6mo
RandomForest,252,68.43,23.85,1yr
CNN-LSTM,1,43.5,6.4,1d
CNN-LSTM,2,43.2,4.46,2d
CNN-LSTM,3,51.81,5.37,3d
CNN-LSTM,4,54.71,4.62,4d
CNN-LSTM,5,54.61,6.05,5d
CNN-LSTM,10,42.14,8.51,2w
CNN-LSTM,22,36.88,10.61,1mo
CNN-LSTM,44,39.05,17.6,2mo
CNN-LSTM,66,49.91,24.66,3mo
CNN-LSTM,132,64.48,34.23,6mo
CNN-LSTM,252,68.25,37.19,1yr
ARIMAX,1,49.32,1.26,1d
ARIMAX,2,57.53,1.73,2d
ARIMAX,3,57.69,2.26,3d
ARIMAX,4,56.41,2.9,4d
ARIMAX,5,55.7,3.38,5d
ARIMAX,10,58.97,5.42,2w
ARIMAX,22,59.49,9.67,1mo
ARIMAX,44,53.16,15.55,2mo
ARIMAX,66,50.0,18.09,3mo
ARIMAX,132,39.24,14.17,6mo
ARIMAX,252,44.3,23.56,1yr
