model,horizon,dir_acc,price_mape,horizon_lbl
Majority,1,51.95,,1d
Persistence,1,48.76,1.28,1d
Majority,2,53.08,,2d
Persistence,2,48.8,1.94,2d
Majority,3,55.09,,3d
Persistence,3,51.64,2.46,3d
Majority,4,56.46,,4d
Persistence,4,50.34,2.9,4d
Majority,5,55.37,,5d
Persistence,5,51.68,3.3,5d
Majority,10,60.3,,2w
Persistence,10,51.26,5.01,2w
Majority,22,65.07,,1mo
Persistence,22,49.67,8.1,1mo
Majority,44,68.71,,2mo
Persistence,44,50.0,12.15,2mo
Majority,66,74.92,,3mo
Persistence,66,46.7,14.08,3mo
Majority,132,94.07,,6mo
Persistence,132,47.78,20.71,6mo
Majority,252,96.21,,1yr
Persistence,252,48.11,31.25,1yr
RandomForest,1,51.6,1.29,1d
RandomForest,2,49.66,1.96,2d
RandomForest,3,48.88,2.49,3d
RandomForest,4,49.32,2.96,4d
RandomForest,5,50.5,3.33,5d
RandomForest,10,55.28,4.93,2w
RandomForest,22,61.26,8.27,1mo
RandomForest,44,63.91,11.95,2mo
RandomForest,66,68.65,13.17,3mo
RandomForest,132,91.43,13.74,6mo
RandomForest,252,76.61,26.85,1yr
CNN-LSTM,1,53.37,2.9,1d
CNN-LSTM,2,50.51,5.17,2d
CNN-LSTM,3,49.74,9.18,3d
CNN-LSTM,4,49.49,5.64,4d
CNN-LSTM,5,53.19,5.77,5d
CNN-LSTM,10,44.72,6.35,2w
CNN-LSTM,22,44.04,9.21,1mo
CNN-LSTM,44,54.14,13.13,2mo
CNN-LSTM,66,46.7,15.95,3mo
CNN-LSTM,132,20.26,26.99,6mo
CNN-LSTM,252,8.9,57.63,1yr
ARIMAX,1,48.44,1.46,1d
ARIMAX,2,47.06,2.11,2d
ARIMAX,3,59.42,2.63,3d
ARIMAX,4,57.97,3.06,4d
ARIMAX,5,58.21,3.42,5d
ARIMAX,10,57.97,4.94,2w
ARIMAX,22,49.3,8.22,1mo
ARIMAX,44,47.14,11.13,2mo
ARIMAX,66,43.66,12.25,3mo
ARIMAX,132,53.52,17.81,6mo
ARIMAX,252,54.93,30.96,1yr
