model,horizon,dir_acc,price_mape,horizon_lbl
Naive,1,52.29,0.83,1d
Naive,2,52.51,1.4,2d
Naive,3,54.47,1.81,3d
Naive,4,55.99,2.19,4d
Naive,5,55.12,2.54,5d
Naive,10,56.86,4.01,2w
Naive,22,55.56,6.66,1mo
Naive,44,60.57,10.65,2mo
Naive,66,62.31,12.23,3mo
Naive,132,89.54,16.37,6mo
Naive,252,93.9,29.12,1yr
RandomForest,1,53.81,0.84,1d
RandomForest,2,53.38,1.43,2d
RandomForest,3,52.72,1.88,3d
RandomForest,4,48.37,2.3,4d
RandomForest,5,47.93,2.7,5d
RandomForest,10,46.62,4.36,2w
RandomForest,22,50.98,7.45,1mo
RandomForest,44,42.05,12.26,2mo
RandomForest,66,46.62,14.28,3mo
RandomForest,132,36.82,19.43,6mo
RandomForest,252,18.52,32.46,1yr
CNN-LSTM,1,49.67,1.52,1d
CNN-LSTM,2,45.32,2.46,2d
CNN-LSTM,3,53.16,2.37,3d
CNN-LSTM,4,53.81,3.03,4d
CNN-LSTM,5,52.51,3.2,5d
CNN-LSTM,10,57.08,3.75,2w
CNN-LSTM,22,49.02,7.65,1mo
CNN-LSTM,44,59.91,10.33,2mo
CNN-LSTM,66,29.85,13.17,3mo
CNN-LSTM,132,27.45,18.36,6mo
CNN-LSTM,252,84.31,27.68,1yr
ARIMAX,1,36.23,1.28,1d
ARIMAX,2,47.83,1.71,2d
ARIMAX,3,46.38,1.94,3d
ARIMAX,4,46.38,2.28,4d
ARIMAX,5,49.28,2.55,5d
ARIMAX,10,52.17,3.96,2w
ARIMAX,22,55.07,5.82,1mo
ARIMAX,44,55.07,9.19,2mo
ARIMAX,66,55.07,10.46,3mo
ARIMAX,132,59.42,10.87,6mo
ARIMAX,252,55.07,23.58,1yr
