window,group,direction,mean_car_pct,n_obs,n_events
"CAR[0,0]",Banks,HIKE,0.2741,27,9
"CAR[0,0]",Banks,CUT,-0.2001,45,15
"CAR[0,0]",Banks,HOLD,-2.2951,27,9
"CAR[0,0]",Finance,HIKE,-0.5275,27,9
"CAR[0,0]",Finance,CUT,0.0889,45,15
"CAR[0,0]",Finance,HOLD,-0.9758,27,9
"CAR[0,0]",Control,HIKE,0.5318,18,9
"CAR[0,0]",Control,CUT,0.4144,30,15
"CAR[0,0]",Control,HOLD,-0.1725,18,9
"CAR[0,+1]",Banks,HIKE,0.8268,21,7
"CAR[0,+1]",Banks,CUT,0.2294,42,14
"CAR[0,+1]",Banks,HOLD,-1.1484,24,8
"CAR[0,+1]",Finance,HIKE,0.6782,21,7
"CAR[0,+1]",Finance,CUT,0.45,42,14
"CAR[0,+1]",Finance,HOLD,0.4797,24,8
"CAR[0,+1]",Control,HIKE,-0.0499,14,7
"CAR[0,+1]",Control,CUT,0.7811,28,14
"CAR[0,+1]",Control,HOLD,0.0441,16,8
"CAR[0,+3]",Banks,HIKE,0.7395,21,7
"CAR[0,+3]",Banks,CUT,0.4018,42,14
"CAR[0,+3]",Banks,HOLD,-2.1423,18,6
"CAR[0,+3]",Finance,HIKE,0.948,21,7
"CAR[0,+3]",Finance,CUT,0.2653,42,14
"CAR[0,+3]",Finance,HOLD,1.562,18,6
"CAR[0,+3]",Control,HIKE,-0.2085,14,7
"CAR[0,+3]",Control,CUT,0.5073,28,14
"CAR[0,+3]",Control,HOLD,-0.1802,12,6
"CAR[-1,+3]",Banks,HIKE,0.9229,21,7
"CAR[-1,+3]",Banks,CUT,0.258,42,14
"CAR[-1,+3]",Banks,HOLD,-2.0707,18,6
"CAR[-1,+3]",Finance,HIKE,1.9526,21,7
"CAR[-1,+3]",Finance,CUT,0.5188,42,14
"CAR[-1,+3]",Finance,HOLD,1.0391,18,6
"CAR[-1,+3]",Control,HIKE,0.0307,14,7
"CAR[-1,+3]",Control,CUT,0.3074,28,14
"CAR[-1,+3]",Control,HOLD,-0.5897,12,6
