ticker,horizon_days,fold,test_from,model,n_test,MAPE_%,MAE,RMSE,ret_RMSE_pp,dir_acc_%
HNB,1,0,2017-01,naive (no change),100,0.65,1.301,1.887,0.937,20.0
HNB,1,0,2017-01,"ARIMA(1,1,1)",100,0.65,1.301,1.887,0.937,45.0
HNB,1,0,2017-01,Ridge P (price only),100,0.67,1.34,1.885,0.936,45.0
HNB,1,0,2017-01,XGBoost P (price only),100,0.724,1.449,2.003,0.994,43.0
HNB,1,0,2017-01,Ridge P+M (+macro),100,0.67,1.341,1.889,0.939,45.0
HNB,1,0,2017-01,XGBoost P+M (+macro),100,0.713,1.426,1.992,0.989,46.0
HNB,1,0,2017-01,Ridge P+M+N (+macro+news),100,0.681,1.363,1.911,0.949,46.0
HNB,1,0,2017-01,XGBoost P+M+N (+macro+news),100,0.778,1.556,2.118,1.052,44.0
HNB,1,1,2017-07,naive (no change),116,0.761,1.623,2.304,1.068,12.9
HNB,1,1,2017-07,"ARIMA(1,1,1)",116,0.79,1.682,2.315,1.072,43.1
HNB,1,1,2017-07,Ridge P (price only),116,0.799,1.703,2.36,1.094,42.2
HNB,1,1,2017-07,XGBoost P (price only),116,0.824,1.754,2.335,1.085,39.7
HNB,1,1,2017-07,Ridge P+M (+macro),116,0.812,1.729,2.377,1.103,39.7
HNB,1,1,2017-07,XGBoost P+M (+macro),116,0.805,1.711,2.286,1.064,45.7
HNB,1,1,2017-07,Ridge P+M+N (+macro+news),116,0.844,1.795,2.423,1.125,37.1
HNB,1,1,2017-07,XGBoost P+M+N (+macro+news),116,0.886,1.886,2.52,1.169,42.2
HNB,1,2,2018-01,naive (no change),106,0.486,1.016,1.567,0.748,28.3
HNB,1,2,2018-01,"ARIMA(1,1,1)",106,0.506,1.056,1.584,0.757,30.2
HNB,1,2,2018-01,Ridge P (price only),106,0.532,1.113,1.555,0.742,35.8
HNB,1,2,2018-01,XGBoost P (price only),106,0.577,1.204,1.622,0.776,37.7
HNB,1,2,2018-01,Ridge P+M (+macro),106,0.537,1.122,1.561,0.745,38.7
